text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
All right.  [Tomorrow] we’re going to play a fraction [track] game.  Look at the fraction track game board that you have in front of you.  Tell me some things that you notice about it.  Yes?,teacher,35,2,,,0.0,حسناً، (غدًا) سنلعب لعبة قطعة قطعة، انظر إلى اللوحة التي أمامك، قل لي بعض الأشياء التي لاحظتها. نعم؟,"Well, (tomorrow) we're going to play a piece-by-piece game, look at the board in front of you, tell me some things you've noticed."
It has –,student,3,0,,,,لقد حصلت على,I got it.
It has fractions on there.,teacher,5,1,,,0.0,انها لديها كسور هناك.,She has fractures there.
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
It starts at 0 and goes to 1.  What starts at 0?,teacher,12,0,,,0.0,يبدأ من 0 و يذهب إلى 1. ماذا يبدأ من 0؟,It starts from 0 and goes to 1.What starts from 0?
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
The beginning of each track starts at 0 and goes to 1.  Yes.,teacher,13,0,,,0.0,بداية كل مسار تبدأ من 0 وتذهب إلى 1. نعم.,The beginning of each path starts at 0 and goes to 1.
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
Yes.  Speak up.,teacher,3,0,,,0.0,نعم، تحدث بصوت أعلى,"Yes, speak up."
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
"Hmm, in order.  What do you mean?",teacher,7,0,,,1.0,بالترتيب، ماذا تعني؟,"In order, what do you mean?"
"Like one-half, two-thirds, one-fourth [inaudible].",student,5,0,,,,مثل نصف، ثلثين، ربع [غير مسموع].,"Like half, two thirds, a quarter."
"So each track is going in order from 0 to 1, and say that again, what you just said?",teacher,19,0,0.0,,0.0,لذا كل مسار يذهب في الترتيب من 0 إلى 1، ويقول ذلك مرة أخرى، ما قلت للتو؟,"So each path goes in the order from 0 to 1, and says that again, what did you just say?"
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
