text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Cameras are on.  It’s 11:30, December 13.  This is Math class. So, recording in progress. Okay, let me have your attention please, boys and girls, put the books away and get your folder ready and your notebook, as well as your box.  So last week we’ve been exploring volume, right, and volume of a rectangular prism.  So can someone just tell us or remind us how we found the volume of this box, or this rectangular prism?",teacher,77,7,,,0.0,الكاميرات تعمل. إنها الساعة 11:30، 13 ديسمبر. هذا هو فصل الرياضيات. لذا، التسجيل مستمر. حسنا، دعوني انتباهكم رجاءً، أيتها الفتيان والفتيات، ضعوا الكتب بعيداً واستعدوا مجلدكم ومكتبتكم، فضلاً عن صندوقكم. لذلك الأسبوع الماضي كنا نستكشف حجم، صحيح، و حجم prism مستطيل. لذلك هل يمكن لأحد فقط أن يخبرنا أو يذكرنا كيف وجدنا حجم هذا الصندوق، أو هذا prism مستطيل؟,"So last week we were exploring the size, accuracy, and size of a rectangular prism. So can anyone just tell us or remind us how we found the size of this box, or this rectangular prism?"
You multiply the length by the width by the height.,student,10,2,,0.0,,تضاعف الطول بالعرض بالارتفاع,Double the length by the width by the height.
"Okay, so we figured out one way to do this was to multiply…",teacher,13,1,1.0,,0.0,حسناً، فكّرنا أنّ طريقة واحدة للقيام بذلك هي مضاعفة...,"Well, we thought the only way to do that was to double..."
The length…,student,2,1,,,,الطول...,The length... The length.
The length.,teacher,2,1,,,0.0,الطول.,Length. Length.
The width.,student,2,0,,,,العرض.,The show.
"The width, and then the height.  Okay, so that was one way to find, right, and we all tried that.  Is there another way to find this, Student D?",teacher,29,0,,,1.0,حسناً، هذه كانت طريقة واحدة للعثور عليها، صحيح، وكلنا حاولنا ذلك، هل هناك طريقة أخرى للعثور عليها، يا طالب د؟,"Well, that was one way to find her, right, and we've all tried that. Is there another way to find her, Student D?"
The bottom of the surface times the height.,student,8,0,,0.0,,قاع السطح ضرب ارتفاعه,The bottom of the surface is multiplied by its height.
"The bottom of the surface here you said? Okay, so surface, for example, this one has 5 across and 4 this way, so what does that mean? The surface has 20 squares.  And if you were to put cubes, you can put 20 cubes, right? The bottom layer. And why do you multiply by 3, Student D?",teacher,57,4,1.0,,1.0,على سبيل المثال، السطح، هذا واحد لديه 5 على طوله و 4 في هذا الاتجاه، لذلك ما الذي يعني ذلك؟ السطح لديه 20 مربع. وإذا كنت تضع مكعبات، يمكنك وضع 20 مكعب، أليس كذلك؟ الطبقة السفلى. ولماذا تضاعف ب 3 طالب D؟,"For example, the surface, this one has 5 in length and 4 in this direction, so what does that mean? the surface has 20 squares. and if you put cubes, you can put 20 cubes, right? the lower layer. and why double b by 3 students D?"
Because that’s the height.,student,4,0,,,,لأن هذا هو الارتفاع,Because that's the height.
"Because that’s the height, that’s the 3 layers, right? So if you were to take apart the 3 layers, then you have 3 layers of cube. Any other ways that we tried or you tried? No? Okay.  So last time you made this box, and this is Box 1, and we did volume, and I would say everyone did very well on the test on Friday in terms of finding volume.  I don’t think anyone had a problem finding volume.  Maybe there are a couple of problems with other things, being careless, for example, the pattern, that you miscalculated, then something else, just being careless.  But in terms of volume, I think you had no problem doing that. So today we are going to shift into something, not volume, but similar.  I shouldn't say similar to volume, but something that we can use this box to find, to help us to start. And that is called a surface area.  So today we’re going to explore finding the surface area of an object, of a rectangular prism.  I’m just going to write this word.  And please write this down in your notebook. Okay, so write down surface area, and what does that look like to you, the words “surface area”? What does that sound like? What do you think it means? Student A?",teacher,222,17,,,0.0,لأن هذا هو الارتفاع، هذا هو الطبقات الثلاثة، أليس كذلك؟ إذاً إذا كنت ستقوم بتفريق الطبقات الثلاثة، عندها لديك 3 طبقات من الكوب. أي طرق أخرى حاولناها أو حاولت؟ لا؟ حسناً. لذا في المرة الأخيرة التي صنعت فيها هذا الصندوق، وهذا الصندوق 1، وقمنا بحجم، وأقول أن الجميع نجحوا بشكل جيد جداً في الاختبار يوم الجمعة من حيث العثور على الحجم.,"Because that's the height, that's the three layers, right? So if you're going to divide the three layers, then you have three layers of the cup. What other ways have we tried or tried? No? Okay. So the last time we made this box, this box 1, we did the size, and I'd say everyone passed the test very well on Friday in terms of finding the size."
The surface of the area,student,5,1,,,,سطح المنطقة,The area's surface area
"So the surface, like this board has a surface, the floor has a surface, but what about area? What’s area? Student S?",teacher,22,2,1.0,,0.0,لذا السطح، مثل هذه اللوحة لديها السطح، الأرض لديها السطح، ولكن ماذا عن المساحة؟ ما المساحة؟ الطالب S؟,"So the surface, such as this painting, has a surface, the earth has a surface, but what about the space?"
[Inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
So area is the number of…,teacher,6,1,,,0.0,إذن المساحة هي عدد...,So the space is a number...
[Inaudible],multiple students,1,0,,,,[غير مسموع],[Unheard of]
"Okay, you remember this, right?",teacher,5,0,,,0.0,حسناً، تتذكرين هذا، صحيح؟,"Well, you remember that, right?"
From last year.,student,3,0,,,,من العام الماضي,from last year.
"So area, that’s the number of square units, right? Of an area. For example, this floor, you can count the number of squares, the number of tiles.  This board, if we put the grid here, then you can also count the number of squares. So does that have to do with the inside? Does that have to do with cubes? If we’re just looking at the surface?",teacher,67,7,,,1.0,إذاً المساحة، هذا هو عدد الوحدات المربعة، صحيح؟ من مساحة. على سبيل المثال، هذا الطابق، يمكنك حساب عدد المربعات، عدد البلاط. هذه اللوحة، إذا وضعنا الشبكة هنا، يمكنك أيضاً حساب عدد المربعات.,"So space, this is the number of squared units of space. For example, this floor, you can count the number of squares, the number of tiles. This board, if we put the grid here, you can also count the number of squares."
No.,student,1,0,,,,-كلا .,"- No , not at all ."
"Think about it.  We’re looking at surface.  Why did you say no, Student L?",teacher,14,0,,,1.0,فكر بالأمر نحن ننظر إلى السطح لماذا قلت لا، الطالب L؟,"Think about it we're looking at the surface why did you say no, student L?"
"Because it’s not finding the whole thing, it’s just finding the surface.",student,12,1,,1.0,,لأنها لا تجد كل شيء، انها مجرد العثور على السطح.,"Because it doesn't find everything, it's just finding the surface."
"Okay, it’s not the whole prism, but it’s just the surface.  So for example, if you just look at the surface of this, how many squares do you see at the bottom of your box?",teacher,35,3,1.0,,0.0,حسناً، إنها ليست الصورة بأكملها، ولكنها مجرد السطح. لذلك على سبيل المثال، إذا نظرت إلى السطح فقط من هذا، كم مربع ترى في أسفل الصندوق؟,"Well, it's not the whole picture, it's just the surface, so for example, if you look at the surface only of this, how many squares do you see at the bottom of the box?"
24.,student,1,0,,,,24.,24. 24.
"There are 24 squares, right? Because it’s 6 x 4. And what about the surface of the bottom of this box? How many squares do you see?",teacher,27,2,,,0.0,هناك 24 مربع، أليس كذلك؟ لأنه 6 × 4 وماذا عن سطح الجزء السفلي من هذا الصندوق؟ كم مربع ترى؟,"There are 24 squares, right? because it's 6 × 4 and what about the surface of the bottom of this box? How many squares do you see?"
24.,multiple students,1,0,,,,24.,24. 24.
And they’re the same?,teacher,4,0,,,0.0,وهل هم متشابهون؟,And are they similar?
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
