text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Okay, boys and girls.  We're gonna get started.  Today, we have our objective.  It's there.  Can you see it?",teacher,19,0,,,0.0,حسناً يا فتيان ونحن سنبدأ اليوم لدينا هدفنا هو هناك هل ترونه ؟,"All right, boys, as we begin today, we have our goal there, do you see it?"
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"Given a set of fractional word problems the students will accurately solve the problems and explain how they know they're answer is correct.  Now we're gonna be talking about fraction.  Actually we've been talking about fractions.  You know a lot about fractions, don't you?",teacher,44,4,,,0.0,نظرا لمجموعة من مشاكل الكلمات الكسورية سوف يحل الطلاب المشاكل بدقة ويوضحون كيف يعرفون أن إجاباتهم صحيحة. الآن سوف نتحدث عن الكسور. في الواقع كنا نتحدث عن الكسور. تعرف الكثير عن الكسور، أليس كذلك؟,"Given a set of fractional word problems, students will solve problems accurately and explain how they know their answers are correct. Now we'll talk about fractions. In fact, we used to talk about fractions. You know a lot about fractions, don't you?"
"Yes, Teacher, we do.",multiple students,4,0,,,,نعم يا أستاذ، نحن نريد ذلك,"Yes, Professor, we want that."
This means that we're going to work together in order to solve a in your group.  After you're done we'll come back and we share.  All right?,teacher,27,0,,,0.0,هذا يعني أننا سنعمل سوياً من أجل حل مشكلة في مجموعتك وبعد أن تنتهي سنعود ونشارك,This means that we will work together to solve a problem in your group and after you're done we'll come back and share.
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"Now the problem that we have is this one.  I hope that you can see the problem.  I'm gonna read it to you and you're gonna try to solve it together.  It says Miss H asked her students how they get to school each day.  She collected their answers and determined the following results.  Half of her students take the bus.  One-fifth of their parents.  Now that's the problem, right?",teacher,70,0,,,0.0,الآن المشكلة التي لدينا هي هذه. آمل أن تتمكن من رؤية المشكلة. سأقرأها لكم وسوف تحاولون حلها معا. تقول أن السيدة H سألت طلابها كيف يصلون إلى المدرسة كل يوم. جمعت إجاباتهم وقامت بتحديد النتائج التالية. نصف طلابها يأخذون الحافلة. واحد الخامس من والديهم. الآن هذه هي المشكلة، صحيح؟,"Now the problem we have is this. I hope you can see the problem. I will read it to you and you will try to solve it together. She says that Mrs. H asked her students how to get to school every day. She collected their answers and determined the following results. Half of her students take the bus. One-fifth of their parents. Now that's the problem, right?"
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
That's the information that we have.  Now I'm gonna ask you this question.  What's the portion of the students that are going to take the bus?  It says they're – ?,teacher,31,0,,,0.0,هذه هي المعلومات التي لدينا الآن سأسألك سؤالاً ما هو الجزء من الطلاب الذين سيأخذون الحافلة؟,"It is this information that we have now that I will ask you a question, what part of the students will take the bus?"
One [Inaudible],student,2,0,,,,واحد [غير مسموع],One [unheard of]
It says that they're going to take the bus.,teacher,9,0,,,0.0,يقولون أنهم سيأخذون الحافلة,They say they'll take the bus.
Half.,multiple students,1,0,,,,النصف.,Half of it.
Half.  Right?  Half of the students.  And what's the portion that are going to walk?,teacher,15,0,,,0.0,نصف الطلاب و ما الجزء الذي سيذهبون به على الأقدام؟,Half the students and what part will they go on foot?
One-fifth.,student,1,0,,,,واحد الخامس,One fifth One fifth
One-fifth.  And the rest.  Do you know the portion of the rest?,teacher,12,0,,,0.0,واحد الخامس والباقي هل تعرف جزء الباقي؟,"One fifth and the rest of it, do you know the rest of it?"
No.,student,1,0,,,,-كلا .,"- No , not at all ."
You don't know it yet.  Right?  You don't.  You have something to say?,teacher,13,0,,,0.0,أنت لا تعرف ذلك بعد، أليس كذلك؟ ليس لديك شيء لتقوله؟,"You don't know that yet, do you?"
Yes.  I think – one half plus one-fifth will give you the answer.  It probably be the answer of the rest of her student [Inaudible].,student,25,0,,0.0,,نعم، أعتقد أن نصف زائد الخامس سيعطيك الإجابة ربما تكون إجابة بقية طلابها,"Yes, I think half plus five will give you the answer, perhaps the answer will be the answer of the rest of her students."
"We'll see but let's go to the question first.  Now we have the question, right?  The question – the first question that we have there – can you read the question?  Can you read the question? question?  Question A.",teacher,39,0,0.0,,0.0,سنرى ولكن دعونا نذهب إلى السؤال أولا. الآن لدينا السؤال، صحيح؟ السؤال  السؤال الأول الذي لدينا هناك  هل يمكنك قراءة السؤال؟ هل يمكنك قراءة السؤال؟ السؤال؟ السؤال A.,"Now we have the question, right? the first question we have there. can you read the question? can you read the question? question? question? question A."
What percent of the students take the bus?,student,8,1,,0.0,,كم بالمئة من الطلاب يأخذون الحافلة؟,How many percent of students take the bus?
"What percent of the students take the bus.  Now let's think about that.  Now we know how to convert fraction into percents, don't we?",teacher,24,4,1.0,,0.0,كم في المئة من الطلاب يأخذون الحافلة. الآن دعونا نفكر في ذلك. الآن نحن نعرف كيفية تحويل الجزء إلى المئات، أليس كذلك؟,"Now let's think about it. Now we know how to convert the portion to hundreds, right?"
Okay.,multiple students,1,0,,,,-حسناً,-Well then
If you don't know we have it over here but I know that you know.  Now it says half of her students take the bus.  And now the question is what percent of the students take the bus.  Let me go to the girls and see.  Can you tell me what percent of –,teacher,54,2,,,0.0,إذا كنت لا تعرف لدينا هنا ولكن أنا أعرف أنك تعرف. الآن يقول نصف طلابها يأخذون الحافلة. والآن السؤال هو ما المئة من الطلاب يأخذون الحافلة. دعوني أذهب إلى الفتيات وأرى. هل يمكنك أن تخبرني ما المئة من ,If you don't know what we have here but I know you do. now she says half of her students take the bus. now the question is what percentage of students take the bus. let me go to the girls and see. can you tell me what percentage of 
Fifty percent.,student,2,1,,,,خمسين في المئة,Fifty percent
Fifty percent.  Hmm.  Do you –,teacher,6,1,,,0.0,خمسين في المئة.,Fifty percent.
How do you get that?,student,5,0,,,,كيف حصلت على ذلك؟,How did you get that?
Do you all agree though?  Do you all agree that's 50 percent?,teacher,12,1,0.0,,0.0,هل تتفقون جميعاً على ذلك؟ هل تتفقون جميعاً على أن هذا 50 في المئة؟,Do you all agree that this is 50 percent?
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
What about the boys?  Do you all agree?,teacher,8,0,,,1.0,ماذا عن الأولاد؟,What about the boys?
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
And why do you think?  I'm gonna go back to you again.  Why do you think it's 50 percent?,teacher,19,1,,,1.0,ولماذا تعتقدين؟ سأعود إليك مرة أخرى. لماذا تعتقدين أنه 50 في المائة؟,Why do you think it's 50 percent?
'Cause one-half comes to 50 percent.,student,6,1,,,,لأن النصف يصبح 50 في المئة,Because half becomes 50 percent
Because one-half is?,teacher,3,0,1.0,,0.0,لأن النصف هو؟,Because he's halfway there?
Fifty-percent,multiple students,1,1,,,,خمسين في المئة,Fifty percent
The same as?,teacher,3,0,,,0.0,نفسها؟,herself?
Fifty percent.,multiple students,2,1,,,,خمسين في المئة,Fifty percent
Fifty percent.  And are you sure about that?,teacher,8,1,,,0.0,خمسين في المئة هل أنت متأكد من ذلك؟,Fifty percent are you sure about that?
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
You sure?,teacher,2,0,,,0.0,-هل أنتِ متأكدة؟,- Are you sure?
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
You're sure?,teacher,2,0,,,0.0,-هل أنتِ متأكدة؟,- Are you sure?
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
Oh.  Sure or not sure.  Are you sure?,teacher,8,0,,,0.0,متأكدة أو غير متأكدة، هل أنت متأكد؟,"Sure or not sure, are you sure?"
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"Yes.  It's 50 percent, right.  Fifty percent is the same as half.  Any half is 50 percent.  Right?",teacher,18,3,,,0.0,نعم، إنها 50 في المئة، صحيح، 50 في المئة هي نفس النصف، أي نصف هو 50 في المئة، صحيح؟,"Yes, it's 50 percent, right, 50 percent is the same half, that's half is 50 percent, right?"
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
Now that's an easy one to [go down].  Should I write it right here?,teacher,14,0,,,0.0,هذا سهل جداً، هل يجب أن أكتبها هنا؟,"It's too easy, should I write it here?"
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
