text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Okay, we’re all set.  It is on.  Okay, guys.  So we’re going to record for about the next hour.  Finished up our ten-minute math.  You can put your ten-minute math notebooks away. We’re going to take a quick look at the objective in the back.  Students add and subtract fractions by reasoning about fraction equivalents and relationships.  So as you guys know, we’ve done most of our teaching for this unit for fractions and percents.  We’re doing a lot of work now just getting ready for our assessment on Thursday. So what we’ve done is we’ve run off some open-response questions, questions that I think might have been difficult four or five weeks ago, I don’t think they’re difficult any more.  I’m going to go ahead and put up one of them and pass them out to you guys.  This first one’s pretty much a warm-up one.  I don’t want you to do the one on the other side, I just want you to do page two.  I’m going to give you guys about three or four minutes.  That’s all you need, it’s three questions.  And then we’ll go over it together. Everybody has a pencil?  No?",teacher,197,8,,,0.0,حسناً، كل شيء جاهز. لقد تم. حسناً، يا رفاق. لذا سنقوم بتسجيل لساعة قادمة. لقد انتهينا من الرياضيات لمدة عشرة دقائق. يمكنك وضع دفتر ملاحظات الرياضيات لمدة عشرة دقائق بعيداً. سوف نلقي نظرة سريعة على الهدف في الخلف. سوف نضيف الطلاب ونقص الكسور عن طريق التفكير حول مكافئ الكسور والعلاقات. لذا كما تعلمون، لقد قمنا معظم تدريسنا لهذا الوحدة من أجل الكسور والنسبة مئوية. نحن نقوم بعمل الكثير من العمل الآن فقط لإعداد تقييمنا يوم الخميس. لذا ما قمنا به هو أننا نفذ بعض الأسئلة المفتوحة للإجابة، الأسئلة التي أعتقد أنها قد تكون صعبة قبل أربعة أو خمس أسابيع، لا أعتقد أنها صعبة أكثر. أنا ذاهب إلى الأمام ونضيف واحدة من أربعة وأربعة أشخاص إلىكم. ونحن بحاجة إلى القيام بها معاً.,"Okay, everything's ready. It's done. Okay, guys. So we're going to record for the next hour. We've finished math for ten minutes. You can put the math notebook for ten minutes away. We're going to take a quick look at the goal at the back. We're going to add students and fractions by thinking about fractions and relationships. So, you know, we've taught most of this unit for fractions and percentages."
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"Page two.  Page two only, okay?",teacher,6,0,,,0.0,الصفحة الثانية فقط الصفحة الثانية، حسناً؟,"The second page is just the second page, okay?"
Thank you.,student,2,0,,,,شكراً لكِ,Thank you very much.
"You’re welcome.  So just start with page two only.  I’m going to set the timer about three minutes I think, okay, guys? Do you guys have enough light? What’s the first thing you’ve gotta do here?",teacher,36,0,,,0.0,مرحباً بكم، لذا ابدأ بالصفحة الثانية فقط، سأضع التوقيت حوالي ثلاث دقائق، حسناً يا رفاق، هل لديكم ضوء كاف؟ ما أول شيء يجب أن تفعله هنا؟,"Hello, so I'll start with just page two, I'll set the time to about three minutes, all right, guys, do you have enough light? What's the first thing you should do here?"
Find the fraction.,student,3,1,,,,ابحث عن الجزء,Look for the part.
"You’re right, they’re looking for a fraction, we’re not looking for a percent.  But in order to find out the portion of something, the piece of something, what do you have to know first? Looking for the…",teacher,37,2,,,0.0,أنت محق، إنهم يبحثون عن جزء، نحن لا نبحث عن نسبة مئوية. ولكن من أجل معرفة الجزء من شيء، قطعة من شيء، ما الذي يجب أن تعرفه أولاً؟ البحث عن...,"You're right, they're looking for a part, we're not looking for a percentage, but in order to find out the part of something, a piece of something, what do you need to know first?"
[Inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
"No, if I want to find out what one-fourth of something is, I have to know what the whole thing is, right?  I’ve got to find out the whole first.  That’s going to be the key to most every one of these.  Okay?  How can you find out the whole?",teacher,50,3,,,1.0,لا، إذا أردت أن أعرف ما هو ربع شيء ما، يجب أن أعرف ما هو كل شيء، أليس كذلك؟ يجب أن أعرف كل شيء أولاً. هذا سيكون المفتاح لمعظم كل هذا. حسناً؟ كيف يمكنك معرفة كل شيء؟,"No, if I want to know what a quarter of something is, I have to know what everything is, right? I have to know everything first. That would be the key to most of this."
By finding the … the …,student,6,0,,,,عن طريق إيجاد ...,By finding the ...
What parts make up the whole?,teacher,6,1,0.0,,1.0,ما هي الأجزاء التي تشكل الكلية؟,What are the parts that make up the kidney?
The percent?,student,2,1,,,,المئة؟,One hundred?
"No, what are we talking about here?",teacher,7,0,,,0.0,لا، ما الذي نتحدث عنه هنا؟,"No, what are we talking about here?"
Fractions.,student,1,1,,,,الكسور.,Fractures.
"Yep, but we’re talking about, it looks like books, right? They want to know what fraction of those books are novels.  So are we talking about candy here?",teacher,28,1,,,0.0,نعم، ولكننا نتحدث عن، يبدو وكأنه كتب، أليس كذلك؟ يريدون أن يعرفوا أي جزء من تلك الكتب هي روايات.,"Yeah, but we're talking about, it sounds like books, doesn't it? they want to know which part of those books is fiction."
No.,student,1,0,,,,-كلا .,"- No , not at all ."
What are we talking about?,teacher,5,0,,,0.0,ما الذي نتحدث عنه؟,What are we talking about?
Books.,student,1,0,,,,الكتب.,The books.
Right.  So what do you think the whole of the books are?  How would I find out?,teacher,17,1,,,1.0,حسناً، ما الذي تعتقدين أن الكتب كلها عنه؟,"Well, what do you think all the books are about?"
By adding?,student,2,0,,,,عن طريق إضافة؟,By adding?
"Yes, by adding what?",teacher,4,0,,,0.0,نعم، عن طريق إضافة ماذا؟,"Yes, by adding what?"
The books together.,student,3,0,,,,الكتب معاً,The books were written together.
