text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Okay.  Great.  So, everybody has in front of them a small piece of do-now work.  I’m gonna borrow this, please.  Thank you. If you don’t have enough room here, you can do your work on another side of the page. We’re going to pretend that I’m planning my birthday party.",teacher,50,0,,,0.0,حسناً. عظيم. لذا، الجميع أمامهم قطعة صغيرة من العمل الآن. سأستعير هذا، من فضلك. شكراً. إذا لم يكن لديك مساحة كافية هنا، يمكنك القيام بعملك على الجانب الآخر من الصفحة. سنظاهر أنني أخطط لحفلة عيد ميلادي.,"Okay. great. so everyone has a little piece of work now. i'll borrow this, please. thanks. if you don't have enough space here, you can do your job on the other side of the page. we'll pretend i'm planning a birthday party."
Why?,student,1,0,,,,-لماذا؟,-Why?
Because we’re doing a combination problem.,teacher,6,0,,,0.0,لأننا نقوم بمشكلة مزيجية,Because we're having a mixed problem.
But we can do it today.,student,6,0,,,,لكن يمكننا القيام بذلك اليوم.,But we can do it today.
"Well, no, I just want to talk about the do-now work here.  And the do-now work says, “How many combinations can you make? Show your work and explain your thinking.  Teacher R wants to make cupcakes for her birthday.  She has many choices to make.” “Each cupcake can be one flavor, one type of frosting and one color sprinkle.”  Who can tell me what flavor cupcakes can I choose from?  What does it say?  Student I?",teacher,76,3,0.0,,0.0,حسناً، لا، أريد فقط أن أتحدث عن العمل الحالي هنا. والعمل الحالي يقول: كم مزيج يمكن أن تجعله؟ أظهر عملك وتفسير تفكيرك. المعلمة R تريد أن تصنع الكعك لعيد ميلادها. لديها العديد من الخيارات التي يمكن أن تجعلها.  كل كعك يمكن أن يكون ذوق واحد، نوع واحد من الجليد ورشة واحدة من اللون. من يمكنه أن يخبرني من أي كعك ذوق يمكن أن أختار؟ ماذا يقول؟ الطالب I؟,"Well, no, I just want to talk about the current work here. And the current work says: How many mixes can you make it? Show your work and explain your thinking. Teacher R wants to make cakes for her birthday. She has many options to make them. Each cake can have one taste, one type of ice cream and one color workshop. Who can tell me which taste cakes can I choose? what does he say? student I?"
It says chocolate.,student,3,0,,,,يقول الشوكولاتة,Says the chocolate
Yeah.,teacher,1,0,,,0.0,-أجل، أجل,"- Yes, yes, yes"
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
"No, just the cupcake flavors.  Yes.",teacher,6,1,,,0.0,لا، فقط طعم الكعك,"No, just the taste of the cakes."
"Chocolate, vanilla and that’s all.",student,5,0,,,,الشوكولاتة والفانيليا وهذا كل شيء.,Chocolate and vanilla and that's it.
"Okay.  So, my flavors of cupcakes are chocolate and – actually, let me move this down – and vanilla.  Great.  What are my other choices that I can make?  Student B?",teacher,31,1,1.0,,0.0,حسناً، طعم الكعك الخاص بي هو الشوكولاتة و في الواقع، دعني أحرك هذا إلى أسفل و فانيلا. عظيم. ما هي الخيارات الأخرى التي يمكنني اتخاذها؟ الطالب ب؟,"Well, my cake tastes like chocolate and actually, let me move this down and vanilla. great. what other choices can I make? student b?"
Frostings.,student,1,0,,,,التجميد.,The freezing.
"Huh, so the kind of frosting.  You’re going to need more space. [Foreign language.]  Okay?  Work over there. Okay.  So, you have the frosting.  Student B, what is frosting?",teacher,29,0,,,0.0,حسناً، هذا النوع من التجميد، ستحتاج إلى مساحة أكبر، حسناً، أعمل هناك، حسناً، لديك التجميد، الطالب ب، ما هو التجميد؟,"Well, this kind of freezing, you'll need more space, well, I work there, well, you have freezing, student B, what is freezing?"
"It’s, like, the same that you can [inaudible].",student,8,0,,0.0,,هو، مثل، نفس الذي يمكنك [غير مستمع].,"It's, like, the breath you can [unlisten]."
"Yeah, when you have your cupcake – let me draw my cupcake up here.  Let’s go down a little bit.  That’s my cupcake.  The cake is on the inside.  The frosting is what I put on the outside.  And then, what flavors of frostings do I have?",teacher,47,3,0.0,,0.0,نعم، عندما يكون لديك كعكك دعيني أرسم كعبتي هنا، دعيني أسقط قليلاً. هذه كعبتي. الكعكة في الداخل. الجليد هو ما وضعته في الخارج. وبعد ذلك، ما هي طعم الجليد الذي لدي؟,"Yes, when you have your cake, let me paint my cake here, let me drop a little. This is my cake. The cake is inside. The ice is what you put on the outside. And then, what is the taste of the ice I have?"
You looked and you have [body]. Pink –,student,8,0,,0.0,,لقد نظرت ولديك (جسم) الوردي,I've looked at you and you have a pink body.
Yeah.,teacher,1,0,0.0,,0.0,-أجل، أجل,"- Yes, yes, yes"
Green and yellow.,multiple students,3,0,,,,الخضراء والصفراء,Green and yellow
"Okay.  So, I’ve got my pink, my green and my yellow.  And I’ll put that over here for right now.",teacher,20,0,,,0.0,حسناً، لديّ الوردية والخضراء والصفراء، وسأضعها هنا الآن.,"Well, I have pink, green, and yellow, and I'll put them here right now."
Are you doing the TiVo?,student,5,0,,,,"هل تقوم بـ""تيفو""؟",Are you playing tifo?
Yeah.  The camera is on.,teacher,5,0,1.0,,0.0,أجل، الكاميرا تعمل,"Yes, the camera works."
How many?,student,2,0,,,,كم عدد؟,How many numbers?
How many what?,teacher,3,0,,,0.0,كم عدد ماذا؟,How many numbers of what?
How many cameras did you turn on?,student,7,0,,,,كم كاميرات قمت بتشغيلها؟,How many cameras have you turned on?
All three of the cameras are on right now.,teacher,9,0,1.0,,0.0,جميع الكاميرات الثلاثة تعمل الآن,All three cameras are now operational.
"You went like, three.",student,4,0,,,,ذهبت مثل، ثلاثة.,"I went like, three."
"Yes.  Well, let’s –",teacher,4,0,,,0.0,أجل، حسناً، لنذهب,"Yeah, well, let's go."
Is it looking this way?,student,5,0,,,,هل تبدو هكذا؟,Does it look like this?
"The camera is facing three different directions.  We’re gonna try and ignore the camera.  I know that’s hard, but try real hard. So, who can tell me, what’s the last choice I need to make with my cupcakes?  Student S?",teacher,40,1,0.0,,0.0,الكاميرا تتجه في ثلاثة اتجاهات مختلفة سنحاول تجاهل الكاميرا أعلم أن هذا صعب، لكن حاول بجد، لذا، من يستطيع أن يقول لي، ما هو الخيار الأخير الذي يجب أن أفعله مع كعكي؟ الطالب S؟,"We'll try to ignore the camera, I know it's hard, but try hard, so who can tell me, what's the last thing I have to do with this cake?"
Sprinkles.,student,1,0,,,,ورشات.,Workshops.
"Sprinkles, thank you.  Sprinkles and the sprinkles are the little bits I put on top of my cupcake like this.  And what are my choices, Student S?",teacher,27,1,,,0.0,الشربات والشربات هي القطع الصغيرة التي وضعتها على رأس كعكي هكذا وما هي خياراتي يا طالب (س) ؟,"Drinks and drinks are the little pieces I put on your head like this and what are my options, student (s)?"
"Stars, hearts – Two of them are [inaudible]. Circles.",student,9,1,,0.0,,النجوم، القلبين، اثنان منهم، دائرة.,"The stars, the two hearts, two of them, a circle."
