text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Okay, so here’s the fraction track that we started with yesterday.  And some of you got started.  Can somebody explain how they knew either how to fill in blank dots or where to add dots.  Student F?",teacher,37,2,,,1.0,حسناً، وهنا مسار الجزء الذي بدأنا به بالأمس. وبعضكم بدأ. هل يمكن لأحد أن يشرح كيف عرف إما كيف يملأ النقاط الفارغة أو أين يضيف النقاط. الطالب F؟,"Well, here's the trajectory of the part we started yesterday, and some of you started.Can anyone explain how he knew either how to fill in the blanks or where to add the dots?"
Because if those – if it was in the fourth thing you only knew – you already knew that there [inaudible] 50 and 75 [inaudible] and 100 [Indiscernible] single one of them so we didn’t have to guess that.,student,39,0,,1.0,,لأنه إذا كانت تلك  إذا كانت في الشيء الرابع كنت تعرف فقط  كنت تعرف بالفعل أن هناك [غير سمع] 50 و 75 [غير سمع] و 100 [غير قابل للتمييز] واحد منهم لذلك لم يكن علينا تخمين ذلك.,Because if that was in the fourth thing you only knew you already knew that there were 50 and 75 and 100 of them so we shouldn't have guessed that.
"You’re right.  So these are all marked as one whole, which we’re also going to change into fractions as we go.  So, it sounds like you looked at the one out of fourths first.  Is that what you had said?  This one? So you knew what about fourths?",teacher,48,2,0.0,,0.0,أنت على حق. لذلك كل هذه علامة ككل واحد، والتي سوف نقوم أيضا تغييرها إلى كسور بينما نحن نذهب. لذلك، يبدو وكأنك نظرت إلى واحد من أرباع أولا. هل هذا ما قلت؟ هذا واحد؟,"So, you're right. So all of this sign as a whole, which we'll also change into fractions as we go. So, it looks like you looked at one of the quarters first. Is that what I said? Is that one?"
"That there was only four and there were only 25, 75 – I mean 25, 50, and 75 and 100 [inaudible] so you have to guess that one.",student,28,0,,0.0,,أنه كان هناك أربعة فقط و كان هناك فقط 25، 75  أعني 25، 50، و 75 و 100 [غير مسموع] لذلك يجب أن تخمن ذلك واحد.,"That there were only four and there were only 25, 75, I mean 25, 50, 75, and 100 [unheard of] so you have to guess that one."
"Okay, so it sounds like you took the fractions and you changed them to what?",teacher,15,1,0.0,,0.0,حسناً، يبدو أنك أخذت الكسور وتغيرتها إلى ماذا؟,"Well, it looks like you took the fractures and changed them to what?"
"Twenty five, fifty –",student,4,0,,,,خمسة وعشرون، خمسين ,"Twenty-five, fifty "
I don’t know what that means.  Can you explain that a little bit further?  Where did you get 25 from?,teacher,20,0,,,1.0,لا أعرف ما يعنيه هذا هل يمكنك تفسير ذلك بقليل؟ من أين حصلت على 25؟,"I don't know what that means, can you explain that a little bit?"
Is it recording or no?,student,5,0,,,,هل هو تسجيل أم لا؟,Is it a recording or not?
Uh-huh.,teacher,1,0,0.0,,0.0,اه-ها.,Ah-ha. 
Oh.,student,1,0,,,,-أوه .,-Oh .
"It’s fine.  Don’t worry about the camera.  It’s just like a normal math day.  So, I liked what you said.  You know that it has 25, 50, and 75.  I’m just wondering where those numbers came from.",teacher,37,0,,,0.0,لا بأس، لا تقلق بشأن الكاميرا. إنها مثل يوم رياضي عادي. لذلك، أحببت ما قلته. أنت تعرف أنه يحتوي على 25، 50، و 75. أنا فقط أتساءل من أين تأتي تلك الأرقام.,"It's okay, don't worry about the camera. It's like a normal sports day. So, I liked what you said. You know it has 25, 50, and 75. I just wonder where those numbers come from."
Twenty five [inaudible] I know where the [middle] –,student,9,0,,0.0,,خمسة وعشرون [غير مسموع] أنا أعرف أين [الوسط] ,Twenty-five [unheard of] I know where [the middle] is 
But I wrote ¼.  I didn’t write 25.  So where are you getting 25 from?,teacher,15,0,1.0,,1.0,لكنّي كتبتُ 1⁄4. لم أكتب 25، إذاً من أين حصلتُ على 25؟,"But I wrote 1⁄4.I didn't write 25, so where did I get 25?"
I know that one-fourth is 25.  I know that two-fourth is 50. And I know that three-fourth is 75.,student,19,0,,0.0,,أنا أعرف أن ربع واحد هو 25 أنا أعرف أن ربع اثنين هو 50 وأنا أعرف أن ربع ثلاثة هو 75.,"I know one quarter is 25, I know two quarters is 50, and I know three quarters is 75."
Okay.,teacher,1,0,0.0,,0.0,-حسناً,-Well then
And I know [inaudible],student,4,0,,,,وأنا أعرف [غير مسموع],And I know [unheard of]
"Excellent.  You’re doing something, but you’re not explaining what you’re doing.  So you’re taking ¼ and you said you changed it to 25.  What does that mean that you changed it to 25?",teacher,33,0,,,1.0,رائع، أنت تفعل شيئاً، ولكنك لا تشرح ما تفعله، لذا أنت تأخذ 1/4 وتقول أنك غيرته إلى 25. ماذا يعني ذلك أنك غيرته إلى 25؟,"You're doing something, but you don't explain what you're doing, so you take 1/4 and say you changed it to 25."
I turned into a percent.,student,5,1,,,,لقد تحولت إلى نسبة مئوية,It has shifted to a percentage.
"Okay, thank you.  That’s what I was looking for.  So you changed it 25 percent, right?  Very good.  That’s a big difference so you want to remember to say that.  So, how many of you did that.  How many of you took this fraction track and thought of it as percents?  I’m just curious. Just a few of you?  Okay, because we have been working on that a lot so I thought a lot of people might do that. Excellent job. So, let’s focus in on this one since Student F pointed it out.  Is there something that is missing --",teacher,101,3,1.0,,1.0,حسناً، شكراً. هذا ما كنت أبحث عنه. لذلك قمت بتغييرها بنسبة 25 في المائة، أليس كذلك؟ جيد جداً. هذا فرق كبير لذلك تريد أن تتذكر قول ذلك. لذا، كم منكم فعل ذلك. كم منكم أخذ هذا المسار الفقري وفكر في أنه في المئات؟ أنا فقط فضولي. فقط عدد قليل منكم؟ حسناً، لأننا كنا نعمل على ذلك كثيراً لذلك اعتقدت أن الكثير من الناس قد يفعلون ذلك. عمل ممتاز. لذا، دعونا نركز على هذا واحد منذ أن أشار الطالب F إليه. هل هناك شيء ما يفتقد -,"Well, thank you. That's what I was looking for. So I changed it by 25 percent, right? Very good. That's a big difference so you want to remember to say that. So, how many of you did it. How many of you took this spine path and thought it was in the hundreds? I'm just curious. Just a few of you?"
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
In that fourths fraction track.  Student J?,teacher,7,1,,,0.0,في مسار الجزء الرابع، الطالب جي؟,"In the course of the fourth part, student J?"
We’re missing two-fourth.,student,3,0,,,,نحن نقصان أرباعين,We are losing four quarters.
Two-fourths. Excellent.  And does anyone know what two-fourth is equal to?  Student S?,teacher,13,0,,,1.0,اثنان أرباع. ممتاز. و هل يعرف أحد ما أرباع اثنان تساوي؟ الطالب S؟,Two quarters. Excellent. And does anyone know what two quarters equals?
Half.,student,1,0,,,,النصف.,Half of it.
A half.  So where should my dot be?,teacher,8,0,,,0.0,نصف، إذاً أين يجب أن تكون نقطتي؟,"Half, then where should my point be?"
In the middle.,student,3,0,,,,في الوسط,In the middle
In the middle between what?,teacher,5,0,,,0.0,في منتصف ما؟,In the middle of what?
"One-fourth, one-fourth. And three-fourth. One-fourth –",student,6,0,,,,ربع واحد، ربع واحد، وثلاثة أربعة، ربع واحد,"Quarter one, quarter one, and three four, quarter one"
"Okay, that’s true.  In the middle between here.  It should also – if I’m comparing all of my fraction tracks what else should I be looking at that I could compare it to?  So, yes, it should be in the middle between there.  Student T?",teacher,45,1,0.0,,0.0,حسنا، هذا صحيح. في الوسط بين هنا. يجب أن يكون أيضا  إذا كنت مقارنة جميع أثر الكسور الخاصة بي ما يجب أن أبحث في أي شيء آخر يمكنني مقارنته؟,"Well, that's right. in the middle of here. It should also be if I compare all my fracture effects what should I look for in anything else I can compare?"
You shouldn’t look at the top.,student,6,0,,,,لا يجب أن تنظر إلى القمة,You shouldn't look at the top.
"Okay.  We had the very first halfway mark labeled for us. Student T, since you weren’t here you should be filling this in as you go.  And I know a few others yesterday didn’t get to filling the entire chart out so this is your chance to check it because we’re using it for the game.",teacher,56,0,0.0,,0.0,حسناً، كان لدينا علامة منتصف الطريق الأولى المسموحة لنا الطالب (تي) بما أنك لم تكن هنا يجب أن تملأ هذا أثناء رحلتك وأعرف أن بعض الآخرين بالأمس لم يتمكنوا من ملء الرسم البياني بأكمله لذا هذه هي فرصتك للتحقق منه لأننا نستخدمها للعبة,"Well, we had a halfway mark on the first path allowed to us student (s) since you weren't here you should fill this out during your trip and I know that some others yesterday couldn't fill out the entire chart so this is your chance to check it out because we use it for the game"
[Inaudible] in the middle [inaudible],student,5,0,,,,[غير مسموع] في الوسط [غير مسموع],[Unheard] in the middle of [Unheard]
"Excellent job with the two-fourth.  So, is our fourths track filled in completely?",teacher,13,0,0.0,,0.0,عمل ممتاز مع الثانية الرابعة إذاً، هل مسار الرابعة مليء بالكامل؟,"Excellent work with the fourth second, so is the fourth track completely filled?"
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
How do we know?  Student D?,teacher,6,0,,,1.0,كيف نعرف، الطالب (دي) ؟,"How do we know, student (s)?"
"‘Cause you can one-fourth, two-fourth and ¾.",student,7,0,,,,لأنك تستطيعين ربع، ربع و ربع و ربع,"Because you can make a quarter, a quarter and a quarter and a quarter."
"Okay, good.  So you were looking at the top number which is called –",teacher,14,0,0.0,,0.0,حسناً، حسناً، إذاً كنت تنظر إلى العدد الأعلى الذي يسمى ,"Well, well, then you're looking at the highest number called ."
The numerator.,student,2,1,,,,العداد.,The counter.
"The numerator. We are looking at the numerator or the part and we see it go zero- fourth, one-fourth two-fourth, three-fourth one.  How could we change that to help us know that we really are correct? Student J?",teacher,38,2,,,1.0,الرقم. نحن ننظر إلى الرقم أو الجزء ونرى أنه يذهب إلى الصفر الرابع، واحد ربع اثنان أربع، ثلاثة أربع واحد. كيف يمكننا تغيير ذلك لمساعدتنا على معرفة أننا حقا على حق؟ الطالب J؟,"We look at the number or part and see that it goes to zero four, one quarter two four, three four one. How can we change that to help us know that we are really right? Student J?"
The four-fourth.,student,2,0,,,,أربعة أربعة.,Four four four.
"The four-fourth, good.  So I’m just going to put that in parenthesis to check my work.  You could do that, too, if you want to check your work.  It’s up to you.  Can somebody choose another track for us to finish off?  Student T?",teacher,44,0,,,0.0,الرابعة الرابعة، جيد. لذلك سأضع ذلك في العلاقة فقط للتحقق من عملي. يمكنك القيام بذلك أيضا، إذا كنت ترغب في التحقق من عملك. الأمر عائد إليك. هل يمكن لأي شخص أن يختار مسار آخر لنا لإنهاء؟ الطالب T؟,"So I'm going to put that in relation only to verify my work. You can do that too, if you want to verify your work. It's up to you. Can anyone pick another path for us to finish? Student T?"
We finish off the – six – I meant the eighths.,student,11,0,,0.0,,نحن ننتهي من  6  قصدت الثامنة.,"We finished 6th, I mean 8th."
The eighths.,teacher,2,0,1.0,,0.0,الثمانية.,Eight.
Yeah.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"Okay, very good.  So the eighths are a little more confusing, but we did learn a lot of the equivalent fractions.  So are there any fractions in the eighths that we know are equal to another fraction that might be already labeled on the chart?  It’s kind of a tricky question.  But I always think of that yummy chocolate bar that I let you guys eat, and remember it was broken up into four pieces? And then we had to make eight pieces out of it, and what did you do? Student B?",teacher,93,3,,,0.0,حسناً، جيد جداً. حسناً، الثمانيات أكثر إرتباكاً قليلاً، لكننا تعلمنا الكثير من الكسور المعادلة. إذاً هل هناك أي كسور في الثمانيات التي نعلم أنها تساوي كسور أخرى قد تكون مسموحة بالفعل على الرسم البياني؟ هذا سؤال صعب نوعاً ما. ولكنني أفكر دائماً في ذلك الشوكولاتة اللذيذة التي تركتكم تأكلونها، وتذكرون أنه تم تقسيمها إلى أربعة قطع؟ ثم كان علينا صنع ثمانية قطع منها، وماذا فعلتم؟ الطالب ب؟,"Well, well, the eighths are a little more confusing, but we've learned a lot of equal fractions, so are there any fractions in the eighths that we know are equal to other fractions that might already be allowed on the chart?"
We broke it in half.,student,5,0,,,,لقد كسرناه إلى النصف,We've already broken it in half.
Good.  We broke those pieces in half and then we got to gobble them up.  So which one?,teacher,18,0,1.0,,0.0,حسناً، لقد كسرنا تلك الأجزاء إلى النصف ثم يجب أن نبتلعها.,"Well, we've broken those pieces in half and then we have to swallow them."
Two-eighths.,student,1,0,,,,اثنان ثمانية.,Two eight.
Two-eighths is equal to?,teacher,4,0,,,0.0,اثنان ثمانية تساوي؟,Two eight is equal to?
One-fourth.,student,1,0,,,,ربع واحد.,A quarter and a half.
One-fourth.  So that’s how you can check your work if they line up correctly.  We know that those two are equal.  Check that you did that.  Or they might have already had that one done for you.,teacher,37,1,,,0.0,واحد ربع. وهكذا يمكنك التحقق من عملك إذا كانت متسلسلة بشكل صحيح. نحن نعلم أن هذان الاثنان متساويان. تحقق من أنك فعلت ذلك. أو قد يكون لديهم بالفعل ذلك واحد من أجلك.,One-quarter. So you can check your work if it's sequenced correctly. We know these two are the same. Check that you did it. Or they may already have that one for you.
Yes.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
There’s another one or a couple more for the eighths that are equal to something else.  Does anybody know another fraction out of eight that is equal to something else on the chart?  Student J?,teacher,35,1,,,1.0,هناك واحد آخر أو اثنين آخرين للثمانية التي تساوي شيء آخر. هل يعرف أي شخص جزء آخر من ثمانية التي تساوي شيء آخر على الرسم البياني؟ الطالب J؟,There's another one or two more of the eight that's worth something else. does anyone know of another part of the eight that's worth something else on the chart? student J?
Four-eights.,student,1,0,,,,أربعة ثمانية.,Four eight.
Four-eights is equal to ½.  So that’s what I’m going to do. What’s the problem back there?,teacher,17,0,,,0.0,أربعة ثمانية تساوي 1⁄2. لذلك هذا ما سأفعله. ما هي المشكلة هناك؟,Four eighths is equal to 1⁄2. so this is what I'm going to do.
I don’t get this.,student,4,0,,,,أنا لا أفهم هذا,I don't understand this.
"So you did miss yesterday’s lesson so I will help you.  Just as a reminder, you might have missed yesterday; these are just like number lines. Do you remember how we worked on the fractions with the number line? So, each line is a number line.  This one is broken up into halves.  This one is going to be broken up into thirds, although it’s not complete, but if you look at this one, we finished this one.  So it’s just like a number line where we have lines to break them up.",teacher,93,7,,,0.0,إذاً فقدت درس البارحة لذا سأساعدك. فقط لتذكير، ربما فقدت البارحة؛ فهذه مثل خطوط الأرقام. هل تتذكر كيف عملنا على الكسور مع خط الأرقام؟ إذاً، كل سطر هو سطر أرقام. يتم تقسيم هذه إلى نصفين. هذه سوف يتم تقسيمها إلى ثلثين، على الرغم من أنها ليست كاملة، ولكن إذا نظرت إلى هذه، لقد انتهينا من هذه.,"So you missed yesterday's lesson so I'll help you. Just to remind you, maybe you missed yesterday; it's like a number line. Do you remember how we worked on fractions with a number line? So, each line is a number line. These are divided in half. These will be divided in two thirds, although they're not perfect, but if you look at these, we're done with these."
"Oh, I’m [getting it.]",student,4,0,,,,أوه، أنا [أحصل عليه.],"Oh, I [get it.]"
But now it’s in dots.  Okay?,teacher,6,0,,,0.0,لكن الآن هو في النقاط، حسناً؟,"But now it's in the points, okay?"
[inaudible],student,1,0,,,,[غير مسموع],[Unheard of]
"And they’re all lined up together because we’re using some information from other ones to help us fill in the rest. And it’s going to be a game board so we’re going to need – yes, Student S?",teacher,38,1,,,0.0,ونحن نستخدم بعض المعلومات من الآخرين لمساعدتنا على ملء الباقي. وسوف يكون اللوحة لعبة لذلك نحن سوف نحتاج نعم، الطالب S؟,"And we use some of the information from others to help us fill out the rest. and the board will be a game so we'll need yes, student S?"
I know how to figure out the fraction.,student,8,1,,0.0,,أنا أعرف كيفية معرفة الجزء.,I know how to figure out the part.
"Okay, excellent.  Hold on because Student J just told me – what did you tell me?  Four-eights?  Yes?  And you told me it was equal to what?",teacher,27,0,0.0,,1.0,حسناً، ممتازة، انتظر، لأن الطالب (ج) أخبرني للتو ماذا قلت لي؟ أربعة ثمانية؟ نعم؟,"Okay, fine, wait, because student (c) just told me what you said to me?"
One-half.,student,1,0,,,,ونصف.,One and a half.
"One-half.  So that’s where I was lining them up, making sure that they’re lined up as best as I can.  It’s not going to be perfect. The important part is that you’re using the skills that you know because we know it’s not going to be perfect.  None of us are.  Right?",teacher,52,1,,,0.0,النصف. إذاً هذا هو المكان الذي كنتُ أضعهم فيه، أتأكد من أنّهم في صف أفضل ما يمكنني. لن يكون الأمر مثاليًا. الجزء المهم هو أنك تستخدم المهارات التي تعرفها لأننا نعلم أنها لن تكون مثاليًا. لا أحد منا كذلك. أليس كذلك؟,"So this is where I've been putting them, making sure they're in line as best as I can. It won't be perfect. The important part is that you use the skills you know because we know they won't be perfect. None of us are either, right?"
Right.,multiple students,1,0,,,,-حسناً,-Well then
"As long as you’re trying to line things up and make them even. Like you can see right here, these piece aren’t equal but should they be?",teacher,27,1,,,0.0,طالما أنك تحاول ترتيب الأشياء وتجعلها متساوية كما ترون هنا، هذه الأجزاء ليست متساوية ولكن هل يجب أن تكون؟,"As long as you try to arrange things and make them equal as you can see here, these parts are not equal but should they be?"
Yeah.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
