text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Okay.  So you have the paper out that we started yesterday. This is math.  It looks like this.  Can you turn to page 3; it starts with 7A.  Can someone read 7A for me, please? Student K, can you read 7A?",teacher,41,0,,,0.0,حسناً، لديكم الورقة التي بدأنا بها بالأمس. هذه هي الرياضيات. تبدو هكذا. هل يمكنك الانتقال إلى الصفحة الثالثة؟ تبدأ بـ 7A. هل يمكن لأحد أن يقرأ 7A لي، من فضلك؟,"Well, you have the paper we started with yesterday. This is mathematics. It looks like this. Can you move on to page three? It starts with 7A. Can someone read 7A to me, please?"
Fourth grade planted a school garden.  Fourth graders planted 37 rows of sunflowers.  They planted 8 sunflowers in each row.  How many sunflowers did they plant?,student,26,0,,0.0,,في الصف الرابع زرعوا حديقة مدرسة. طلاب الصف الرابع زرعوا 37 صف من زهور الشمس. زرعوا 8 زهور الشمس في كل صف. كم عدد زهور الشمس زرعوا؟,In the fourth grade they planted a school garden. The fourth grade students planted 37 rows of sunflowers. They planted 8 sunflowers in each row. How many sunflowers did they plant?
"All right.  What operation are we looking for here?  We’ve talked about addition, subtraction, multiplication, and division.  Student M, can you open up to where it says 7A, please?  Student T, what operation are we talking about here?  What do we need to use to solve 7A?  Okay.  We need to use division.  So the fourth graders planted 37 rows of sunflowers, so what’s the division problem going to be, Student T?",teacher,72,6,1.0,,0.0,حسناً. ما العملية التي نبحث عنها هنا؟ لقد تحدثنا عن الجمع والسحب والضرب والانقسام. الطالب M، هل يمكن أن تفتح إلى حيث يقول 7A، من فضلك؟ الطالب T، ما العملية التي نتحدث عنها هنا؟ ما الذي نحتاج إلى استخدامه لحل 7A؟ حسناً. نحتاج إلى استخدام الانقسام.,"Well, what process are we looking for here? we've talked about addition, subtraction, multiplication, and division. student m, can you open up where 7a says, please? student t, what process are we talking about here? what do we need to use to solve 7a? well. we need to use division."
37 divided by 8.,student,4,1,,,,37 مقسمة على 8.,37 divided by 8.
"Okay.  So this is, row number 1 are sunflowers, right?  So Student T, you were saying 37 divided by 8.  This is row number 1.  How many sunflowers are in that row?  Student T, go ahead.",teacher,36,1,,,0.0,حسناً، هذه صف رقم 1 هي زهور الشمس، صحيح؟ إذاً الطالب T، كنت تقول 37 مقسماً بـ 8، هذه صف رقم 1. كم عدد زهور الشمس في تلك الصف؟ الطالب T، هيّا.,"So student T, you were saying 37 divided by 8, this is row number 1. How many sunflowers are in that row? student T, come on."
8.,student,1,0,,,,8,8 8
"Eight sunflowers in that row.  This is row number 2.  How many sunflowers in that row, Student K?",teacher,18,0,,,0.0,ثمانية أزهار شمسية في ذلك الصف هذا الصف رقم 2 كم عدد أزهار شمسية في ذلك الصف، الطالب ك؟,"Eight sunflowers in that class this class number 2 km number of sunflowers in that class, student Q?"
8.,student,1,0,,,,8,8 8
"8.  This is row number 3, Student S?",teacher,8,0,,,0.0,هذا الصف رقم 3، الطالب S؟,"This is class number 3, student S?"
8.,student,1,0,,,,8,8 8
"8.  What operation are we doing here, Student R?",teacher,9,0,,,0.0,ما العملية التي نقوم بها هنا، الطالب (ر) ؟,"What process are we doing here, student (r) ?"
"You’re doing, um, –",student,4,0,,,,أنت تفعل، أم،,"You do, um, "
What does the 37 stand for?,teacher,6,0,,,0.0,ما الذي يمثله 37؟,What does 37 represent?
The sunflowers.,student,2,0,,,,الزهور الشمسية,Sunflowers
"Look at the problem.  What does the 37 stand for in this problem, Student J?",teacher,15,0,,,0.0,انظر إلى المشكلة، ما الذي يمثله 37 في هذه المشكلة، الطالب جي؟,"Look at the problem, what does 37 represent in this problem, student J?"
How many rows.,student,3,0,,,,كم عدد الصفوف,How many rows are there?
Okay.  The 37 is the amount of rows.  What does the 8 stand for?  Student S?,teacher,16,0,,,0.0,حسناً، 37 هو كمية الصفوف، ماذا تعني 8؟ الطالب S؟,"Well, 37 is the number of rows, so what does 8 mean?"
The flowers.,student,2,0,,,,الزهور,The flowers
"The 8 stands for the amount of flowers.  Student R, stop.  You have to go sit next to Student J.  Please.  Without complaining, go sit next to Student J.  So the 8 stands for the amount in each row.  What operation is this?  Student M?",teacher,45,0,,,0.0,8 تعني كمية الزهور. الطالب R، توقف. عليك أن تجلس بجانب الطالب J. من فضلك. بدون الشكوى، تجلس بجانب الطالب J.,"Student R, stop. You need to sit next to student J. Please. without complaint, sit next to student J."
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
"So I’m dividing these 37 into 8 pieces.  Let’s keep going.  In number 4, how many do I have?  Student J?",teacher,21,0,,,0.0,اذا انا اقسم هذه 37 الى 8 قطع دعونا نستمر في الرقم 4 كم عدد لدي؟ الطالب J؟,So I'm going to divide these 37 to 8 pieces so let's go on to the number 4 how many numbers do I have?
You have 8.,student,3,0,,,,لديك 8,You have 8
"I have 8.  In number 5, how many do I have, Student B?  I have 8.  What am I doing here?  It looks to me like I’m counting by 8s.  What operation is that, Student J, if I’m counting by a certain number?",teacher,43,0,,,0.0,لدي 8. في الرقم 5، كم عدد لدي، الطالب ب؟ لدي 8. ماذا أفعل هنا؟ يبدو لي وكأنني أعد بـ 8s. ما هي هذه العملية، الطالب J، إذا كنت أعد بـ رقم معين؟,"I have 8. In the number 5, how many numbers do I have, student b? I have 8. What do I do here? It seems to me like I'm counting by 8s. What is this process, student J, if I'm counting by a certain number?"
Skip counting?,student,2,0,,,,تخطي العد؟,Exceeding the count?
"It’s skip counting, which is exactly the same as what, Student I?  Multiplication.  This is a multiplication problem.  37 rows, 8 in each row.  That’s like if I had 37 friends and I gave 8 of something to each friend.  How could we solve this?  Student D, how could we solve this?",teacher,52,2,,,1.0,انها عداد تخطي، والتي هي بالضبط نفس ما، الطالب الأول؟ مضاعفة. هذه مشكلة مضاعفة. 37 صفوف، 8 في كل صف. هذا مثل لو كان لدي 37 صديق وأعطيت 8 من شيء لكل صديق. كيف يمكننا حل هذا؟ الطالب D، كيف يمكننا حل هذا؟,"This is a double problem. 37 rows, 8 in each row. This is like if I had 37 friends and gave each friend 8 things. How can we solve this? Student D, how can we solve this?"
You could do 37 times –.,student,6,0,,,,يمكنك فعل 37 مرة .,You can do it 37 times .
"Okay, so 37. Let’s draw.  Let’s draw an array.  The dimensions of my array are what, Student J?",teacher,18,3,1.0,,0.0,حسناً، إذاً 37. دعونا نرسم. دعونا نرسم صف. أبعاد صفري هي ما، الطالب J؟,"Okay, so 37. let's draw. let's draw a row. the zero dimensions are what, student J?"
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
Okay.  The dimensions are 37 by 8.  What could I split up?  I don’t know how to skip count by 37.  I know how to skip count by 2s.  I don’t know 37.  I don’t even know what would come next.  Student S?,teacher,43,1,,,0.0,حسناً، الأبعاد 37×8 ما الذي يمكنني تقسيمه؟ لا أعرف كيفية تخطي العد بـ37. أعرف كيفية تخطي العد بـ2s. لا أعرف 37. لا أعرف حتى ما الذي سيحدث بعد ذلك. الطالب S؟,I don't know how to skip counting 37. I know how to skip counting 2s. I don't know 37. I don't even know what happens next. Student S?
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
