text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Okay.  Okay, good afternoon boys and girls.",teacher,7,0,,,0.0,حسناً، صباح الخير الفتيان والفتيات,"Well, good morning boys and girls."
Good after noon Mr. C.,multiple students,5,0,,,,جيد بعد الظهيرة سيد سي,Good afternoon Mr. C
"All right.  Today for math basically what we are going to be doing today, okay, is we’re gonna be learning how to – this is the objectives.  So I want to you to look at the objective on the board.  I want to tell you – what do you understand?  What is the objectives going to be?  What do you understand?",teacher,61,0,0.0,,0.0,حسناً، اليوم في الرياضيات ما سنفعله اليوم، حسناً، هل سوف نتعلم كيفية -- هذه هي الأهداف. لذلك أريدكم أن تنظروا إلى الهدف على اللوحة. أريد أن أقول لكم -- ماذا تفهمون؟ ما هي الأهداف؟ ماذا تفهمون؟,"Well, today in mathematics what we're going to do today, well, are we going to learn how to -- these are the goals. So I want you to look at the goal on the board. I want to tell you -- what do you understand? what are the goals? what do you understand?"
The objective is going to be solving word problems.,student,9,0,,0.0,,الهدف سيكون حل مشاكل الكلمات.,The goal will be to solve the problem of words.
"I know how to read.  Okay.  What do you think the objective is going to be in your own words?  I know how to read, believe me.  You’re not gonna believe this but I know how to read. All right.  Go ahead.",teacher,42,0,1.0,,0.0,أنا أعرف كيف أقرأ، صدقني، لن تصدق هذا، لكنني أعرف كيف أقرأ، حسناً، هيا.,"I know how to read, believe me, you won't believe this, but I know how to read, well, come on."
Math.,student,1,0,,,,الرياضيات,Mathematics is what it's all about.
Okay.  What else?  What is the objective going to be?  Yes?,teacher,11,0,,,0.0,حسناً، ماذا أيضاً، ما الهدف؟,"Well, what else, what's the point?"
The objective is going to be like fractions –,student,9,1,,0.0,,الهدف سيكون مثل الكسور ,The goal will be like fractures 
Not what you think.  Look at it.  Read it.  And tell me what do you understand because I understand.  I wrote it.  So I understand what’s there – okay.  Important to me is do you understand what this stands for?,teacher,40,0,0.0,,0.0,ليس ما تفكرين به. انظروا إليها. اقرأوها. و أخبروني ماذا تفهمون لأنني أفهم. لقد كتبتها. لذلك أفهم ما هو هناك  حسنا. المهم بالنسبة لي هو هل تفهمون ما هذا يمثل؟,It's not what you think. Look at it. read it. and tell me what you understand because I understand. I wrote it. So I understand what's out there.
Oh yeah.,student,2,0,,,,أوه، نعم.,"Oh, yeah."
Yes.,teacher,1,0,,,0.0,-أجل، أجل,"- Yes, yes, yes"
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
Okay.  So you’re saying – okay so make it.  What are you saying?  [Inaudible] is talking.  It’s about respect. She’s talking.  Excuse me.  She’s talking.  Thank you.,teacher,27,0,,,0.0,"حسناً، إذاً أنت تقول ""حسناً"" لذا افعل ذلك. ماذا تقول؟ [لا يمكن سماعها] تتحدث. إنها تتحدث عن الاحترام. إنها تتحدث. عذراً، إنها تتحدث. شكراً لك.","Okay, so you're saying ""okay"", so do it. what is she saying? she's talking. she's talking about respect. she's talking. sorry, she's talking. thank you."
We’re learning how to add fractions.,student,6,2,,,,نحن نتعلم كيف نضيف الكسور,We learn how to add fractions.
All right.  So she says something that we’re going to learn how to add fraction.  What else are we going to do?,teacher,22,2,1.0,,1.0,حسناً. إذاً تقول شيئاً سنعلم كيف نضيف الكسور. ماذا سنفعل أيضاً؟,"Okay, so if you say something, we'll learn how to add fractions."
We’re going to learn how to add fractions.,student,8,2,,0.0,,سوف نتعلم كيف نضيف الكسور,We will learn how to add fractions.
She just said that.  Yes.,teacher,5,0,0.0,,0.0,لقد قالت هذا للتو - نعم -,She just said that - yes -
We’re going to add fractions with unlike denominators.,student,8,3,,0.0,,سنقوم بإضافة الكسور مع أسماء مختلفة.,We're going to add fractions with different names.
What does that mean?  What does that mean to you because I know how to read?  Yes.  So pay attention.,teacher,20,0,0.0,,1.0,ما الذي يعنيه ذلك؟ ما الذي يعنيه لك لأنني أعرف القراءة؟ نعم. لذا انتبه.,What does it mean to you because I know how to read?
"To me what Student said it means to me like, like you using like tools to solve a problem.",student,19,0,,0.0,,بالنسبة لي ما قاله الطالب يعني لي مثل، مثل استخدام مثل الأدوات لحل مشكلة.,"For me, what the student said meant to me was an example, such as using such tools to solve a problem."
"Okay.  Anybody else?  Anybody else?  Everybody has to contribute.  In order for this to work we all have to work at it.  So yes, Student, do you want to go back again?  Go.",teacher,33,0,0.0,,1.0,حسناً، أي شخص آخر، أي شخص آخر، يجب أن يساهم الجميع، لكي ينجح هذا علينا جميعاً أن نعمل على ذلك.,"Well, anyone else, anyone else, has to contribute, so that this works, we all have to work on it."
