text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"It’s time for math.  So today we’re going to be adding fractions, and I want you to take a look at these two fractions on the overhead:  one-half plus one-sixth.  And take a minute and talk about with your teams.  What would be the sum of these two fractions?  The total.  When you’re adding these two fractions, what is the sum of these two fractions?  Take a minute. All right.  I hear you using percents.  That’s excellent.  Okay.  So taking a look at one-half plus one-sixth, what is the sum of these two fractions, Student A?",teacher,96,11,,,0.0,حان وقت الرياضيات. لذلك اليوم سنقوم بإضافة الكسور، وأريدكم أن تنظروا إلى هذين الكسورين على التكلفة العامة: نصف زائد واحد السادس. واخذوا دقيقة وتحدثوا مع فرقكم عن. ما هو مجموع هذين الكسورين؟,"So today we're going to add fractions, and I want you to look at these fractions at the total cost: half plus one sixth."
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
What is it?,teacher,3,0,,,0.0,-ما الأمر؟,-What's the matter?
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
56?  The sum of the fraction.  Four-sixths?  Any other answers? Student J?,teacher,12,2,,,1.0,56؟ مجموع الجزء. أربعة سادس؟ أي إجابات أخرى؟ الطالب J؟,56? total part. four sixths? what other answers? student J?
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
One-half plus one-sixth equals –,teacher,5,0,,,0.0,نصف زائد واحد السادس يساوي ,Half plus one-sixth is equal to 
Two-sixths.,student,1,0,,,,اثنين من السادسة.,Two out of six.
Two-sixths?  Anything else?  Student J?,teacher,5,0,,,1.0,إثنان من السادس، أي شيء آخر؟,"Two out of six, anything else?"
[Inaudible.],student,1,0,,,,[غير مسموع.],[Unheard of.]
"One-half plus one-sixth equals two-thirds.  Now, what I want you to do, using the same to determine which one is correct, I want you to take a look at the four by six rectangular grids, and using these rectangular grids – I want you to almost think of this as like a pan of brownies or a cake, a birthday cake.  And thinking about what one half is and then adding one-sixth. Because before, you didn’t have this representation.  Now, taking a look – and you’re really just looking at one of these.  How would I go about showing one-half plus one-sixth on here?  Take a minute and talk about it with your teams. So this is how you’re going to actually prove it, Student K.  So you’re saying one-half, go down the middle?  About five seconds left, please.  Five seconds left. I’m getting videotaped right now.  That’s okay.  Thank you.  Okay. So, taking a look at one-half plus one-sixth, who’d like to come up and show us, using our four by six.  Student M, come on up.  And I want you to talk yourself through it. Talk us through it. Talk about what one-half is and when you’re adding one-sixth.",teacher,201,2,,,1.0,نصف زائد واحد سادس يساوي ثلثين. الآن، ما أريده منك أن تفعل، باستخدام نفسها لتحديد أي واحد هو الصحيح، أريد منك أن تأخذ نظرة على أربعة على ستة شبكات مستطيلة، واستخدام هذه الشبكات مستطيلة  أريد منك أن تفكر في هذا تقريبا مثل وعاء من الكعك أو كعكة عيد ميلاد. وفكر في ما هو نصف واحد ثم إضافة واحد سادس. لأن قبل ذلك، لم يكن لديك هذا التمثيل. الآن، لو نظرت  ونحن فقط ننظر إلى واحدة من هذه. كيف يمكنني أن أظهر نصف زائد واحد سادس هنا؟ خذ دقيقة وتحدث عن ذلك مع فرقك.,"Now, what I want you to do, using yourself to determine which one is correct, I want you to take a look at four of the six rectangular networks, and using these rectangular networks I want you to think about this almost like a bowl of cookies or a birthday cake."
[Inaudible] so a half of 6 equals [inaudible].,student,8,0,,0.0,,[غير مسموع] لذلك نصف من 6 يساوي [غير مسموع].,[Unheard] so half of 6 is equal to [Unheard].
Three columns?,teacher,2,0,0.0,,0.0,ثلاثة أعمدة؟,Three columns?
Yeah.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
Okay.  So what is that representing?,teacher,6,0,,,1.0,حسناً، ما الذي يمثل هذا؟,"Well, what does this represent?"
A half.,student,2,0,,,,نصف.,Half of it.
"So that’s one half.  Can you just write one-half, either under it or above it, so we can see what you’re talking about? Okay.",teacher,24,0,,,0.0,إذاً هذا نصف، هل يمكنك كتابة نصف، إما تحتها أو فوقها، حتى نرى ما الذي تتحدث عنه؟,"So this is half, can you write half, either below or above it, so we can see what you're talking about?"
"And then, there is one-sixth, so you do another column and there are two left, two-sixths left.",student,17,0,,1.0,,ومن ثم، هناك واحد السادس، لذلك تفعل عمود آخر وهناك اثنين اليسار، اثنين السادس المتبقية.,"And then, there's one sixth, so do another column and there's two left, the other two sixth."
Okay.  So what is one-half plus one-sixth?,teacher,7,0,1.0,,0.0,حسناً، ما هو النصف زائد السادس؟,"Well, what is half plus six?"
Four-sixths.,student,1,0,,,,أربعة ستة.,Four four six.
