text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"Hi.  Good morning, class.  Today we're gonna work with multiples of tens and multiplying multiples of tens.  And I need someone to read the objectives that are in purple and red up on the board.  Can I have a volunteer, please?  It can be someone in front of the camera.  It can also be someone behind the camera.  If you're not on the camera, that's okay.  Still willing to listen to your voice. Student G, would you like to read what's up in purple?",teacher,84,3,,,1.0,مرحباً، صباح الخير، الصف. اليوم سنعمل مع مضاعفات العشرات و مضاعفات العشرات. وأحتاج إلى شخص ما يقرأ الأهداف التي هي في اللون الأرجواني والأحمر على اللوحة. هل يمكن أن يكون متطوعاً، من فضلك؟ يمكن أن يكون شخص ما أمام الكاميرا. يمكن أن يكون شخص ما وراء الكاميرا. إذا لم تكن على الكاميرا، لا بأس. لا يزال على استعداد للاستماع إلى صوتك. طالب G، هل ترغب في قراءة ما هو في اللون الأرجواني؟,"Hello, good morning, class. Today we're going to be working with decimals and decimals. I need someone to read the targets that are purple and red on the board. Can he be a volunteer, please? Someone can be in front of the camera. Someone can be behind the camera. If you're not on camera, fine. Still willing to listen to your voice. Student G, would you like to read what it is?"
I will notice all [Inaudible] –,student,6,0,,,,سألاحظ كل شيء,I'm going to notice everything.
And?,teacher,1,0,0.0,,1.0,-وماذا؟,-And what?
And understand what happens when I multiply –,student,8,1,,0.0,,وفهم ما يحدث عندما اضرب ,And understand what happens when I hit 
Multiply.,teacher,1,1,1.0,,0.0,مضاعفة,It's going to be doubled.
Multiply a number by multiples –,student,6,2,,,,مضاعفة عدد بمضاعفة ,Double the number by double the number.
Multiples of?,teacher,2,1,1.0,,0.0,مضاعفات من؟,Whose doubles?
Of ten.,student,2,0,,,,من عشرة.,out of ten.
"So I will notice and understand what happens when I multiply a number times 20.  That same number times 30.  Student R, could you read the language objective, please?",teacher,29,1,,,0.0,لذا سألاحظ وأفهم ما يحدث عندما مضاعفة عدد × 20 نفس الرقم × 30 الطالب R، هل يمكنك قراءة الهدف اللغوي، من فضلك؟,"So I'm going to notice and understand what happens when a number × 20 is multiplied by the same number × 30 student R. Can you read the language target, please?"
"I will write down the multiples of a two-digit number and will tell, write, or experience how I got my answers.",student,21,2,,0.0,,سأكتب مضاعفات الرقم ذو رقمين وأخبرك، أكتبك، أو تجرب كيف حصلت على إجاباتي.,"I'm going to write the multiplication of a two-digit number and tell you, write you, or try how I got my answers."
"So you're gonna work with some two-digit numbers that are multiples of 10.  All right?  Now we need to go through our math to-do lists.  And this is what we're gonna do in order.  Student J, what's our first step?",teacher,40,2,1.0,,0.0,لذا سوف تعمل مع بعض الأرقام ذات الأرقام الثنائية الأرقام التي هي مضاعفات من 10، حسناً؟ الآن نحتاج إلى الذهاب من خلال قوائم الرياضيات التي يجب القيام بها، وهذا ما سنفعله بالترتيب. الطالب J، ما هي خطوتنا الأولى؟,"So you're going to work with some binary numbers numbers that are multiples of 10, right? Now we need to go through the math to do lists, and that's what we're going to do in order."
Solve the questions on page 41.  Draw a representation of your solution on paper then you write the word problem [under it].,student,22,1,,0.0,,حل الأسئلة على الصفحة 41 رسم تمثيل الحل الخاص بك على الورق ثم تكتب كلمة مشكلة [تحتها].,Solve the questions on page 41 Draw a representation of your solution on a piece of paper and then type the word problem [below it].
You're gonna work with a partner to solve the word problems on showing your solution and then write the word problem underneath it.  Step three.,teacher,25,1,1.0,,0.0,ستعملين مع شريك لحل مشاكل الكلمة على عرض حلك ثم اكتبين مشكلة الكلمة تحتها,You will work with a word problem solving partner on your solution display and then write the word problem underneath it.
"Work on the problems on pages 42 and 43 using grid paper, [Inaudible], and the multiplication [chart].",student,17,1,,0.0,,أعمل على المشاكل الموجودة على الصفحات 42 و 43 باستخدام ورقة الشبكة، [Inaudible]، والعدد [ الرسم البياني].,"I'm working on the problems on pages 42 and 43 using the grid sheet, [Inaudible], and the number [chart]."
So what you're gonna do is when you're done with page 42 and 43 you're gonna be – show how you can prove your answer and then the last five – hopefully the last five minutes of class or so we will fill in that chart using what we've learned in class today.  It's recording right now.  Student G?,teacher,59,0,1.0,,0.0,لذا ما ستفعله هو عندما تنتهي من الصفحات 42 و 43 ستظهر كيف يمكنك إثبات إجابتك ثم الخمسة الأخيرة على أمل أن تكون الخمس دقائق الأخيرة من الفصل أو حتى سنملأ هذا الرسم البياني باستخدام ما تعلمناه في الفصل اليوم,So what you're going to do is when you're done with pages 42 and 43 you're going to show how you can prove your answer and then the last five in the hope that the last five minutes of the class will be the last five minutes or even fill this chart using what we learned in today's class
What unit are we supposed to be doing?,student,8,1,,0.0,,أي وحدة من المفترض أن نقوم بها؟,Which unit are we supposed to do?
We're – this is – this is always unit three.  We're gonna be working unit three for probably the next week and a half. Student R?,teacher,26,2,1.0,,0.0,نحن دائماً في الوحدة الثالثة سنعمل في الوحدة الثالثة لمدة أسبوع ونصف,"We're always in the third unit, we'll be working in the third unit for a week and a half."
"So it's unit three, right?",student,5,1,,,,إذاً، إنها الوحدة الثالثة، صحيح؟,"So, it's the third unit, right?"
"Unit three, page 41.  You may work in partners.  Why don't you work with someone who's already sitting at your table to make it easy?",teacher,25,1,1.0,,1.0,الوحدة الثالثة، الصفحة 41، ربما تعملين كشركاء، لمَ لا تعملين مع شخصٍ يجلس بالفعل عند طاولتك لتسهيل الأمر؟,"Module three, page 41, you may be working as partners, so why not work with someone who is already sitting at your table to make it easier?"
"Mr. A., can I use the bathroom?",student,7,0,,,,سيّد (إي) ، هل يمكنني استخدام الحمام؟,"Mister, can I use the bathroom?"
"[Inaudible] So Student S, this is the question that you're gonna work on.  Miss S sells bags of oranges in a grocery store. There's four oranges in each bag.  David bought six bags of oranges to his class, so how many did David buy? Nope.  Put those back.  You're gonna draw these.",teacher,52,0,0.0,,0.0,إذاً الطالب (س) ، هذا هو السؤال الذي ستعمل عليه الآنسة (س) تبيع حقائب من البرتقال في متجر البقالة، هناك أربعة البرتقال في كل حقيبة.,"So student (s), this is the question that Miss (s) will be working on selling bags of oranges at the grocery store, there are four oranges in each bag."
It would be four of six.,student,6,0,,,,سيكون أربعة من ستة.,It will be four out of six.
"Shh.  The instructions said that you're gonna draw how you solve it.  We're not using – we're not using those yet. Student S, go ahead and place them in the bins so they don't break up.  Thank you.  [Inaudible]  Go ahead and throw out the [gum] all right?  Sit down.  Student S, sit down.",teacher,54,0,0.0,,0.0,التوجيهات تقول أنك سوف ترسم كيفية حلها. نحن لا نستخدم  نحن لا نستخدم هذه حتى الآن. الطالب S، اذهب ووضعها في القمامة حتى لا تتحطم. شكرا لك. [لا يمكن سماع] اذهب ورمي [العلكة] حسنا؟ اجلس. الطالب S، اجلس.,"The instructions say you're going to draw a solution. We don't use it. We don't use this one yet. Student S, go and put it in the trash so it doesn't crash. Thank you. [can't be heard] Go and throw [gum] OK? Sit down. Student S, sit down."
Only he doesn't want me to sit down.,student,8,0,,0.0,,فقط أنه لا يريدني أن أجلس,He just doesn't want me to sit down.
No.  You just sit there.,teacher,5,0,1.0,,0.0,لا، فقط اجلس هناك,"No, just sit there."
Why does she get [out there]?,student,6,0,,,,لماذا تخرج؟,Why are you graduating?
There are five there.,teacher,4,0,0.0,,0.0,هناك خمسة هناك.,There are five there.
Miss S sells bags of oranges in a grocery store.  There are 12 oranges in each bag.  David brought six bags of oranges to bring to his class.  How many oranges did David buy?,student,34,0,,0.0,,الآنسة س تبيع حقائب من البرتقال في متجر البقالة هناك 12 برتقال في كل حقيبة ديفيد جلب ست حقائب من البرتقال لجلبها إلى صفيه كم عدد البرتقال اشترى ديفيد,Mrs. S. sells bags of oranges in the grocery store there are 12 oranges in each bag. David brought six bags of oranges to bring to his table.
So how could you draw a picture showing how you figured it out? Or could you draw a picture that represents it that would help you solve it?,teacher,28,0,0.0,,1.0,إذاً كيف يمكنك رسم صورة تشير إلى كيفية اكتشافها؟ أو يمكنك رسم صورة تمثلها التي تساعدك على حلها؟,So how can you draw a picture that indicates how it was discovered? or can you draw a picture that represents it that helps you solve it?
Like an array.,student,3,1,,,,مثل المجموعة,Like the group
Sure.,teacher,1,0,,,0.0,-بالطبع,- Of course
[Inaudible] that represents the oranges.,student,5,0,,,,الذي يمثل البرتقال.,The one that represents the orange.
"You could do that as well.  Whatever you're most comfortable with.  This is for Step 2.  You're gonna solve the questions on 41, page 41.  And then you're gonna choose one of the two to draw a picture and show how you solved it. And you could just be copying down what you had here.",teacher,55,0,0.0,,0.0,يمكنك أن تفعل ذلك أيضاً، أيّاً كان ما تشعرين بالراحة به، هذا للخطوة الثانية، سوف تحلّ الأسئلة الموجودة في 41، الصفحة 41، ومن ثمّ ستختارين إحداهما لترسم صورة وتظهر كيف حلّته، ويمكنك فقط نسخ ما لديك هنا.,"You can also do that, whatever you feel comfortable with, this is for step two, you will solve the questions in 41, page 41, and then you will choose one of them to draw a picture and show how to solve it, and you can only copy what you have here."
I want to use the [Inaudible].,student,6,0,,,,أُريدُ أَنْ أَسْتَعْملَ [لا يُسمَعُ].,I want to use [not heard].
"Student S, when you're done with that question move on to board.  Step two.  Hmm?  What does step two say?",teacher,20,0,0.0,,1.0,الطالب (س) ، عندما تنتهي من هذا السؤال تحرك إلى الطائرة الخطوة الثانية ماذا تقول الخطوة الثانية؟,"Student (s), when you finish this question, move to the second step plane, what does the second step say?"
If we're talking can the recorder –,student,7,0,,,,إذا كنا نتحدث يمكن للمسجل ,"If we are talking, the recorder can record it."
It'll record – probably record your voice but it won't record a picture of you.,teacher,15,0,1.0,,0.0,ربما سيقوم بتسجيل صوتك لكنه لن يقوم بتسجيل صورة لك,"He may record your voice, but he won't record a picture of you."
It will record my voice?,student,5,0,,,,سوف تسجل صوتي؟,Will you record my voice?
"Mm-hmm.  It's recording right now.  So Student J, open up to page 41.  Hmm?  So, Student T, open up to page 41.",teacher,22,0,1.0,,0.0,إنها تسجل الآن لذا الطالب ج، افتح إلى الصفحة 41,"It's registering now so student C, open to page 41"
[Student C] smelled oranges.,student,4,0,,,,[الطلاب C] رائحت البرتقال.,[Student C] smells like oranges.
Mm-hmm.,teacher,1,0,,,0.0,-حسناً,-Well then
[Inaudible]  Where's the other part?,student,5,0,,,,أين الجزء الآخر؟,Where's the other part?
"So what I want you to do is solve question one.  Student J, let's put",teacher,15,0,0.0,,0.0,لذا ما أريده منك هو حل السؤال الأول,So what I want from you is a solution to the first question.
The machine is recording me.,student,5,0,,,,الآلة تسجلني,The machine is recording me.
Pencils over here.  Put the other pencils over here and solve this one.  If you need manipulatives to solve two then I'll let you get them then 'cause two is kind of different.,teacher,33,0,0.0,,0.0,أقلام هنا ضع الأقلام الأخرى هنا وحل هذه إذا كنت بحاجة للتلاعب لحل اثنين سأدعك تحصل عليها بعد ذلك لأن اثنين مختلف نوعا ما,Put the other pens here and solve these if you need to manipulate to solve two I'll let you get them later because the two are somewhat different
Are we gonna watch the tape?  Hear –,student,8,0,,0.0,,هل سنشاهد الشريط؟,Shall we see the tape?
I'm not even gonna watch the tape.  I'm just gonna send it in.,teacher,13,0,1.0,,0.0,لن أشاهد الشريط، سأرسله فحسب,"I'm not going to watch the tape, I'm just going to send it."
Who's gonna watch the tape?,student,5,0,,,,من سيشاهد الشريط؟,Who's going to watch the tape?
The researchers who want us to analyze or observe our math lessons.,teacher,12,0,1.0,,0.0,الباحثون الذين يريدون منا تحليل أو مراقبة دروس الرياضيات.,Researchers who want us to analyze or observe math lessons.
What happens if something bad gets on the tape?,student,9,0,,0.0,,ماذا سيحدث إذا ظهر شيء سيء على الشريط؟,What happens if something bad appears on the tape?
Then I'm sure it will be dealt with.  But there's nothing bad that's gonna be on the tape.,teacher,18,0,1.0,,0.0,إذاً أنا متأكد من أن الأمر سيتم التعامل معه لكن لا شيء سيء سيكون على الشريط,"So I'm sure it will be dealt with, but nothing bad will be on the tape."
Yeah.,student,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
So solve this.,teacher,3,0,,,0.0,لذا قم بحل هذا,So solve this one.
What if one of us did have a problem with each other?,student,12,0,,0.0,,ماذا لو كان أحدنا لديه مشكلة مع بعضنا البعض؟,What if one of us has a problem with the other?
I'm not gonna talk about that right now because it's more than likely to have someone try and make that happen.  So we're just gonna get our math work done.,teacher,30,0,1.0,,0.0,لن أتحدث عن ذلك الآن لأنه من المحتمل أن يحاول شخص ما تحقيق ذلك لذا سنقوم بعمل الرياضيات فقط,"I'm not going to talk about it right now because someone is probably trying to do it, so we're just going to do math."
Student J?,student,2,0,,,,الطالب (جي) ؟,The student (s) ?
Yes.,teacher,1,0,,,0.0,-أجل، أجل,"- Yes, yes, yes"
Yesterday about the [book]?,student,4,0,,,,بالأمس عن [الكتاب]؟,Yesterday about [the book]?
Mm-hmm.,teacher,1,0,,,0.0,-حسناً,-Well then
Technically it wasn't actually me who wrote it and so I only took the blame because of – I wanted a,student,21,0,,0.0,,من الناحية الفنية لم يكن في الواقع أنا من كتبها وبالتالي أخذت اللوم فقط بسبب,"Technically, it wasn't really me who wrote it, so I took the blame just for it."
[Diploma]?,teacher,1,0,0.0,,0.0,[دبلوم]؟,[Diploma]?
Yeah.  To have a party.,student,5,0,,,,أجل، لإقامة حفلة,"Yes, to throw a party."
Okay.  All right.  So you didn't in fact write it?,teacher,10,0,0.0,,0.0,حسناً، حسناً، إذاً أنت لم تكتبها في الواقع؟,"Well, well, so you didn't actually write it?"
Nuh-uh.,student,1,0,,,,(نوح),(Noah) 
"Okay.  Well, let me pass that along to Ms. C., okay?",teacher,11,0,,,0.0,حسناً، دعيني أنقل هذا إلى السيدة (سي) ، حسناً؟,"All right, let me pass this on to Mrs. C, okay?"
Okay.,student,1,0,,,,-حسناً,-Well then
I'll do that.  Thank you for telling me.  All right?,teacher,10,0,,,0.0,سأفعل ذلك، شكراً على إخبارك لي، حسناً؟,"I will, thank you for telling me, okay?"
May I please have a pencil?,student,6,0,,,,أيمكنني الحصول على قلم رصاص من فضلك؟,"Can I have a pen, please?"
Right over there.  Hmm?  You have two minutes.,teacher,8,0,0.0,,0.0,هناك، لديك دقيقتين,"There, you have two minutes."
Can I go after her?,student,5,0,,,,هل يمكنني الذهاب خلفها؟,Can I go behind her?
Go – actually let's wait a second.  What work have you done so far?  Work on it.  Get something –,teacher,20,0,1.0,,0.0,اذهب  في الواقع دعونا ننتظر ثانية. ما العمل الذي قمت به حتى الآن؟ العمل عليه. الحصول على شيء ,Let's wait a second. What work have you done so far? work on it. get something 
Can I work on [Inaudible],student,5,0,,,,هل يمكنني العمل على [لا يمكن سماع],Can I work on [inaudible]?
"Mm-hmm.  What are we doing right now?  Page 41, please.",teacher,10,0,1.0,,0.0,ماذا نفعل الآن؟ صفحة 41، من فضلك,"What do we do now? page 41, please"
He said a bad word. Did I say a bad word?,student,11,0,,0.0,,لقد قال كلمة سيئة هل قلت كلمة سيئة؟,He said a bad word Did I say a bad word?
Yes?,teacher,1,0,0.0,,0.0,-أجل؟,- Yes?
Are we supposed to do this from two or – ?,student,11,0,,0.0,,هل من المفترض أن نفعل هذا من اثنين أو  ؟,Are we supposed to do this in two or two?
"Yes.  And if you need to use grid paper or [300th] chart or cubes, you can use those.  Okay?",teacher,19,1,0.0,,0.0,نعم، وإذا كنت بحاجة إلى استخدام ورقة الشبكة أو الرسم البياني أو الكوبات، يمكنك استخدام تلك، حسناً؟,"Yes, and if you need to use a grid sheet, chart, or cup, you can use those, okay?"
For this?,student,2,0,,,,من أجل هذا؟,For this?
"Mm-hmm.  Okay, Student S, now that you solved it this way I want you to draw a picture of how you solved it and then write the word problem underneath it.  Mm-hmm.",teacher,32,0,,,0.0,حسناً، الطالب (س) ، الآن بعد حلّه بهذه الطريقة أريدك أن ترسم صورة لكيفية حلّه ثم تكتب مشكلة الكلمة تحتها,"Well, student (s), now that you've solved it this way, I want you to draw a picture of how to solve it and then type the word problem underneath it."
[Inaudible] paper?,student,2,0,,,,ورقة غير مسموعة؟,Unheard of paper?
