text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_back_translated
"All right.  Everyone has a cube, correct?",teacher,7,1,,,0.0,حسناً، كل شخص لديه مكعب، صحيح؟,"Well, everyone has a cube, right?"
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
And a [stamp].,teacher,3,0,,,0.0,و (خاتمة),and (final)
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
"Right.  You should be working with the person sitting next to you.  We want you to have a cube and a stamp.  Okay?  We all know what a cube is, correct?",teacher,31,2,,,0.0,حسناً، يجب أن تعمل مع الشخص الجالس بجانبك، نريدك أن تحصل على مكعب وخطّة، حسناً، جميعنا نعرف ما هو مكعب، صحيح؟,"Well, you have to work with the person sitting next to you, we want you to get a cube and a plan, well, we all know what a cube is, right?"
Yes.,multiple students,1,0,,,,-أجل، أجل,"- Yes, yes, yes"
All right.  The stamp represents one square unit.  Okay?  The stamp represents one square unit.  So everyone look at the cube.  Let’s look at the cube.  How many surfaces are there on the cube?,teacher,34,7,,,0.0,حسناً، العلامة تمثل وحدة مربعة واحدة. حسناً؟ العلامة تمثل وحدة مربعة واحدة. لذا الجميع ينظر إلى المكعب. دعونا ننظر إلى المكعب. كم عدد السطحات الموجودة على المكعب؟,"Well, the mark represents one square unit. Okay? The mark represents one square unit. So everyone looks at the cube. Let's look at the cube. How many surfaces are on the cube?"
Six.,student,1,0,,,,ستة.,Six.
"Raise your hand, please.  Remember, we do not speak out. So you are looking at the cube.  How many surfaces are there?  There are six surfaces.  There’s one, [inaudible] is one, one on the bottom, and one on top.  Now, this stamp represents one square unit.  Okay?  This stamp represents one square unit. If I cover all the surfaces with a stamp, how many square units will that be?",teacher,69,7,,,0.0,ارفع يديك، رجاءً. تذكر أننا لا نتحدث. لذا أنت تنظر إلى المكعب. كم سطح هناك؟ هناك ستة سطحات. هناك واحدة، [غير مسموعة] هي واحدة، واحدة في الأسفل، وواحدة في الأعلى. الآن، هذه العلامة تمثل وحدة مربعة واحدة. حسناً؟ هذه العلامة تمثل وحدة مربعة واحدة. إذا غطيت جميع السطحات بالعلامة، كم وحدة مربعة سيكون ذلك؟,"So you're looking at the cube. How many surfaces are there? There are six surfaces. There's one, [unheard of] is one, one at the bottom, and one at the top. Now, this sign represents one square unit. Okay? This sign represents one square unit. If you cover all surfaces with the sign, how many square units will that be?"
Six.,student,1,0,,,,ستة.,Six.
