text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Hi.  Good morning, class.  Today we're gonna work with multiples of tens and multiplying multiples of tens.  And I need someone to read the objectives that are in purple and red up on the board.  Can I have a volunteer, please?  It can be someone in front of the camera.  It can also be someone behind the camera.  If you're not on the camera, that's okay.  Still willing to listen to your voice. Student G, would you like to read what's up in purple?",teacher,84,3,,,1.0,مرحباً، صباح الخير، الصف. اليوم سنعمل مع مضاعفات العشرات و مضاعفات العشرات. وأحتاج إلى شخص ما يقرأ الأهداف التي هي في اللون الأرجواني والأحمر على اللوحة. هل يمكن أن يكون متطوعاً، من فضلك؟ يمكن أن يكون شخص ما أمام الكاميرا. يمكن أن يكون شخص ما وراء الكاميرا. إذا لم تكن على الكاميرا، لا بأس. لا يزال على استعداد للاستماع إلى صوتك. طالب G، هل ترغب في قراءة ما هو في اللون الأرجواني؟
I will notice all [Inaudible] –,student,6,0,,,,سألاحظ كل شيء
And?,teacher,1,0,0.0,,1.0,-وماذا؟
And understand what happens when I multiply –,student,8,1,,0.0,,وفهم ما يحدث عندما اضرب 
Multiply.,teacher,1,1,1.0,,0.0,مضاعفة
Multiply a number by multiples –,student,6,2,,,,مضاعفة عدد بمضاعفة 
Multiples of?,teacher,2,1,1.0,,0.0,مضاعفات من؟
Of ten.,student,2,0,,,,من عشرة.
"So I will notice and understand what happens when I multiply a number times 20.  That same number times 30.  Student R, could you read the language objective, please?",teacher,29,1,,,0.0,لذا سألاحظ وأفهم ما يحدث عندما مضاعفة عدد × 20 نفس الرقم × 30 الطالب R، هل يمكنك قراءة الهدف اللغوي، من فضلك؟
"I will write down the multiples of a two-digit number and will tell, write, or experience how I got my answers.",student,21,2,,0.0,,سأكتب مضاعفات الرقم ذو رقمين وأخبرك، أكتبك، أو تجرب كيف حصلت على إجاباتي.
"So you're gonna work with some two-digit numbers that are multiples of 10.  All right?  Now we need to go through our math to-do lists.  And this is what we're gonna do in order.  Student J, what's our first step?",teacher,40,2,1.0,,0.0,لذا سوف تعمل مع بعض الأرقام ذات الأرقام الثنائية الأرقام التي هي مضاعفات من 10، حسناً؟ الآن نحتاج إلى الذهاب من خلال قوائم الرياضيات التي يجب القيام بها، وهذا ما سنفعله بالترتيب. الطالب J، ما هي خطوتنا الأولى؟
Solve the questions on page 41.  Draw a representation of your solution on paper then you write the word problem [under it].,student,22,1,,0.0,,حل الأسئلة على الصفحة 41 رسم تمثيل الحل الخاص بك على الورق ثم تكتب كلمة مشكلة [تحتها].
You're gonna work with a partner to solve the word problems on showing your solution and then write the word problem underneath it.  Step three.,teacher,25,1,1.0,,0.0,ستعملين مع شريك لحل مشاكل الكلمة على عرض حلك ثم اكتبين مشكلة الكلمة تحتها
"Work on the problems on pages 42 and 43 using grid paper, [Inaudible], and the multiplication [chart].",student,17,1,,0.0,,أعمل على المشاكل الموجودة على الصفحات 42 و 43 باستخدام ورقة الشبكة، [Inaudible]، والعدد [ الرسم البياني].
So what you're gonna do is when you're done with page 42 and 43 you're gonna be – show how you can prove your answer and then the last five – hopefully the last five minutes of class or so we will fill in that chart using what we've learned in class today.  It's recording right now.  Student G?,teacher,59,0,1.0,,0.0,لذا ما ستفعله هو عندما تنتهي من الصفحات 42 و 43 ستظهر كيف يمكنك إثبات إجابتك ثم الخمسة الأخيرة على أمل أن تكون الخمس دقائق الأخيرة من الفصل أو حتى سنملأ هذا الرسم البياني باستخدام ما تعلمناه في الفصل اليوم
What unit are we supposed to be doing?,student,8,1,,0.0,,أي وحدة من المفترض أن نقوم بها؟
We're – this is – this is always unit three.  We're gonna be working unit three for probably the next week and a half. Student R?,teacher,26,2,1.0,,0.0,نحن دائماً في الوحدة الثالثة سنعمل في الوحدة الثالثة لمدة أسبوع ونصف
"So it's unit three, right?",student,5,1,,,,إذاً، إنها الوحدة الثالثة، صحيح؟
"Unit three, page 41.  You may work in partners.  Why don't you work with someone who's already sitting at your table to make it easy?",teacher,25,1,1.0,,1.0,الوحدة الثالثة، الصفحة 41، ربما تعملين كشركاء، لمَ لا تعملين مع شخصٍ يجلس بالفعل عند طاولتك لتسهيل الأمر؟
"Mr. A., can I use the bathroom?",student,7,0,,,,سيّد (إي) ، هل يمكنني استخدام الحمام؟
