text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Okay, boys and girls, so tomorrow for math we are actually going to be playing a game using our fraction tracks game board that Student Y is passing out right now.  Our goal today is, we are going to be completing this game board. So we need to take our prior knowledge about percents and equivalent fractions and we’re going to apply them today and complete this game board, so that tomorrow we can play the game successfully.  But it is extremely important that we are accurate on this game board in labeling all of our fractions.  If we’re not accurate, then tomorrow when we go to play the game it will not be very successful.  So everybody should have a copy of this fraction tracts game board sheet. Now I know we’re having some difficulties with our projector screen, so I will put it on the blackboard.  If you can’t see it, it is okay, you have one in front of you. And we will be discussing and doing some of this together, then you’ll be on your own working with your partners to complete the game board.  So if you cannot see the overhead board, that’s fine, just use the one that you have in front of you.  Okay? So now everybody has a game board in front of them.  Take a minute.  Look it over.  What do you notice? Think about it? Give you a minute, then we’ll raise our hands to answer. What do you notice about this game board? Are there any similarities to any other resources that we have created? Just give yourself a minute. Does anybody want to share with me what they notice about this game board? Student G?",teacher,287,5,,,0.0,حسناً، يا شباب والفتيات، غداً من أجل الرياضيات سنلعب لعبة باستخدام لوحة اللعب لدينا من خلال اللوحة الكسرية التي يقوم بها الطالب Y الآن. هدفنا اليوم هو أننا سنقوم بإكمال هذه اللوحة اللعبة. لذلك نحتاج إلى أخذ معرفتنا المسبقة عن الفصائل والكسائر المماثلة ونقوم بتطبيقها اليوم ونكمل هذه اللوحة اللعبية، بحيث يمكننا اللعب غداً بنجاح. ولكن من المهم للغاية أن نكون دقيقاً على هذه اللوحة اللعبية في وضع علامات على جميع كسورنا. إذا لم نكن دقيقاً، فإننا غداً عندما نذهب إلى اللعبة لن يكون ذلك ناجحاً جداً. لذلك يجب أن يكون لدى الجميع نسخة من هذه اللوحة اللعبية من خلال اللوحة الكسرية. الآن أنا أعرف أننا نملك بعض الصعوبات مع الشاشة، لذلك سأضعها على اللوحة السوداء. لذا فما الذي يمكن أن نراه، فلن يكون لدينا أي أحد من أيد اللوحة اللعبة، حسناً؟ إذاً، فلن نشارك هذه اللوحة اللوحة اللعبية؟ إذاً، فلن نتمكن نناقشها مع أي شخص آخر؟ الآن؟
They all will add up to a whole.,student,8,2,,1.0,,جميعها سوف تجمع إلى كلية.
So all the pieces will add up to a whole.  Good.  What other similarities do we notice? Student I?,teacher,19,2,1.0,,1.0,حسناً، ما هي التشابهات الأخرى التي نلاحظها؟ الطالب الأول؟
"You know the thing that we did earlier in the unit, it was like this but it was a little longer, and we put in the equivalent fractions of different…",student,30,2,,0.0,,كما تعلمون، الشيء الذي قمنا به في وقت سابق في الوحدة، كان مثل هذا لكنه كان أطول قليلا، ونحن وضعت في الكسور المتكافئة من مختلف...
So I think it was page 10 where we did a percent fraction equivalent chart.  This looks a little bit similar to that. Keep that in the back of your mind when you’re filling this out.  What else does it look like? It looks like a bunch of these all on one game board.  Student T?,teacher,56,3,1.0,,1.0,لذا أعتقد أنه كان في الصفحة 10 حيث قمنا بعمل الرسم البياني المكافئ للنسبة مئوية. هذا يبدو مشابهًا قليلاً لذلك. ضع ذلك في الاعتبار عندما تقوم بملء هذا. كيف يبدو الأمر أيضاً؟ يبدو وكأنه مجموعة من هذه كلها على لوحة لعبة واحدة. الطالب T؟
I think the goal is just to get to one whole.,student,11,1,,0.0,,أعتقد أن الهدف هو فقط الوصول إلى كامل واحد.
"Right, so you’re going to start at zero and we’re going to get to one whole.  Which means -- what does this look like? So look at the top one.  What does that look like? Student D?",teacher,37,1,1.0,,1.0,حسناً، إذاً سوف تبدأ من الصفر وسوف نصل إلى كامل واحد. وهذا يعني -- كيف يبدو هذا؟ لذا انظروا إلى الجزء العلوي. كيف يبدو ذلك؟ الطالب D؟
Two halves.,student,2,0,,,,نصفين
"Two halves, but does it kind of look like a number line?",teacher,12,1,,,0.0,نصفين، ولكن هل يبدو نوعا ما مثل خط رقم؟
This is what I was talking about.,student,7,0,,,,هذا ما كنت أتحدث عنه
