text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Good morning, everybody.  Today, we’re beginning our symmetry, and I’m gonna turn this on and ask for volunteers to come up here and explain to me what the lines of symmetry are and why. So, Juan is using the shapes below to learn about symmetry. A says, “Write the letter of the shape that has more than one line of symmetry.”  Could somebody explain to me what a line of symmetry is? Student D?",teacher,74,8,,,1.0,صباح الخير، الجميع. اليوم، نحن نبدأ التزاوج، وسأقوم بتشغيل هذا وسأطلب من المتطوعين أن يأتوا إلى هنا ويوضحوا لي ما هي خطوط التزاوج ولماذا. لذلك، يستخدم خوان الأشكال أدناه للتعلم عن التزاوج. A يقول، كتب حرف الشكل الذي لديه أكثر من خط واحد من التزاوج.
A line of symmetry is like a way that you can pull the shape.,student,14,2,,0.0,,خط التناظر هو مثل طريقة يمكنك سحب الشكل.
"Good.  So, if you fold the shape, it should look exactly the same on both sides.  Okay.  Can you give me an example of something that’s symmetrical, Student M?",teacher,29,1,1.0,,1.0,حسناً، إذا قمت بتثبيت الشكل، يجب أن يبدو بنفس الشكل على الجانبين. حسناً، هل يمكنك أن تعطيني مثال على شيء متماثل، الطالب M؟
A square.,student,2,1,,,,مربع.
"A square would be symmetrical, because if you folded a square it would look exactly the same on both sides.",teacher,20,3,,,0.0,مربع سيكون متماثلًا، لأنه إذا قمت بتثبيت مربع، فإنه سيكون متشابهًا تماماً على الجانبين.
"Oh, a diamond, ’cause when you fold it.",student,8,0,,1.0,,أوه، الماس، لأنه عندما تضعها.
"Okay.  Good, a diamond.  So, where would a line of symmetry be, Student A?",teacher,14,2,1.0,,1.0,حسناً، الماس، إذاً، أين خط التناظر، الطالب (أ) ؟
Like if you cut it in half.,student,7,0,,,,كما لو أنك قطعتها إلى النصف.
"Right.  So, where you fold it or where you cut it in half would be a line of symmetry.  Could things have more than one line of symmetry?",teacher,28,4,1.0,,1.0,حسناً، إذاً، حيث تثبتها أو حيث تقطعها إلى النصف سيكون خط التناظر. هل يمكن للأشياء أن يكون لها أكثر من خط واحد من التناظر؟
Yes.,student,1,0,,,,-أجل، أجل
"How – so, can things have more than two lines of symmetry?",teacher,12,2,,,1.0,كيف يمكن للأشياء أن يكون لها أكثر من خطين من التناظر؟
Yes.,student,1,0,,,,-أجل، أجل
"Okay.  So, today, we’re gonna see what we have.  So, Juan is using the shapes below to learn about symmetry.  Write the letter of the shape that has more than one line of symmetry.  Who can come up here and help me?  Student A? Careful of the cord, hon.",teacher,49,3,,,0.0,حسناً، اليوم، سنرى ما لدينا، لذا، يستخدم خوان الأشكال أدناه للتعلم عن التماثل، اكتب حروف الشكل التي لديها أكثر من خط واحد من التماثل، من يمكنه أن يأتي إلى هنا ويساعدني؟ الطالب أ؟
[Inaudible],student,1,0,,,,[غير مسموع]
