text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Okay.  So you have the paper out that we started yesterday. This is math.  It looks like this.  Can you turn to page 3; it starts with 7A.  Can someone read 7A for me, please? Student K, can you read 7A?",teacher,41,0,,,0.0,حسناً، لديكم الورقة التي بدأنا بها بالأمس. هذه هي الرياضيات. تبدو هكذا. هل يمكنك الانتقال إلى الصفحة الثالثة؟ تبدأ بـ 7A. هل يمكن لأحد أن يقرأ 7A لي، من فضلك؟
Fourth grade planted a school garden.  Fourth graders planted 37 rows of sunflowers.  They planted 8 sunflowers in each row.  How many sunflowers did they plant?,student,26,0,,0.0,,في الصف الرابع زرعوا حديقة مدرسة. طلاب الصف الرابع زرعوا 37 صف من زهور الشمس. زرعوا 8 زهور الشمس في كل صف. كم عدد زهور الشمس زرعوا؟
"All right.  What operation are we looking for here?  We’ve talked about addition, subtraction, multiplication, and division.  Student M, can you open up to where it says 7A, please?  Student T, what operation are we talking about here?  What do we need to use to solve 7A?  Okay.  We need to use division.  So the fourth graders planted 37 rows of sunflowers, so what’s the division problem going to be, Student T?",teacher,72,6,1.0,,0.0,حسناً. ما العملية التي نبحث عنها هنا؟ لقد تحدثنا عن الجمع والسحب والضرب والانقسام. الطالب M، هل يمكن أن تفتح إلى حيث يقول 7A، من فضلك؟ الطالب T، ما العملية التي نتحدث عنها هنا؟ ما الذي نحتاج إلى استخدامه لحل 7A؟ حسناً. نحتاج إلى استخدام الانقسام.
37 divided by 8.,student,4,1,,,,37 مقسمة على 8.
"Okay.  So this is, row number 1 are sunflowers, right?  So Student T, you were saying 37 divided by 8.  This is row number 1.  How many sunflowers are in that row?  Student T, go ahead.",teacher,36,1,,,0.0,حسناً، هذه صف رقم 1 هي زهور الشمس، صحيح؟ إذاً الطالب T، كنت تقول 37 مقسماً بـ 8، هذه صف رقم 1. كم عدد زهور الشمس في تلك الصف؟ الطالب T، هيّا.
8.,student,1,0,,,,8
"Eight sunflowers in that row.  This is row number 2.  How many sunflowers in that row, Student K?",teacher,18,0,,,0.0,ثمانية أزهار شمسية في ذلك الصف هذا الصف رقم 2 كم عدد أزهار شمسية في ذلك الصف، الطالب ك؟
8.,student,1,0,,,,8
"8.  This is row number 3, Student S?",teacher,8,0,,,0.0,هذا الصف رقم 3، الطالب S؟
8.,student,1,0,,,,8
"8.  What operation are we doing here, Student R?",teacher,9,0,,,0.0,ما العملية التي نقوم بها هنا، الطالب (ر) ؟
"You’re doing, um, –",student,4,0,,,,أنت تفعل، أم،
What does the 37 stand for?,teacher,6,0,,,0.0,ما الذي يمثله 37؟
The sunflowers.,student,2,0,,,,الزهور الشمسية
"Look at the problem.  What does the 37 stand for in this problem, Student J?",teacher,15,0,,,0.0,انظر إلى المشكلة، ما الذي يمثله 37 في هذه المشكلة، الطالب جي؟
How many rows.,student,3,0,,,,كم عدد الصفوف
Okay.  The 37 is the amount of rows.  What does the 8 stand for?  Student S?,teacher,16,0,,,0.0,حسناً، 37 هو كمية الصفوف، ماذا تعني 8؟ الطالب S؟
The flowers.,student,2,0,,,,الزهور
"The 8 stands for the amount of flowers.  Student R, stop.  You have to go sit next to Student J.  Please.  Without complaining, go sit next to Student J.  So the 8 stands for the amount in each row.  What operation is this?  Student M?",teacher,45,0,,,0.0,8 تعني كمية الزهور. الطالب R، توقف. عليك أن تجلس بجانب الطالب J. من فضلك. بدون الشكوى، تجلس بجانب الطالب J.
[Inaudible.],student,1,0,,,,[غير مسموع.]
