text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"All right, boys and girls.  We’re going to continue our discussion about division, and we’re going to talk about remainders.  I want you to turn and talk with the person next to you, and I want you to come up with your own definition of “What is a remainder?” Go ahead.  Go ahead. You guys are working, [inaudible] working.  You’re still working.  Alright.  Come back.  What is a remainder? Student D?  What did your partner and you come up with?",teacher,80,4,,,0.0,"حسناً يا شباب والفتيات، سنواصل مناقشتنا حول التقسيم، وسنناقش عن البقايا. أريدكم أن تتحولوا وتحدثوا مع الشخص الذي بجانبكم، وأريدكم أن تجدوا تعريفكم الخاص ""ما هو البقايا؟"""
A remainder is the numbers left out of a division problem.,student,11,2,,0.0,,الباقي هو الأرقام المتبقية خارج مشكلة التقسيم.
Okay.  Does anybody have anything to add to Student D’s idea of what a remainder is?  Student T?,teacher,18,2,1.0,,1.0,حسناً، هل لدى أحد ما يضيف إلى فكرة الطالب (دي) عن ما هو البقية؟
A remainder is the leftover.,student,5,1,,,,البقية هي البقية
"The leftover.  So again, the numbers Student D has left out of a division problem, and Student T thinks that he thinks it’s the leftovers.  Student A?",teacher,27,1,1.0,,0.0,البقايا. إذاً مرة أخرى، الأرقام التي تركها الطالب D خارج مشكلة التقسيم، والطالب T يعتقد أنه يعتقد أنها البقايا. الطالب A؟
"Leftovers – I mean, remainder is like the extras that are left [inaudible].",student,13,1,,0.0,,البقايا يعني، البقية هي مثل الإضافات التي تبقى.
"Okay.  We did do some work with that yesterday, and I’m going to move on to my next question.  We’re going to come up with, again, for math class today, we’re going to come up with what we think a remainder is.  You guys have started with a very good idea, so I guess yesterday’s lesson must have stuck.  So, up here, we’re going to try to get – after all of our work today, we can come up what do we think a remainder is.  So I have a word problem here.  Why is this a word problem?  Anybody know why this is a word problem? Does it have some element in it that makes it a word problem?  Why is this a word problem?  Student D?",teacher,128,2,1.0,,1.0,حسناً. لقد قمنا ببعض العمل مع هذا بالأمس، وسأنتقل إلى سؤالي التالي. سنقوم، مرة أخرى، في صف الرياضيات اليوم، سنقوم بتصميم ما نعتقد أن الباقي هو. لقد بدأنا مع فكرة جيدة جداً، لذا أعتقد أن درس الأمس يجب أن يكون عالقاً. لذا، هنا فوق، سنحاول الحصول على  بعد كل عملنا اليوم، يمكننا أن نصل إلى ما نعتقد أن الباقي هو. ولماذا لدي مشكلة كلمة هنا. هل هذه مشكلة كلمة؟ هل يعرف أي شخص لماذا هذه مشكلة كلمة؟ هل يوجد فيها عنصر يجعلها مشكلة كلمة؟ لماذا هذه مشكلة كلمة؟ الطالب D؟
Because it has words in it.,student,6,0,,,,لأنه يحتوي على كلمات
All right.  What else about it do you think makes it a math word problem?  Student W?,teacher,17,0,1.0,,1.0,حسناً، ما الذي يجعلها مشكلة في الكلمات الرياضية؟
It has a question involving math.,student,6,0,,,,لديه سؤال يتعلق بالرياضيات
It has a question involving math.  Okay.  Student T?,teacher,9,0,1.0,,0.0,لديه سؤال يتعلق بالرياضيات حسناً، الطالب (تي) ؟
Numbers.,student,1,0,,,,الأرقام.
"It has some numbers in it.  Okay.  So here – we’re starting with all great ideas of how and why this may be a word problem.  It says, “Farmer Brown needs to collect 122 eggs. He wants to put 6 eggs in each basket.  How many baskets does he need?”  I want you to turn and talk with your partner and come up with the operation for this story problem.  What do you think?  Why?",teacher,75,0,,,1.0,فهناك بعض الأرقام فيها. حسناً. لذا هنا نحن نبدأ بجميع الأفكار الرائعة حول كيف ولماذا قد تكون هذه مشكلة الكلمات. تقول: المزارع براون يحتاج إلى جمع 122 بيضة. يريد وضع 6 بيضات في كل سلة. كم سلة يحتاج إليها؟
Because it doesn’t say how many baskets you need to have.,student,11,0,,1.0,,لأنه لا يقول كم سلة يجب أن يكون لديك.
"Because it doesn’t say that or because it does say that?  Think about that, okay, while we come back.  Alright.  Come back to me.  Come back to me, [inaudible].  Thank you.  So what did you guys come up with?  What operation?  [Not the operation of the game] – which operation do you think you’re going to need to solve this.  Student A?",teacher,62,0,1.0,,0.0,لأنه لا يقول ذلك أو لأنه يقول ذلك؟ فكر في ذلك، حسناً، بينما نعود. حسناً. عدوا إليّ. عدوا إليّ، [غير مسموع]. شكراً لكم. إذن ما الذي توصلتم به؟ أي عملية؟ [ليس عملية اللعبة]
Division.,student,1,1,,,,القسم
Division.  Does everybody agree with division?,teacher,6,2,,,1.0,القسم هل يتفق الجميع مع القسم؟
Yes.,multiple students,1,0,,,,-أجل، أجل
"All right.  Great.  So, we’re actually right.  Are there some key words we should probably underline in this word problem?  Student T?",teacher,22,1,,,0.0,حسناً. عظيم. إذاً، نحن في الحقيقة على حق. هل هناك بعض الكلمات الرئيسية التي يجب أن نؤكد عليها في هذه المشكلة الكلمة؟ الطالب T؟
How many.,student,2,0,,,,كم عدد
"How many.  Why do you want to underline “how many,” Student T?",teacher,12,1,,,1.0,كم عدد؟ لماذا تريد التأكيد على كم عدد، الطالب T؟
[Inaudible.],student,1,0,,,,[غير مسموع.]
And how many?,teacher,3,0,,,0.0,وكم عدد؟
[Inaudible.],student,1,0,,,,[غير مسموع.]
Okay.  How many what?,teacher,4,0,,,0.0,حسناً، كم عدد ماذا؟
How many [inaudible]?,student,3,0,,,,كم عدد [غير مسموع]؟
So you want to underline how many because you think that this is something that’s going to key me into the answer?,teacher,22,1,,,1.0,إذاً تريد التأكيد على كم عدد لأنّك تعتقد أنّ هذا شيء سيقودني إلى الإجابة؟
Yeah.,student,1,0,,,,-أجل، أجل
Is there anybody else that wants to underline anything else? Student T?,teacher,12,1,,,1.0,هل هناك أي شخص آخر يريد التأكيد على شيء آخر؟
Baskets.,student,1,0,,,,السلة.
"Baskets.  Why do you – is there anything else?  Does anybody else want to [inaudible] this, Student A?",teacher,18,0,,,1.0,السلة، لماذا تقولين؟ هل هناك أي شيء آخر؟ هل يريد أي شخص آخر أن يسمع هذا، الطالب أ؟
I would say “each.”,student,4,0,,,,"سأقول ""كل واحد"""
Each?  “Each” is a word you want to underline?  What is this last sentence called?  Who knows?  What is this last sentence called?  Student D?,teacher,25,1,,,0.0,كل واحد؟ كل هو كلمة تريد التأكيد عليها؟ ما هو اسم هذه الجملة الأخيرة؟ من يعلم؟ ما هو اسم هذه الجملة الأخيرة؟ الطالب D؟
The interrogative sentence.,student,3,0,,,,الحكم الاستجوابي
"The interrogative sentence, and because it ends in a question. And why do we underline the interrogative questions? Because somebody forgot we need to do all this.  Why do we underline it, Student J?",teacher,34,2,,,1.0,الجملة الاستجوابية، ولأنّها تنتهي بسؤال، ولماذا نؤكد الأسئلة الاستجوابية؟ لأنّ أحدهم نسيت أننا بحاجة إلى القيام بكلّ هذا.
It helps us get the label.,student,6,0,,,,إنها تساعدنا على الحصول على العلامة
"It helps us get the label.  Okay.  And what is a label?  It’s about baskets.  Very good.  Well, what else in a division problem does it help us with?",teacher,29,1,1.0,,1.0,إنها تساعدنا على الحصول على العلامة. حسناً. وما هي العلامة؟ إنها حول السلة. جيد جداً. حسناً، في ماذا آخر في مشكلة التقسيم تساعدنا؟
What?,student,1,0,,,,ـ ماذا؟
"In multiplication, when we underline the interrogative sentence.  It does help us get the label.  It does help us in addition and subtraction helps us understand the label. But it does something different in division.  Does anybody remember what it does?",teacher,41,5,,,1.0,في المضاعفة، عندما نؤكد الجملة الاستبيانية، فهو يساعدنا على الحصول على العلامة. فهو يساعدنا على إضافة والسحب يساعدنا على فهم العلامة. لكنه يفعل شيئاً مختلفاً في التقسيم. هل يتذكر أحد ما يفعل؟
It helps us [inaudible] what we have to do?,student,9,0,,0.0,,هل يساعدنا [غير مسموع] ما الذي علينا فعله؟
