text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"All right, I think everything’s go for the cameras.  We’re going to start off today just by doing our daily word problems.  I’m going to pass these out real quick, and what I want you to do, if you would, is try to solve these problems.  Remember just to try to use everyday kind of logic. Don’t try to think about it too much, just try your best on these, Okay?  What I want you to do is probably just – why don’t we just stick with the second one where it says “Thursday Week Seven.”  You don’t have to do the first one right now; we’ll come back to that. Let me just read this real quick while you’re kind of working on it. It says, “Miss W’s class read for a total of 450 hours this month.  Mr. G’s class read two-thirds the number of hours read by Miss W’s class.  Miss R’s class read twice the number of hours read by Mr. G’s class.  If there were a total of 90 students in these three classrooms, what was the average number of hours read per student?” What was the average?  Remember we were doing a little bit of averaging yesterday?  So what you need to do is find the total of hours and divide that by the number of students. That will give you the average that each student read. So we have 450 hours this month that these 90 students read, right? So what is the average?  They’re asking you, what is the average amount?  Maybe they had one super student that read all 450 hours, right?  And then the 89 other students didn't read at all.  But they’re looking for the average. Go ahead.",teacher,289,10,,,0.0,حسناً، أعتقد أن كل شيء يسير للكاميرات. سنبدأ اليوم فقط من خلال القيام بمشكلة الكلمات اليومية. سأقوم بإعطاء هذه بسرعة كبيرة، وما أريد منك فعله، إذا كنت تريد، هو محاولة حل هذه المشاكل. تذكر فقط لمحاولة استخدام نوع من المنطق اليومي. لا تحاول أن تفكر في ذلك كثيراً، فقط حاول أن تفعل ما بوسعك في هذه، حسناً؟ ما أريده منك أن تفعله هو على الأرجح فقط  لماذا لا نلتزم بالثانية حيث تقول  الخميس الأسبوع السابع.  لا يجب عليك القيام بالواحدة الأولى الآن؛ سنعود إلى ذلك في المتوسط. دعوني فقط أقرأ هذه المشكلة بسرعة كبيرة بينما كنت تعمل عليها نوعاً ما. يقول،  الآنسة W يقرأ لمدة 450 ساعة، لذا ما الذي يسأل الطلاب في هذه الفئة؟ إذاً ما هو متوسط عدد ساعات قراءة في هذه الفئة؟ إذاً ما هو متوسط عدد ساعات قراءة في هذه الفئة؟ إذاً ما هو متوسط عدد ساعات قراءة في هذه الفئة؟
The answer?,student,2,0,,,,الإجابة؟
"Go ahead, what do you think?",teacher,6,0,,,1.0,هيا، ما رأيك؟
I think the answer is five hours per student.,student,9,0,,0.0,,أعتقد أن الجواب هو خمس ساعات لكل طالب.
Five hours per student.  And how did you figure that out?,teacher,11,0,1.0,,1.0,خمس ساعات لكل طالب وكيف عرفت ذلك؟
"Because I just thought about it without the zeroes at the end, I thought about 9 times 5 equals 45, so that means 90 times 5 must be 450.",student,29,0,,1.0,,لأنني فقط فكرت في ذلك دون الصفر في النهاية، فكرت حول 9 × 5 يساوي 45، لذلك هذا يعني 90 × 5 يجب أن يكون 450.
"Okay, so you see, you figured it out just kind of by thinking about it.  Right?  You said 9 times 5 is 45, so you knew – what was the next comment you said?  You knew…",teacher,36,0,1.0,,0.0,حسناً، كما ترون، لقد اكتشفت ذلك فقط من خلال التفكير في الأمر، صحيح؟ قلت 9 × 5 هو 45، لذا كنت تعرف ما هو التعليق التالي الذي قلته؟ كنت تعرف...
That helped me figure out 90 times 5.,student,8,0,,0.0,,هذا ساعدني على معرفة 90 × 5.
"90 times 5 equals 450.  So getting back to the question, what’s the average?  What is the average?",teacher,18,2,1.0,,0.0,90 × 5 يساوي 450. لذلك للعودة إلى السؤال، ما هو المتوسط؟ ما هو المتوسط؟
450?,student,1,0,,,,450؟
Is it 450?  Is it 90?  Or is it 5?,teacher,10,0,,,0.0,هل هو 450؟ هل هو 90؟ أو هو 5؟
5.,student,1,0,,,,5 .
5 hours.   So you’re saying each student read 5.,teacher,9,0,,,0.0,إذاً تقولين أن كل طالب يقرأ خمسة
Right.,student,1,0,,,,-حسناً
"Okay?  So if we did that in this classroom, we have 14 students in this classroom, and if each student read for 5 hours a night. 14 students in our class.  5 hours.  5 hours for the month.",teacher,38,0,,,0.0,إذا فعلنا ذلك في هذه الفصول الدراسية، سيكون لدينا 14 طالبًا في هذه الفصول الدراسية، وإذا كان كل طالب يقرأ لمدة 5 ساعات في الليل، 14 طالبًا في صفنا، 5 ساعات، 5 ساعات للشهر.
5 times 14.,student,3,0,,,,5 × 14
5 times 14 is how much?,teacher,6,0,,,0.0,5 × 14 كم هو؟
"There’s 14 students so, if five times 10 is… 70. If 5 times 10 is 50 then you have five times 4, and 70.",student,24,0,,0.0,,اذا كان 5 × 10 = 50 فان لديك 5 × 4 و 70.
"4 times 5. common, the 7 equals the 14, and then the 14 minuses the 7, and that makes it 7. All right, and so what’s 4 times 5?",teacher,29,0,1.0,,0.0,4 × 5. عام، 7 يساوي 14، ثم 14 يقل عن 7، وهذا يجعلها 7. حسنا، وماذا 4 × 5؟
4 times 5 is 20.,student,5,0,,,,4 × 5 = 20
And then we can add the 50 and the 20 together and what do we get?,teacher,16,1,0.0,,0.0,وبعدها يمكننا إضافة 50 و 20 معا وماذا نحصل؟
Then we get 70.,student,4,0,,,,ثم نحصل على 70.
"Excellent job.  Did anybody else get that or kind of understood that?  Because we haven’t done a whole lot of averaging. That’s good.  We just kind of did it yesterday, we started with it, so I’m glad to see that you guys picked it up a little bit. So here’s our table of contents.  Take out your math notebooks please.   And today we’re going to be talking about symmetry, fractions on a number line.  So we’re going to continue our fractions.  We’re going to talk a little bit about symmetry.  Symmetry.  Symmetry, what is symmetry? Hold on, hold on.  Did I spell that wrong?  I did spell that wrong.  You guys.  S-Y-M-M-E-T-R-Y.  Symmetry.  My bad. And does anybody know what symmetry is?  It’s one of those math terms, it’s one of those words that is real, real specific to math.  Well, not really I guess.  What do you think, Student L?",teacher,151,11,,,1.0,عمل ممتاز. هل حصل أي شخص آخر على ذلك أو فهم ذلك نوعاً ما؟ لأننا لم نفعل الكثير من المتوسطات. هذا جيد. لقد فعلنا ذلك نوعاً ما بالأمس فقط، بدأنا بذلك، لذا أنا سعيد لرؤية أنكم انتقلتم قليلاً. لذا إليك جدول محتوياتنا. خذوا دفتر ملاحظاتكم الرياضية من فضلكم. واليوم سوف نتحدث عن التكافؤ، الكسور على خط الأرقام. لذا سوف نستمر في كسورنا. سوف نتحدث قليلاً عن التكافؤ. التكافؤ. التكافؤ، ما هي التكافؤ؟ انتظروا، انتظروا. هل أحكمت ذلك خطأ؟ لقد أحكمت ذلك خطأ. يا رفاق. S-Y-M-M-E-T-R-Y. و التكافؤ. و التكافؤ.
"I think it’s like if you cut the class in half, and then like put a mirror in front, and put the class together on the other side.",student,28,0,,0.0,,أعتقد أنه مثل تقسيم الفصل إلى النصف، ومن ثم وضع المرآة في الأمام، ووضع الفصل معا على الجانب الآخر.
"You’re saying, so if you put the whole class over on one side and you put a mirror, it would show you the other side. Good, that’s a pretty good definition.",teacher,31,1,1.0,,0.0,أنت تقول، إذا وضعت كل الفصل إلى جانب واحد و وضعت المرآة، سوف تظهر لك الجانب الآخر. جيد، هذا تعريف جيد جدا.
If you fold the paper in half it would be the same size as the other side.,student,17,0,,1.0,,إذا قمت بتثبيت الورق إلى النصف سيكون بنفس الحجم من الجانب الآخر
