text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"All right.  Everyone has a cube, correct?",teacher,7,1,,,0.0,حسناً، كل شخص لديه مكعب، صحيح؟
Yes.,multiple students,1,0,,,,-أجل، أجل
And a [stamp].,teacher,3,0,,,0.0,و (خاتمة)
Yes.,multiple students,1,0,,,,-أجل، أجل
"Right.  You should be working with the person sitting next to you.  We want you to have a cube and a stamp.  Okay?  We all know what a cube is, correct?",teacher,31,2,,,0.0,حسناً، يجب أن تعمل مع الشخص الجالس بجانبك، نريدك أن تحصل على مكعب وخطّة، حسناً، جميعنا نعرف ما هو مكعب، صحيح؟
Yes.,multiple students,1,0,,,,-أجل، أجل
All right.  The stamp represents one square unit.  Okay?  The stamp represents one square unit.  So everyone look at the cube.  Let’s look at the cube.  How many surfaces are there on the cube?,teacher,34,7,,,0.0,حسناً، العلامة تمثل وحدة مربعة واحدة. حسناً؟ العلامة تمثل وحدة مربعة واحدة. لذا الجميع ينظر إلى المكعب. دعونا ننظر إلى المكعب. كم عدد السطحات الموجودة على المكعب؟
Six.,student,1,0,,,,ستة.
"Raise your hand, please.  Remember, we do not speak out. So you are looking at the cube.  How many surfaces are there?  There are six surfaces.  There’s one, [inaudible] is one, one on the bottom, and one on top.  Now, this stamp represents one square unit.  Okay?  This stamp represents one square unit. If I cover all the surfaces with a stamp, how many square units will that be?",teacher,69,7,,,0.0,ارفع يديك، رجاءً. تذكر أننا لا نتحدث. لذا أنت تنظر إلى المكعب. كم سطح هناك؟ هناك ستة سطحات. هناك واحدة، [غير مسموعة] هي واحدة، واحدة في الأسفل، وواحدة في الأعلى. الآن، هذه العلامة تمثل وحدة مربعة واحدة. حسناً؟ هذه العلامة تمثل وحدة مربعة واحدة. إذا غطيت جميع السطحات بالعلامة، كم وحدة مربعة سيكون ذلك؟
Six.,student,1,0,,,,ستة.
"Do not speak out.  Raise your hand, please.  How many square units with one?",teacher,14,2,,,0.0,لا تتكلّم، ارفعوا يدكم، من فضلكم، كم عدد الوحدات المربعة مع واحدة؟
[Inaudible] equal to six square units.,student,6,2,,,,[غير مسموع] يساوي ست وحدات مربعة.
