text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
Okay.  This afternoon we’re going to be doing a lesson on –,teacher,12,0,,,0.0,حسناً، بعد ظهر اليوم سنقوم بدراسة
Fractions.,student,1,1,,,,الكسور.
"Fractions, percent equivalents and we’ve been working on this and let’s see if I just say to you I’m going to give you a percent and I wanna see if you can give me the equivalent fraction.  All right.  So let’s see if you can.  Let’s see if you remember some of them.  Some of them are tough, as you know, the eighths and the sixths.  We’ve been working on that.  Okay.  Now, how about 75 percent?  What would be the fraction equivalent of that?  Student K?",teacher,87,8,,,0.0,دعونا نرى إن كان بإمكانك أن تعطيني الجزء المكافئ. دعونا نرى إذا كنت تتذكر بعضها. بعضها صعب، كما تعلمون، الثمانية والسادسة. كنا نعمل على ذلك. حسناً. الآن، ماذا عن 75 في المئة؟ ما هي تعادل الجزء من ذلك؟ الطالب ك؟
[Inaudible.],student,1,0,,,,[غير مسموع.]
Six-eights.,teacher,1,0,,,0.0,ستة ثمانية.
[Inaudible.],multiple students,1,0,,,,[غير مسموع.]
Shh.  Shh.  Raise your hand please.  Three-fourths it would be equivalent to what fraction?,teacher,14,2,,,0.0,ارفع يديك من فضلك ثلاثة أرباعه يعادل أي جزء؟
There’s two of them.,student,4,0,,,,هناك اثنان منهم.
Three-fourths would be equivalent to 70 so they’d be worth the same.  Correct?,teacher,13,1,,,0.0,ثلاثة أرباع سيكون مساوياً لـ 70 لذا سيكونون يستحقون نفس الشيء، صحيح؟
Yes.,student,1,0,,,,-أجل، أجل
"Student C?  Were you gonna say something?  Okay.  So what we’re going to be doing is comparing percents, fractions.  I got a tricky one for you, though, ’cause this is one that some of you get a little bit mixed up on, the one-eighth.  What would the percent be for one-eighth?  What would the percent be?",teacher,56,4,,,0.0,الطالب C؟ هل ستقول شيئاً؟ حسناً، ما سنفعله هو مقارنة النسبة المئوية، الفروقات. لديّ واحدة صعبة بالنسبة لكم، على الرغم من ذلك، لأن هذه هي واحدة التي يخلط بعضكم قليلاً بها، الثامنة الواحدة. ما هو النسبة المئوية للثامنة الواحدة؟
Twelve-and-a-half percent.,student,2,1,,,,اثني عشر ونصف بالمئة.
Twelve-and-a-half percent.  Good.  And then how about one- sixth?  Student C?,teacher,11,1,,,0.0,اثني عشر ونصف في المئة، جيد، وماذا عن السادس؟
[Inaudible.],student,1,0,,,,[غير مسموع.]
What is it?,teacher,3,0,,,0.0,-ما الأمر؟
