text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Perfect.  Raise your what?  I put your bag outside.  So, what I want you to do in your journals today [inaudible] – we got our date. Quick question, okay?  Why do we find volume?  Why is it important?  I believe Student M asked it yesterday. Somebody asked it yesterday.",teacher,49,1,,,0.0,مثالي. ارفع ماذا؟ وضعت حقيبتك بالخارج. لذا، ما أريدك أن تفعله في مذكراتك اليوم [غير مستمع]  لدينا موعدنا. سؤال سريع، حسنا؟ لماذا نجد حجم؟ لماذا هو مهم؟ أعتقد أن الطالب M سأل ذلك أمس. شخص ما سأل ذلك أمس.
Student C.,student,2,0,,,,الطالب (ج)
Student C.  She said why do we have to do this?  What’s the point?  We talked about it a little bit.  But now that you’ve played and built some boxes – why would people have to know how to find volume?  Why do we create a formula for this?,teacher,49,1,,,1.0,الطالب سي. قالت لماذا يجب أن نفعل هذا؟ ما الفائدة؟ تحدثنا عن ذلك قليلا. ولكن الآن بعد أن تلعب وتبني بعض الصناديق  لماذا يجب أن يعرف الناس كيفية العثور على الصوت؟ لماذا نخلق صيغة لهذا؟
Be –,student,2,0,,,,كوني
Student F?,teacher,2,0,,,0.0,الطالب (ف) ؟
We have to really –,student,5,0,,,,علينا حقاً
"Wait, no, no, don’t tell me.  You’re gonna write it in your journal, just a sentence or two or three. Can you use a pencil, Student J?",teacher,27,0,0.0,,0.0,مهلاً، لا، لا، لا تخبرني، ستكتبين ذلك في مذكراتك، جملة أو جملتين أو ثلاث، أيمكنك استخدام قلم رصاص، يا طالب (جي) ؟
Mine broke.,student,2,0,,,,لقد تعطلت لي
All right.  What ideas did you come up with?  Who can tell me something?  Student J?,teacher,16,0,,,1.0,حسناً، ما هي الأفكار التي أتيت بها؟
"Oh, I said [supported the found] volume, because sometimes you need to fill things up with something of a certain size and you need to [inaudible] it down and that you measure the volumes in there, so I know how much fits in it.",student,44,3,,1.0,,قلت [دعم حجم العثور] ، لأن أحيانا تحتاج إلى ملء الأشياء بشيء من حجم معين و تحتاج إلى [غير مسموع] إلى أسفل و أن تقيس الحجم هناك ، لذلك أنا أعرف كم يناسب في ذلك.
"Okay.  Ooh, that’s [one].  We need to fill up things and you guys had boxes right?",teacher,16,0,1.0,,0.0,حسناً، هذا واحد، يجب أن نملأ الأشياء وكان لديكم صناديق، صحيح؟
Yeah.,student,1,0,,,,-أجل، أجل
"You need to fill boxes up at times, right?  And we talked kind of about like packing companies, like our little boxes, Amazon.com, different shipments like that.  Why else, Student M?",teacher,31,0,,,1.0,تحتاج إلى ملء الصناديق في بعض الأحيان، صحيح؟ و تحدثنا نوعا ما عن مثل شركات التعبئة، مثل الصناديق الصغيرة لدينا، Amazon.com، شحنات مختلفة مثل ذلك. لماذا غير ذلك، الطالب M؟
"So, if we’re gonna, like, build a house or something, we can kind find, like, the least amount of stuff to have the biggest amount of space inside of it.",student,30,0,,0.0,,لذا، إذا كنا سنبني منزل أو شيء من هذا القبيل، يمكننا أن نجد، نوعا ما، أقل كمية من الأشياء التي لديها أكبر كمية من المساحة داخل ذلك.
What do you mean?,teacher,4,0,0.0,,1.0,ما الذي تعنيه؟
"Like, say you’re building a house and, like, if you could find the surface area, but not just because it’s a big surface area, it doesn’t mean it has a big volume.  So, maybe, you could have like a small surface area, but a big volume.",student,46,8,,1.0,,على سبيل المثال، لنفترض أنك تبني منزل و، على سبيل المثال، إذا كنت تستطيع العثور على المساحة السطحية، ولكن ليس فقط لأنه مساحة كبيرة السطحية، هذا لا يعني أنه لديه حجم كبير. لذلك، ربما، قد يكون لديك مثل مساحة سطح صغيرة، ولكن حجم كبير.
"Okay.  That’s a different idea.  She’s taking it – comparing it to surface area.  We talked about surface areas when we measure the whole outside, not the inside.",teacher,28,6,1.0,,0.0,حسناً، هذه فكرة مختلفة، إنها تأخذها مقارنة مع المساحة السطحية، تحدثنا عن المساحة السطحية عندما نقيس الكل من الخارج، وليس من الداخل.
"Like, you could have a bigger surface area because the volume –but the same volume.  I’m not really sure if that’s true, but –",student,24,4,,1.0,,مثل، يمكن أن يكون لديك مساحة مسطح أكبر لأن الحجم  ولكن نفس الحجم. أنا لست متأكدة حقاً إذا كان هذا صحيحاً، ولكن 
"Okay.  So, maybe, that’s something we can work on and figure out.  What do you think, Student J?",teacher,18,0,0.0,,1.0,حسناً، ربما يمكننا أن نعمل على ذلك ونكتشف ما رأيك يا طالب (جي) ؟
"I think it’s important to have volume, because you’re not always going to have boxes and cubes to fill it up and find it.  So, you’re just gonna know how to use it.",student,33,2,,0.0,,أعتقد أنه من المهم أن يكون لديك حجم، لأنك لن يكون لديك دائما صناديق ومكعبات لملئها وإيجادها. لذلك، سوف تعرف فقط كيفية استخدامه.
"Nice, so I’m gonna write that up here.  You can’t always use cubes, right?",teacher,14,1,1.0,,0.0,حسناً، سأكتب هذا هنا، لا يمكنك استخدام الكوبات دائماً، صحيح؟
Yeah.,student,1,0,,,,-أجل، أجل
"If I give you guys a test and I say what is the volume of this box – and I actually made a quick box.  Well, I didn’t make it yet.  I have the pattern.  I have it right here.  And I say, what is the volume of this box?  Should you all have to run to the back of the classroom and grab a bin of cubes?",teacher,68,3,,,0.0,إذا أعطيتكم اختباراً وقلت لكم كم حجم هذا الصندوق و صنعت صندوقاً سريعاً. حسناً، لم أفعل ذلك بعد. لدي النمط. لديّه هنا. وقلت لكم، كم حجم هذا الصندوق؟ هل يجب عليكم جميعاً الركض إلى الجزء الخلفي من الفصل الدراسي
No.,multiple students,1,0,,,,-كلا .
Why?  Student U?,teacher,3,0,,,1.0,لماذا، الطالب؟
Because there’s a formula to it.,student,6,0,,,,لأن هناك صيغة لذلك
"Yeah.  If all of a sudden you’re at Home Depot and you buy a box and you need to know how big it is, are you gonna be able to have cubes?",teacher,32,1,0.0,,0.0,"أجل، إذا كنت فجأة في ""هوم ديبو"" وتشتري صندوقًا وتحتاج إلى معرفة حجمها، هل ستتمكن من الحصول على مكعبات؟"
No.,student,1,0,,,,-كلا .
No.  And is everything that we put inside boxes always going to be the same size as the cubes?,teacher,19,1,,,0.0,كلا، وهل كل ما نضعه داخل الصناديق سيكون دائماً بنفس حجم الكوبات؟
No.,student,1,0,,,,-كلا .
"No.  So, that’s actually what Student J said, kind of with the measurements.  If you’re putting bigger things into boxes, you’re not gonna be able to fit as much, right?  So, yesterday, Teacher S started us off with a formula for this, right?  And what did Teacher S say we had to do. Student S?",teacher,55,1,,,0.0,لا، هذا ما قاله الطالب جي، نوعا ما مع القياسات. إذا كنت تضع أشياء أكبر في صناديق، لن تكون قادرة على تناسب الكثير، أليس كذلك؟ إذن، أمس، المعلم S بدأ بنا مع صيغة لهذا، أليس كذلك؟ وماذا قال المعلم S علينا القيام به. الطالب S؟
She said that when we’re gonna find an area that [inaudible] times it.,student,13,1,,0.0,,قالت ذلك عندما نجد منطقة تُضاعفها
"[Inaudible], she said we’re gonna find the area.  Did she say we were gonna find the area of the whole thing?",teacher,21,3,1.0,,0.0,قالت أننا سنعثر على المنطقة هل قالت أننا سنعثر على المنطقة بأكملها؟
No.,student,1,0,,,,-كلا .
What’d she say?,teacher,3,0,,,1.0,ماذا قالت؟
"That – she said, like, first it, like, the middle part of it –",student,14,0,,0.0,,ذلك  قالت، مثل، أولاً، مثل، الجزء الوسط من ذلك 
Or the?,teacher,2,0,0.0,,0.0,أَو؟
[Equal side of it.],student,4,0,,,,[جانب متساوي من ذلك.]
"The base, right?  So, Teacher S said if we take this base and we find the area of it.  So, this kind of ties to yesterday.  We said, we’re working – we’re [inaudible] prisms.  We’re finding  the volume, which is the amount of space inside, but we never put this word up.  What word is that, Student I?",teacher,58,3,,,0.0,القاعدة، صحيح؟ إذاً، قال المعلم S إذا أخذنا هذه القاعدة ووجدنا مساحةها. إذاً، هذا النوع من العلاقات مع البارحة. قلنا، نحن نعمل  نحن prisms. نحن نجد الحجم، وهو كمية المساحة بالداخل، ولكننا لم نضع هذه الكلمة أبداً. ما هي هذه الكلمة، الطالب الأول؟
Dimensions.,student,1,1,,,,الأبعاد
Dimensions.  What do dimensions mean?  Think back to when we played with the [Raid Cards]?  Student J?,teacher,17,2,,,1.0,الأبعاد، ماذا تعني الأبعاد؟
"You find the – like, you find the perimeter?",student,9,1,,0.0,,هل تجد  مثل، هل تجد المحيط؟
"It’s kind of the measurement on the sides, right, the rows and the columns.  So, what would the dimensions be here for my base?  Student J?  What are the dimensions for this base? We have a 3.",teacher,37,3,0.0,,0.0,انها نوع من القياس على الجانبين، صحيح، الصفوف والعمود. لذلك، ما هي الأبعاد هنا لأساسي؟ الطالب J؟ ما هي الأبعاد لهذه القاعدة؟ لدينا 3.
And 4.,student,2,0,,,,وأربعة
"And 4.  And, now, what do we do with that to find the area? Student J?",teacher,16,1,,,0.0,و 4، و الآن، ماذا نفعل بذلك للعثور على المنطقة؟ الطالب J؟
We use 3 times 4.,student,5,0,,,,نحن نستخدم 3 × 4.
"3 times 4 or the length times the width, right?  So, the area of the base is?",teacher,17,2,1.0,,0.0,3 × 4 أو الطول × عرض، صحيح؟ إذن، مساحة القاعدة هي؟
12.,multiple students,1,0,,,,12
"12.  Now, we’re gonna use that to find our volume, right?  So, what are we gonna do to this?  Student S?",teacher,21,1,,,0.0,الآن، سنستخدمها للعثور على حجمنا، صحيح؟ إذن، ماذا سنفعل بهذا؟ الطالب S؟
We’re gonna times it by height.,student,6,0,,,,سنضربها بالارتفاع
We’re gonna times it by the height.  Can you tell what the height is of this pattern or do I have to build it? Student U?,teacher,26,0,1.0,,0.0,سنضربها بالارتفاع هل يمكنك معرفة ارتفاع هذا النمط أم يجب علي بناؤه؟
The height is 2.,student,4,0,,,,الارتفاع هو 2.
"Is 2, right?  So, what’s the volume of this cube that I made? Student S?",teacher,15,2,,,0.0,إذاً، ما هو حجم هذا الكوب الذي صنعته؟ الطالب S؟
24.,student,1,0,,,,24.
"24.  And if you just fold it up, all that height tells us is that we’re gonna have 2 rows of 12 cubes, right, and, now, I have a box that holds it.  So, you shouldn’t have to sit here – I know some of us we’re having a ball filling it with cubes, but you shouldn’t have to do that all the time. What we’re gonna talk about today is what happens if the situation changes?  For example, you have your hands up, but you don’t know what I mean.  What would happen – I’m packing my boxes for my shipping company, Student J.  And all of a sudden, you know how if you order something, orders can change, right?  What happens if my order changes? And if you look in your book on Page 11 –",teacher,138,2,,,0.0,24، وإذا قمتم ببساطة بتثبيتها، كل ما يخبرنا به هذا الطول هو أننا سنحصل على صفين من 12 مكعب، صحيح، والآن، لدي صندوق يحمله. لذا، لا يجب أن تجلس هنا  أعرف أن بعضنا لدينا كرة ملئة بها بكوب، ولكن لا يجب أن تفعل ذلك طوال الوقت. ما سوف نتحدث عنه اليوم هو ما سيحدث إذا تغير الوضع؟ على سبيل المثال، لديك أيدي مرتفعة، ولكنك لا تعرف ما أعنيه. ماذا سيحدث  أنا أحزم صناديقي لشركة الشحن الخاصة بي، الطالب J.
Your book?,student,2,0,,,,كتابك؟
Your Tab 2.,teacher,3,0,,,0.0,علامتك الثانية
Oh.,student,1,0,,,,-أوه .
"You’re gonna be building again.  So, look at the new page you put in.  And you see how it says, “Doubling the number of cubes”? Our shipping company is gonna work with a box and they’re gonna just give us the dimensions right now, okay?  You see this?  This is what they’re giving us.  So, if you look at Page 11, it says, “Doubling the number of cubes.”  And it tells you at the top, “Answer the question.  Use grid paper, cubes and anything that helps you solve this problem.”  Okay? So, you can use the cubes.  We have tons of the paper.  We have the scissors.  We have the tape if you want to build. But it says, “You have a box that is 2 by 3 by 5.  How many cubes does it hold?  How do you know?” Now, do you have to build that box to find the volume now?",teacher,153,7,,,0.0,ستقوم ببناء مرة أخرى. لذا، انظر إلى الصفحة الجديدة التي وضعتها. وترى كيف تقول:  مضاعفة عدد الكوبات ؟ شركتنا الشحنية ستعمل مع مربع وسوف تعطينا فقط الأبعاد الآن، حسنا؟ هل ترى هذا؟ هذا ما يقدمونه لنا. لذلك، إذا نظرت إلى الصفحة 11، فإنه يقول:  مضاعفة عدد الكوبات.  ويقول لك في الأعلى،  اجيب على السؤال. استخدم ورقة الشبكة، الكوبات وأي شيء يساعدك على حل هذه المشكلة.  حسنا؟ لذلك، يمكنك استخدام الكوبات. لدينا أطنان من الورق. لدينا مقص. لدينا الشريط إذا كنت ترغب في بناء.
No.,multiple students,1,0,,,,-كلا .
"No.  We have a formula and we can figure it out and that’s great.  But what I really want you guys to focus on is I understand you’re gonna find the volume for that box and I know you’re gonna do it easily. But look at Number 2, “The factory wants you to build a box that’ll hold twice as many cubes.” So, you need to find the volume for the first one and get that answer correct, right?  Multi-step.  Then, you have to double that volume.  And after you double that volume, you have to figure out how can you create a box – what are the dimensions gonna be for your new box that you create for the factory?  Okay? So, what I want you to do is really pay attention to this right here, the dimensions.  Okay? ’Cause then underneath it, it asks you, “Write the dimensions and explain how you found the answer.  Draw the design for the new box.” And then, the challenge is gonna be, if you work for this company, can you go above and beyond and build them a lot of boxes that’ll hold double the number of cubes?  Make sense?",teacher,199,9,,,0.0,لا. لدينا صيغة ويمكننا معرفة ذلك و هذا عظيم. ولكن ما أريده حقاً أن تركز عليكم هو أنني أفهم أنك ستجدون حجم هذا الصندوق وأنا أعلم أنك ستفعلون ذلك بسهولة. ولكن انظروا إلى رقم 2، والصناعة تريد منك أن تبني الصندوق الذي سيقبض ضعف عدد الكوبات. لذلك، تحتاج إلى العثور على حجم الأول والحصول على الإجابة الصحيحة، أليس كذلك؟
Oh.,student,1,0,,,,-أوه .
"So, what you might want to do –",teacher,8,0,,,0.0,لذا، ما الذي قد ترغب في القيام به
[Inaudible.],student,1,0,,,,[غير مسموع.]
