text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
Okay.  Let’s begin.  Objective reader.  Who’s my objective reader?  Student E?  Go ahead and read the math objectives for today.,teacher,20,0,,,0.0,حسناً، دعونا نبدأ. القارئ المستهدف. من هو القارئ المستهدف؟ الطالب إيه؟ إذهب وقرأ أهداف الرياضيات اليوم.
[Inaudible],student,1,0,,,,[غير مسموع]
"Okay, now, use a voice in which we can all hear you.  So go back and read it again using a big boy voice.",teacher,24,0,,,0.0,حسناً، الآن، استخدم صوتاً يمكننا سماعك جميعاً، لذا عد وأقرأه مرة أخرى باستخدام صوت صبي كبير.
Students will be able to find the simplest form of fractions. Students will be able to explain their solutions to a partner.,student,22,2,,0.0,,سيتمكن الطلاب من العثور على أبسط شكل من أشكال الكسور. سيتمكن الطلاب من شرح حلولهم إلى شريك.
Much better.  Okay.  I’m going to put a fraction on the board. I want you to put that fraction in its simplest form. [Whispering in Spanish],teacher,26,2,1.0,,0.0,أفضل بكثير. حسناً، سأضع جزءاً على اللوحة. أريدك أن تضع هذا الجزء في أبسط شكله.
Forty.  Forty.  [Inaudible],student,3,0,,,,أربعين، أربعين.
"When you have figured it out, raise your hand.  And I want you to share how you figured out how to get the simplest form of a fraction.  You’re making it bigger.  Is that what simple means?  What does simple mean?  To make it bigger or smaller?",teacher,47,1,,,1.0,عندما تكتشف ذلك، ارفع يديك. وأريدك أن تشارك كيف اكتشفت كيفية الحصول على أبسط شكل من الكسور. أنت تجعلها أكبر. هل هذا ما يعني بسيط؟ ماذا يعني بسيط؟ تجعله أكبر أو أصغر؟
Smaller.,student,1,0,,,,أصغر
"Okay.   Student L, how did you get the simplest fraction?",teacher,10,1,,,1.0,حسناً، الطالب (إل) ، كيف حصلت على أبسط جزء؟
Ten goes into eighty eight times and then ten goes into 200 twenty times.,student,14,0,,0.0,,عشرة تذهب إلى ثمانين وثمانين مرة ثم عشرة تذهب إلى مائة وعشرين مرة.
So then what ended up being your fraction?,teacher,8,1,0.0,,0.0,إذاً ما الذي أصبح جزءك؟
[Eight.],student,1,0,,,,[ثمانية.]
So that’s one possible answer.  What’s another answer?  Student M?,teacher,10,0,,,0.0,إذاً هذا واحد من الإجابات المحتملة. ما هو الإجابة الأخرى؟ الطالب M؟
[Inaudible] goes into 20 [Inaudible] eight two times.,student,8,0,,0.0,,[لا يسمع] يذهب إلى 20 [لا يسمع] ثمانية مرتين.
So breaking this down by four?  So what’s your fraction?,teacher,10,1,0.0,,0.0,إذاً إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، ما هو الجزء الخاص بك؟
[Inaudible],student,1,0,,,,[غير مسموع]
Anybody else have anything that they did?  Wander?  Share with the class.  You raised your hand.,teacher,16,0,,,1.0,أي شخص آخر لديه أي شيء قام به؟ أرحل؟ شارك مع الفصل.
[Inaudible],student,1,0,,,,[غير مسموع]
Sh!,teacher,1,0,,,0.0,اللعنة!
I bring [Inaudible] into [Inaudible] and 200 into 2 and [Inaudible] four [Inaudible] two one [Inaudible] 20 over 50.  And I break that into two again ten over 25.,student,29,0,,0.0,,أحضر [الجهاز غير السمعي] إلى [الجهاز غير السمعي] و200 إلى 2 و [الجهاز غير السمعي] أربعة [الجهاز غير السمعي] اثنان واحد [الجهاز غير السمعي] 20 على 50.
"So, it took you a long time to do that, no?",teacher,11,0,0.0,,0.0,إذاً، لقد استغرق الأمر وقتاً طويلاً للقيام بذلك، صحيح؟
[Inaudible],student,1,0,,,,[غير مسموع]
"That’s the problem.  Some of us know how to find a simpler fraction but we don’t know how to find the simplest fraction.  So, if you think that the simplest fraction is eight twentieths, raise your hand.   If you think the simplest fraction is two fifths, raise your hand.  If you think the simplest fraction is ten over 25, raise your hand.  Okay.  Lights, camera and action.",teacher,67,5,,,0.0,هذه هي المشكلة. بعضنا يعرف كيفية العثور على جزء بسيط ولكننا لا نعرف كيفية العثور على الجزء الأبسط. لذلك، إذا كنت تعتقد أن الجزء الأبسط هو ثمانية عشرينات، رفع يدك. إذا كنت تعتقد أن الجزء الأبسط هو اثنين من الخامسة، رفع يدك. إذا كنت تعتقد أن الجزء الأبسط هو عشرة على 25، رفع يدك. حسنا. الأضواء، الكاميرا والعمل.
[Inaudible],student,1,0,,,,[غير مسموع]
"I know I did not hear people speaking, especially when my back is turned. Okay.  So this is what we have to do when we have to find the simplest fractions.  What we do is we look at the factors of the numerator and the denominator.  What’s factors again?  I totally forgot what factors means.  What does it mean to find a factor of a number?  Student A?",teacher,68,6,,,1.0,أنا أعرف أنني لم أسمع الناس يتحدثون، وخاصة عندما تكون ظهري مُحوَّل. حسناً. لذلك هذا ما علينا القيام به عندما نحتاج للعثور على أبسط الكسور. ما نفعله هو النظر إلى عوامل العداد والاسم. ما هي العوامل مرة أخرى؟ نسيت تماماً ما تعنيه العوامل. ماذا يعني العثور على عامل من عدد؟ الطالب A؟
[Inaudible],student,1,0,,,,[غير مسموع]
To find a number that multiplies?,teacher,6,1,,,0.0,للعثور على رقم يضاعف؟
Factor is a number that you can replace [Inaudible].,student,9,0,,0.0,,الفاكتور هو رقم يمكنك استبداله
Okay.  Another explanation?  Student M?,teacher,5,0,0.0,,1.0,حسناً، تفسير آخر، الطالب (م) ؟
A number that goes into another number evenly?,student,8,0,,0.0,,رقم يذهب إلى رقم آخر بالتساوي؟
"Excellent.  A number that goes into another number evenly.  For example, what you said Student A.  I knew exactly what you were talking about but those are better words.  It makes it simpler to understand, okay? So let’s do the factors of the numerator for letter A.  What are the factors for the numerator of letter A?  What are the factors of two?  What numbers go into two evenly?  Student J?",teacher,71,5,1.0,,0.0,ممتاز. رقم يذهب إلى رقم آخر بالتساوي. على سبيل المثال، ما قلته الطالب A. كنت أعرف بالضبط ما كنت تتحدث عنه ولكن هذه كلمات أفضل. يجعل من الأسهل أن نفهم، حسنا؟ لذلك دعونا نقوم  العوامل من العداد للحرف A. ما هي العوامل من العداد للحرف A؟ ما هي العوامل من اثنين؟ ما هي العوامل التي تذهب إلى اثنين بالتساوي؟ الطالب J؟
One.,student,1,0,,,,واحد.
One and?,teacher,2,0,,,0.0,واحد و؟
[Inaudible] Two?,student,2,0,,,,اثنان؟
"One and two, good.  What are the factors of eight?  What are the factors of eight?  Student J?",teacher,18,2,,,0.0,واحد و اثنان، جيد. ما هي عوامل الثمانية؟ ما هي عوامل الثمانية؟ الطالب J؟
"Two, four and eight.",student,4,0,,,,اثنان، أربعة وثمانية.
Are you missing one?,teacher,4,0,,,0.0,هل تفتقدين واحدة؟
[Inaudible],student,1,0,,,,[غير مسموع]
"You’re missing the obvious one.  Student W, what’s the factor she’s missing?",teacher,12,0,,,0.0,تلميذ (و) ، ما هو العامل الذي تفتقده؟
One.,student,1,0,,,,واحد.
One.  I didn’t hear you.,teacher,5,0,,,0.0,واحد، لم أسمعك
I said one.  [Inaudible],student,4,0,,,,قلت واحداً
"Now, if you – you can say that you said that.  If I didn’t hear it, I didn’t hear it.  You need to use a big girl voice or a big boy voice.  So, which number goes into the numerator and the denominator?  Which number goes into the numerator and the denominator?  Student A?",teacher,54,4,,,0.0,الآن، إذا كنت  يمكنك أن تقول أنك قلت ذلك. إذا لم أسمع ذلك، لم أسمع ذلك. تحتاج إلى استخدام صوت فتاة كبيرة أو صوت ولد كبير. إذاً، أي رقم يدخل في العداد والعاقل؟ أي رقم يدخل في العداد والعاقل؟ الطالب A؟
Two.,student,1,0,,,,اثنان.
"Two.  We have two right here as a factor of two and we have two over here as a factor of eight.  So, we know that we need to divide by two.  So what’s my new fraction?  What’s my new fraction?  I should see more hands than this.  What’s my new fraction?  Who haven’t I heard from?  Student M?",teacher,59,4,,,0.0,اثنان. لدينا اثنان هنا كعامل اثنين و لدينا اثنان هنا كعامل ثمانية. لذلك، نحن نعلم اننا بحاجة الى تقسيم اثنين. اذا ما هو كسر جديد لي؟ ما هو كسر جديد لي؟ يجب ان أرى المزيد من اليدين من هذا. ما هو كسر جديد لي؟ من لم اسمع؟ الطالب M؟
One-fourth.,student,1,0,,,,ربع واحد.
"One-fourth.  So that’s our simplest, simplest fraction.  Let’s do another one for letter B.  Which factors go into ten? Student E?",teacher,21,2,,,0.0,واحد ربع. لذلك هذا هو لدينا أبسط، أبسط كسر. دعونا نفعل واحد آخر للحرف B. ما العوامل تذهب إلى عشرة؟ الطالب E؟
[Inaudible],student,1,0,,,,[غير مسموع]
"One, two, five and ten.  Good.  What factors goes into 20? What factors go into 20?  Student D?",teacher,18,2,,,1.0,واحد، اثنان، خمسة وعشرة. جيد. ما العوامل التي تذهب إلى 20؟ ما العوامل التي تذهب إلى 20؟ الطالب D؟
"Five, [Inaudible]",student,2,0,,,,خمسة، [غير مسموع]
Is she missing any?,teacher,4,0,,,0.0,هل تفتقد أي منها؟
Yeah.  Yeah.  Mm-hm.,multiple students,3,0,,,,أجل، أجل.
"What is she missing, Student J?",teacher,6,0,,,0.0,ما الذي تفتقده، الطالب جي؟
[Inaudible],student,1,0,,,,[غير مسموع]
Is that it?,teacher,3,0,,,0.0,أهذا كل شيء؟
No.,multiple students,1,0,,,,-كلا .
Is that it?  I think there’s one more.  I don’t know who’s gonna be able to get it though.  Student J?,teacher,21,0,,,0.0,أعتقد أن هناك واحد آخر لا أعرف من سيتمكن من الحصول عليه
One?,student,1,0,,,,واحد؟
You already have one.  Student J?,teacher,6,0,,,0.0,لديكِ واحدة بالفعل، الطالب (جي) ؟
Um –,student,2,0,,,,أم 
"One, two, five, ten, 20 and four.  Good.  Good.  Now, we have a problem here.  Because we have two numbers that goes into the numerator and the denominator.  Five and ten go into both of them.  Do you see that?  They’re both factors. Five and ten. So, when we have that problem, which we have a lot of, we had it on the board earlier, you need to pick the highest number. When you divide a number by a bigger number it ends up being smaller.  So, what’s our new fraction if we divide it by the bigger number?  Which one is the bigger number? Student D?",teacher,107,6,,,0.0,واحد، اثنان، خمسة، عشرة، 20 وأربعة. جيد. جيد. الآن، لدينا مشكلة هنا. لأن لدينا اثنين من الأرقام التي تذهب إلى العداد والعاقب. خمسة وعشرة تذهب إلى كليهما. هل ترى ذلك؟ هم كل من العوامل. خمسة وعشرة. لذلك، عندما لدينا تلك المشكلة، والتي لدينا الكثير من، كان لدينا على اللوحة في وقت سابق، تحتاج إلى اختيار أعلى عدد. عندما تقسم عدد من قبل عدد أكبر ينتهي بكونه أصغر.
Ten.,student,1,0,,,,عشرة.
