text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Okay.  So hopefully it’s on, working.  We have a test coming up next week.  What have we been learning about?",teacher,20,0,,,0.0,حسناً، آمل أنه يعمل، لدينا اختبار في الأسبوع المقبل، ما الذي كنا نتعلم عنه؟
Multiplication as a strategy in division.,student,6,2,,,,المضاعفة كاستراتيجية في التقسيم
Using multiplication as a strategy in division.  Student M?,teacher,9,2,1.0,,0.0,باستخدام المضاعفة كاستراتيجية في التقسيم
[Inaudible.],student,1,0,,,,[غير مسموع.]
Right.  Division.  Using the hangman method for division.,teacher,8,2,,,0.0,صحيح، التقسيم، باستخدام طريقة المشنق للتقسيم
[Inaudible.],student,1,0,,,,[غير مسموع.]
I can’t hear you.  Can you speak up.,teacher,8,0,,,0.0,لا أستطيع سماعك هل يمكنك التحدث بصوت أعلى
"Multiplication, to see if [inaudible].",student,5,1,,,,مضاعفة، لمعرفة ما إذا كان [غير مسموع].
Okay.  Using similar problems to help you solve unknown problems in multiplication.,teacher,12,2,1.0,,0.0,حسناً، استخدام مشاكل مماثلة لمساعدتك على حل مشاكل مجهولة في المضاعفة
[Inaudible.],student,1,0,,,,[غير مسموع.]
To break it down.  Break what down?,teacher,7,0,,,0.0,لتحطيمها، تحطيم ماذا؟
[Inaudible.],student,1,0,,,,[غير مسموع.]
"Break the big number apart into smaller, more accessible numbers, right?",teacher,11,0,,,0.0,قم بتقسيم الرقم الكبير إلى أرقام أصغر ويمكن الوصول إليها أكثر، صحيح؟
[Inaudible.],student,1,0,,,,[غير مسموع.]
"Using the [inaudible.]  I can see you guys are clearly noticing my chart up here.  All right.  So we’re going to start off with working on 21 x 12, and we’re going to review some of the methods we have already learned.  Who can help me draw this array so we can break it down?  Or who can tell me how we’re going to break it down?  Student E?  Any ideas.",teacher,71,1,,,1.0,باستخدام [الجهاز غير السمعي] أستطيع أن أرى أنكم تلاحظون بوضوح الرسم البياني الخاص بي هنا. حسناً. لذا سوف نبدأ بالعمل على 21 × 12، وسنقوم بمراجعة بعض الأساليب التي تعلمناها بالفعل. من يمكنه مساعدتي في رسم هذا الترتيب حتى نتمكن من تقسيمه؟ أو من يمكنه أن يخبرني كيف سنقوم بتقسيمه؟ الطالب E؟ أي أفكار.
[Inaudible.],student,1,0,,,,[غير مسموع.]
Does it matter which way I go in this?  All right.  This looks like the slightly smaller side.  We’ll do 10 into –.  So where should I put my 10?  Where should I put my 2? Student J?,teacher,38,0,,,0.0,هل يهم في أي طريق أذهب في هذا؟ حسناً. هذا يبدو مثل الجانب الأصغر قليلاً. سنقوم بـ 10 في . إذاً أين أضع 10؟ أين أضع 2؟ الطالب J؟
You put your 10 [inaudible] going down.,student,7,0,,,,أنت وضعت عشرة [غير مسموع] الذهاب إلى أسفل.
