text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Okay.  All right.  All right.  Today we’re gonna continue with making our boxes.  But we’re gonna do something a little bit different today.  Today, the packaging factory doesn’t want all the same size packages.  And, remember that each of our cubes was a package?  And the things we made were the box. Now, we’re gonna have some different size packages in our boxes today.  So, we’re gonna have a package that looks like this.  Like this.  Like this.  A nice long one.  And then a real big package and one that looks like this. So, what we’re gonna begin to do this morning is I’m going to give you the worksheet and I’m going to have you make a box. Everybody is making the same box today and it’s already framed for you.  All right?  So, you’re gonna make this box and you have the extensions to put on the box. So, everybody’s gonna make a box.  When I give you the sheet I’m gonna ask you to tell me what size box you think this is going to be.  Okay?  So, could you pass them out?  I can’t have Student D pass them out because he is not part of the [Inaudible]. Okay, Student J.  I’m sorry, Student J, what did you say?",teacher,214,1,,,0.0,حسناً. حسناً. اليوم سنستمر في صنع صناديقنا. لكن اليوم سنفعل شيئاً مختلفاً قليلاً. اليوم، مصنع التغليف لا يريد جميع صناديق الحجم نفسه. وتذكر أن كل واحد من كوباتنا كان صناديقاً. والأشياء التي صنعناها كانت الصندوق. الآن، سنحصل على بعض صناديق الحجم المختلف في صناديقنا اليوم. لذا، سنحصل على صناديق تبدو على هذا النحو. على هذا النحو.
Can I get some scissors?,student,5,0,,,,هل يمكنني الحصول على مقص؟
"I’ll bring you some scissors, okay?",teacher,6,0,1.0,,0.0,سأحضر لك مقصاً، حسناً؟
Okay.,student,1,0,,,,-حسناً
We need some of the other packages.  I need some of the other. All right.  Scissors?,teacher,16,0,,,0.0,نحن بحاجة إلى بعض الحزم الأخرى أنا بحاجة إلى بعض الآخر حسناً، مقص؟
Mm-hm.,student,1,0,,,,-حسناً
Anybody else need scissors here?,teacher,5,0,,,0.0,هل هناك أحد آخر يحتاج إلى مقص هنا؟
I need scissors.  Thank you.,student,5,0,,,,أحتاج إلى مقص، شكراً
"Okay.  You may begin cutting.  While you’re cutting I want you to think about as I finish passing out the papers, what are the dimensions of this box going to be?  If anybody knows right now.",teacher,36,1,1.0,,0.0,حسناً، يمكنكِ البدء في القطع، بينما أنتِ تقطعين أريدكِ أن تفكرين عندما أنتهي من توزيع الأوراق، ما هي أبعاد هذا الصندوق؟
Thank you. Thank you.,student,4,0,,,,شكراً، شكراً
You may start cutting.  Okay.  I have to give you the extension.  There’s an extension to go around the top of the box.,teacher,23,0,,,0.0,حسناً، يجب أن أعطيك الإطالة، هناك إطالة للذهاب حول أعلى الصندوق
Teacher?  I know the dimensions.,student,5,1,,,,أنا أعرف الأبعاد
"Well, you haven’t got the extension yet.  Here comes the extension.  All right.  Here’s the extension.  Actually you don’t need these two.  Let me just leave –",teacher,27,0,0.0,,0.0,حسناً، لم تحصل على الإطالة بعد. ها هي الإطالة. حسناً. ها هي الإطالة. في الواقع لا تحتاج إلى هذين الإثنين. دعني أرحل فقط
Okay. [Inaudible].  Why do we need it?,student,7,0,,,,حسناً، لماذا نحتاجها؟
Because the extension’s gonna go on the box.,teacher,8,0,1.0,,0.0,لأن الإطالة ستذهب على الصندوق.
Oh.,student,1,0,,,,-أوه .
