text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Good morning, everyone.",teacher,3,0,,,0.0,صباح الخير، الجميع.
"Good morning, Mr. G.",student,4,0,,,,صباح الخير، سيد جي.
"Remember, I want a few people, excuse me, a few people, a few assistants, and I know I have Student R.  Yes, good job. Yes.  Now, yesterday morning we were – let me wait for Student R – Student R, yes. Student R.  Nice.  And we don’t have Student N’s attention.  That’s good, very good, Student N.  And Student R.  And Student R. And Student K, you don’t need that Student K.  Student K, you don’t need that.  Student K, I need your attention. Yes, Student M?",teacher,87,0,,,0.0,تذكر، أريد بعض الأشخاص، عذراً لي، بعض الأشخاص، بعض المساعدين، وأعرف أن لدي طالب ر. نعم، عمل جيد. نعم. نعم. الآن، صباح أمس، دعوني أنتظر طالب ر  طالب ر، نعم. طالب ر. لطيف. ونحن لا نملك اهتمام الطالب. هذا جيد، جيد جداً، الطالب ن. و الطالب ر. و الطالب ر. و الطالب ك، أنت لا تحتاج إلى ذلك الطالب ك. الطالب ك، أنت لا تحتاج إلى ذلك. الطالب ك، أنا بحاجة إلى اهتمامك. نعم، الطالب م؟
I need to get something from [inaudible].,student,7,0,,,,أنا بحاجة للحصول على شيء من [غير مسموع].
"Now listen, remember we were building our tower, and we did quite, quite a bit with that multiple tower, building it up.  And we have a few people that did it here, we have a few people that did it.  The other people did it over there, and we have it out there. And now we’re going to do a little bit extra, extra math.  And you should be able to do – after you build your tower, Student K, after you build your tower, you should be able to write and predict.  So after you predict, you write the multiplication.  You write the multiple.  You write the multiple of 10.",teacher,111,4,0.0,,0.0,الآن اسمع، تذكر أننا كنا نبني برجنا، ونحن فعلنا القليل جدا مع هذا البرج المتعدد، بناؤه. ونحن لدينا عدد قليل من الناس الذين فعلوا ذلك هنا، لدينا عدد قليل من الناس الذين فعلوا ذلك. الناس الآخرين فعلوا ذلك هناك، ونحن لدينا ذلك هناك. والآن سوف نقوم بفعل قليلا إضافية، الرياضيات الإضافية. ويجب أن تكون قادرة على القيام ب بعد أن تبني برجك، الطالب K، بعد أن تبني برجك، يجب أن تكون قادرة على كتابة وتنبؤ.
Then you write the equation.,student,5,1,,,,ثم تكتب المعادلة.
"Okay, then you write the equation.  With the prior knowledge that we built the tower in, remember the 10 multiple, the 5th multiple, and different stage of the multiple.  So two building, building, build two-digit multiple tower.  Now we’re moving on from the single multiple tower, like we did 3…",teacher,50,7,1.0,,0.0,حسنا، ثم تكتب المعادلة. مع المعرفة السابقة التي بنيت البرج في، تذكر العشرة المتعددة، والعشرة المتعددة، والمرحلة المختلفة من المتعددة. لذلك بناء اثنين، بناء، بناء برج متعدد الأرقام. الآن نحن نتحرك من البرج المتعدد واحد، كما فعلنا 3...
4.,student,1,0,,,,4 .
We count by…,teacher,3,0,,,0.0,نحن نحسب من خلال...
We did 60.,student,3,0,,,,لقد فعلنا 60
"Wait a minute, hold on.  Three…",teacher,6,0,,,0.0,انتظر لحظة، انتظر
30.,student,1,0,,,,ثلاثون
"No, 3, 6, 9, 12.  We’re counting by three. We’re skip counting by three.  3…",teacher,15,0,,,0.0,لا، ثلاثة، ستة، ستة، ستة، إثنان، سنعد إلى ثلاثة، سنغادر العد إلى ثلاثة، ثلاثة...
"6, 9, 12, 15.",multiple students,4,0,,,,6، 9، 12، 15
You all aren’t paying attention.,teacher,5,0,,,0.0,أنتم جميعاً لا تهتمون
"18, 18, 18, 181 21. 24. 27.",student,7,0,,,,18، 18، 18، 181 21، 24. 27.
27.,teacher,1,0,1.0,,0.0,27.
30. 33.,student,2,0,,,,٣٠ ٣٣
"33, right.  That way we build to the 10th digit.  Let’s start again.  If we add our 10th, then it becomes what? 30… Right? Pay attention.  Hold on.   Hold on, Student K.  30.  Look, look, wait for your turn.  Look at me.",teacher,42,2,,,0.0,33، صحيح، بهذه الطريقة سنبني على الرقم العاشر، دعونا نبدأ من جديد، إذا أضفنا الرقم العاشر، ثم يصبح ماذا؟ 30... صحيح؟ انتبه. انتظر. انتظر. انتظر، الطالب K. 30. انظر، انظر، انتظر دورك. انظر إلي.
30. 60. 90. 120.,student,4,0,,,,30، 60، 90، 120
Good job.,teacher,2,0,,,0.0,عمل جيد
150.,student,1,0,,,,150.
150.,teacher,1,0,,,0.0,150.
180.,student,1,0,,,,180.
180.  So is that 6? Is that 6?,teacher,8,0,,,1.0,هل هذا 6؟
Yes.,student,1,0,,,,-أجل، أجل
"6, that’s it.  And then, let’s continue.",teacher,7,0,,,0.0,ستة، هذا هو. وبعد ذلك، دعونا نستمر.
110.,student,1,0,,,,110.
No!,multiple students,1,0,,,,لا، لا!
"No, no, wait a minute, we’re counting by 30, right?",teacher,10,0,,,0.0,لا، لا، انتظر لحظة، نحن نحسب إلى 30، أليس كذلك؟
"180, 210? 230.",student,3,0,,,,180، 210؟ 230
"210, 40, 24…",teacher,3,0,,,0.0,210، 40، 24...
270. And then 300.,student,4,0,,,,و بعد ذلك 300
"Now, this is the kind of [inaudible] revision, and remember we use these to kind of make it even more effective.  Student K, Student K, Student K.  Yes.   That could be a tower too, because we use all these.  But yesterday the best that I learned about you is when we were doing this tower using only two digits, only two digits – she was [inaudible] – only two digits and I find out there are some people – and you know these are going to go up there – I find out there are some people that did an even better wonderful job.  And they keep on asking how many other ways.  And they did other ways.  They use other ways. And now we kind of do other.  Now, I looked at this one and I see that person.  That’s what we’re going to continue working on this morning, right?  I take this person, that’s Student V’s, and we remember what we had is that person built a tower up to 16 and his biggest number was what?",teacher,179,3,,,0.0,الآن، هذا هو النوع من مراجعة، وتذكر أننا نستخدم هذه لجعلها أكثر فعالية نوعا ما. الطالب ك، الطالب ك، الطالب ك. نعم. يمكن أن يكون ذلك برج أيضا، لأننا نستخدم كل هذا. ولكن بالأمس أفضل ما تعلمته عنك هو عندما كنا نعمل هذا البرج باستخدام رقمين فقط، رقمين فقط  كانت [غير مسمعة]  رقمين فقط وأكتشفت أن هناك بعض الناس  وتعلمون أن هذه ستصعد هناك  أكتشفت أن هناك بعض الناس الذين قاموا بعمل أفضل من ذلك بكثير. ويواصلون على سؤال عدة طرق أخرى.
44.,student,1,0,,,,44
"44.  And he worked -- that wasn’t a he, that’s a she -- she worked up to different, right?  She did it by to build a tower we said that the best way you could help yourself is really getting it by layers and dividing it into – oh, I see division – dividing it into groups.  Groups. You could divide it into 5 groups.  You could divide your tower into tenth group, and you could divide your tower into fourth. See? Because we are doing it for 16th, and that person decide to do it in 1, 2, 3…",teacher,100,5,,,0.0,44 و عمل - هذا لم يكن هو ، هذا هو هي - عملت إلى مختلفة ، أليس كذلك؟ لقد فعلت ذلك من خلال بناء برج قالنا أن أفضل طريقة يمكن أن تساعد نفسك هي حقا الحصول عليها في طبقات وتقسيمها إلى  أوه ، أرى التقسيم  تقسيمها إلى مجموعات. مجموعات. يمكنك تقسيمها إلى 5 مجموعات. يمكنك تقسيم برجك إلى مجموعة عشرة ، ويمكنك تقسيم برجك إلى رابع. انظر؟ لأننا نقوم بذلك في 16 ، وهذا الشخص يقرر القيام بذلك في 1 ، 2 ، 3 ...
Ooooh!,student,1,0,,,,-أوه!
"Yeah, and I’m glad you realize.  You didn't even recognize. Then what she did even, an extra one, she wrote…",teacher,20,0,,,0.0,نعم، وأنا سعيدة أنكِ أدركتِ أنكِ لم تدركِ حتى، ثم ما فعلته حتى، واحدة إضافية، كتبت...
The equation.,student,2,1,,,,المعادلة
"The equation.  Except you didn't put the equation, but I could see you write the equation, this is good.  Now what are we going to do, another person, Student N, hold on for me, thank you.  Another person.  Hold this and check to see what she did.  And another person, that was Student M. Student M did the same thing as this.  She wrote her – and her number was 55, the base number. And she kind of used the value of skip counting by 5 and built on it. But she did the same thing.  She wrote down the 4th multiple, the 5th multiple, the 12th multiple, and the 16th multiple, and the 20th multiple.  And I think those people have a very good base.  What we’re going to do this morning, we’re going to try to write how -- reverse.  What is the reverse of that multiple tower?",teacher,150,10,,,0.0,المعادلة. ما عدا أنك لم تضع المعادلة، ولكنني رأيتك تكتب المعادلة، هذا جيد. الآن ما الذي سنفعله، شخص آخر، الطالب N، انتظر لي، شكراً. شخص آخر. أمسك هذا وتحقق من ماذا فعلت. شخص آخر، كان الطالب M. الطالب M فعل الشيء نفسه. كتبت لها  والرقم لها كان 55، الرقم الأساسي. واستخدمت نوعاً ما قيمة تخطي العد بنسبة 5 وبناء عليها. لكنها فعلت الشيء نفسه. كتبت المضاعفة الرابعة، المضاعفة الخامسة، المضاعفة الثانية عشرة، والمضاعفة السادسة عشرة، والمضاعفة العشرين. وأعتقد أن هؤلاء الناس لديهم قاعدة جيدة جداً.
Division.,student,1,1,,,,القسم
"Division.  So we’re going to try to use this to make the reverse, look.  Because I’m going to help people finish their multiple tower, then from there we’re going to kind of come back and kind of write the division. Another person that did a wonderful job, look. What do you think she did?",teacher,54,3,,,1.0,التقسيم. لذلك سوف نحاول استخدام هذا للقيام بالعكس، انظر. لأنني سوف أساعد الناس على إنهاء برجهم المتعدد، ثم من هناك سوف نعود نوعا ما ونكتب نوعا ما التقسيم. شخص آخر قام بعمل رائع، انظر. ماذا تعتقد أنها فعلت؟
Oh!,student,1,0,,,,-أوه
"Student K, what do you think she did?",teacher,8,0,,,1.0,الطالب كيه، ماذا تعتقد أنها فعلت؟
She built the tower and gave the equation and plussed it.,student,11,1,,0.0,,لقد بنيت البرج وأعطت المعادلة وأضافها
How? So multiple tower is like plussing and plus and plus?,teacher,11,1,1.0,,0.0,كيف؟ إذاً البرج المتعدد هو مثل إضافة زائد زائد زائد؟
No.,student,1,0,,,,-كلا .
What is multiple tower? Okay.,teacher,5,1,,,0.0,ما هو البرج المتعدد؟
Skip counting…,student,2,0,,,,تفوت العد...
"No, it’s not you, Student S, it’s not you.  She needs to tell me what did she see.  What can you learn from …",teacher,24,0,,,1.0,لا، ليس أنت، الطالب (س) ، ليس أنت، يجب أن تخبرني بما رأت، ماذا يمكنك أن تتعلم من...
She put it by the stairs [inaudible].,student,7,0,,,,وضعتها عند الدرج
"Because we call it tower and she said she built it by étage. Etage means we build on the tower and a different layer or different level, and she even named.  But she write the equation next to it.  That’s what I’m going to ask you to do.  Write the equation for each of them.  That’s another way.  You could do it that way too.",teacher,65,2,1.0,,0.0,"لأننا نسميها البرج وقالت إنها بنتها بالمرحلة. ""مرحلة"" تعني أننا نبني على البرج وطبقة مختلفة أو مستوى مختلف، وأنها حتى سميت. لكنها تكتب المعادلة بجوارها. هذا ما سأطلب منك فعله. اكتب المعادلة لكل منهما. هذه طريقة أخرى. يمكنك القيام بذلك بهذه الطريقة أيضا."
I was trying to do like how many…how many…,student,9,0,,0.0,,كنت أحاول أن أفعل كم... كم...
