text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Okay, so here’s the fraction track that we started with yesterday.  And some of you got started.  Can somebody explain how they knew either how to fill in blank dots or where to add dots.  Student F?",teacher,37,2,,,1.0,حسناً، وهنا مسار الجزء الذي بدأنا به بالأمس. وبعضكم بدأ. هل يمكن لأحد أن يشرح كيف عرف إما كيف يملأ النقاط الفارغة أو أين يضيف النقاط. الطالب F؟
Because if those – if it was in the fourth thing you only knew – you already knew that there [inaudible] 50 and 75 [inaudible] and 100 [Indiscernible] single one of them so we didn’t have to guess that.,student,39,0,,1.0,,لأنه إذا كانت تلك  إذا كانت في الشيء الرابع كنت تعرف فقط  كنت تعرف بالفعل أن هناك [غير سمع] 50 و 75 [غير سمع] و 100 [غير قابل للتمييز] واحد منهم لذلك لم يكن علينا تخمين ذلك.
"You’re right.  So these are all marked as one whole, which we’re also going to change into fractions as we go.  So, it sounds like you looked at the one out of fourths first.  Is that what you had said?  This one? So you knew what about fourths?",teacher,48,2,0.0,,0.0,أنت على حق. لذلك كل هذه علامة ككل واحد، والتي سوف نقوم أيضا تغييرها إلى كسور بينما نحن نذهب. لذلك، يبدو وكأنك نظرت إلى واحد من أرباع أولا. هل هذا ما قلت؟ هذا واحد؟
"That there was only four and there were only 25, 75 – I mean 25, 50, and 75 and 100 [inaudible] so you have to guess that one.",student,28,0,,0.0,,أنه كان هناك أربعة فقط و كان هناك فقط 25، 75  أعني 25، 50، و 75 و 100 [غير مسموع] لذلك يجب أن تخمن ذلك واحد.
"Okay, so it sounds like you took the fractions and you changed them to what?",teacher,15,1,0.0,,0.0,حسناً، يبدو أنك أخذت الكسور وتغيرتها إلى ماذا؟
"Twenty five, fifty –",student,4,0,,,,خمسة وعشرون، خمسين 
I don’t know what that means.  Can you explain that a little bit further?  Where did you get 25 from?,teacher,20,0,,,1.0,لا أعرف ما يعنيه هذا هل يمكنك تفسير ذلك بقليل؟ من أين حصلت على 25؟
Is it recording or no?,student,5,0,,,,هل هو تسجيل أم لا؟
Uh-huh.,teacher,1,0,0.0,,0.0,اه-ها.
Oh.,student,1,0,,,,-أوه .
"It’s fine.  Don’t worry about the camera.  It’s just like a normal math day.  So, I liked what you said.  You know that it has 25, 50, and 75.  I’m just wondering where those numbers came from.",teacher,37,0,,,0.0,لا بأس، لا تقلق بشأن الكاميرا. إنها مثل يوم رياضي عادي. لذلك، أحببت ما قلته. أنت تعرف أنه يحتوي على 25، 50، و 75. أنا فقط أتساءل من أين تأتي تلك الأرقام.
Twenty five [inaudible] I know where the [middle] –,student,9,0,,0.0,,خمسة وعشرون [غير مسموع] أنا أعرف أين [الوسط] 
But I wrote ¼.  I didn’t write 25.  So where are you getting 25 from?,teacher,15,0,1.0,,1.0,لكنّي كتبتُ 1⁄4. لم أكتب 25، إذاً من أين حصلتُ على 25؟
I know that one-fourth is 25.  I know that two-fourth is 50. And I know that three-fourth is 75.,student,19,0,,0.0,,أنا أعرف أن ربع واحد هو 25 أنا أعرف أن ربع اثنين هو 50 وأنا أعرف أن ربع ثلاثة هو 75.
Okay.,teacher,1,0,0.0,,0.0,-حسناً
And I know [inaudible],student,4,0,,,,وأنا أعرف [غير مسموع]
"Excellent.  You’re doing something, but you’re not explaining what you’re doing.  So you’re taking ¼ and you said you changed it to 25.  What does that mean that you changed it to 25?",teacher,33,0,,,1.0,رائع، أنت تفعل شيئاً، ولكنك لا تشرح ما تفعله، لذا أنت تأخذ 1/4 وتقول أنك غيرته إلى 25. ماذا يعني ذلك أنك غيرته إلى 25؟
I turned into a percent.,student,5,1,,,,لقد تحولت إلى نسبة مئوية
"Okay, thank you.  That’s what I was looking for.  So you changed it 25 percent, right?  Very good.  That’s a big difference so you want to remember to say that.  So, how many of you did that.  How many of you took this fraction track and thought of it as percents?  I’m just curious. Just a few of you?  Okay, because we have been working on that a lot so I thought a lot of people might do that. Excellent job. So, let’s focus in on this one since Student F pointed it out.  Is there something that is missing --",teacher,101,3,1.0,,1.0,حسناً، شكراً. هذا ما كنت أبحث عنه. لذلك قمت بتغييرها بنسبة 25 في المائة، أليس كذلك؟ جيد جداً. هذا فرق كبير لذلك تريد أن تتذكر قول ذلك. لذا، كم منكم فعل ذلك. كم منكم أخذ هذا المسار الفقري وفكر في أنه في المئات؟ أنا فقط فضولي. فقط عدد قليل منكم؟ حسناً، لأننا كنا نعمل على ذلك كثيراً لذلك اعتقدت أن الكثير من الناس قد يفعلون ذلك. عمل ممتاز. لذا، دعونا نركز على هذا واحد منذ أن أشار الطالب F إليه. هل هناك شيء ما يفتقد -
Yes.,student,1,0,,,,-أجل، أجل
In that fourths fraction track.  Student J?,teacher,7,1,,,0.0,في مسار الجزء الرابع، الطالب جي؟
We’re missing two-fourth.,student,3,0,,,,نحن نقصان أرباعين
Two-fourths. Excellent.  And does anyone know what two-fourth is equal to?  Student S?,teacher,13,0,,,1.0,اثنان أرباع. ممتاز. و هل يعرف أحد ما أرباع اثنان تساوي؟ الطالب S؟
Half.,student,1,0,,,,النصف.
A half.  So where should my dot be?,teacher,8,0,,,0.0,نصف، إذاً أين يجب أن تكون نقطتي؟
In the middle.,student,3,0,,,,في الوسط
In the middle between what?,teacher,5,0,,,0.0,في منتصف ما؟
"One-fourth, one-fourth. And three-fourth. One-fourth –",student,6,0,,,,ربع واحد، ربع واحد، وثلاثة أربعة، ربع واحد
"Okay, that’s true.  In the middle between here.  It should also – if I’m comparing all of my fraction tracks what else should I be looking at that I could compare it to?  So, yes, it should be in the middle between there.  Student T?",teacher,45,1,0.0,,0.0,حسنا، هذا صحيح. في الوسط بين هنا. يجب أن يكون أيضا  إذا كنت مقارنة جميع أثر الكسور الخاصة بي ما يجب أن أبحث في أي شيء آخر يمكنني مقارنته؟
You shouldn’t look at the top.,student,6,0,,,,لا يجب أن تنظر إلى القمة
"Okay.  We had the very first halfway mark labeled for us. Student T, since you weren’t here you should be filling this in as you go.  And I know a few others yesterday didn’t get to filling the entire chart out so this is your chance to check it because we’re using it for the game.",teacher,56,0,0.0,,0.0,حسناً، كان لدينا علامة منتصف الطريق الأولى المسموحة لنا الطالب (تي) بما أنك لم تكن هنا يجب أن تملأ هذا أثناء رحلتك وأعرف أن بعض الآخرين بالأمس لم يتمكنوا من ملء الرسم البياني بأكمله لذا هذه هي فرصتك للتحقق منه لأننا نستخدمها للعبة
[Inaudible] in the middle [inaudible],student,5,0,,,,[غير مسموع] في الوسط [غير مسموع]
"Excellent job with the two-fourth.  So, is our fourths track filled in completely?",teacher,13,0,0.0,,0.0,عمل ممتاز مع الثانية الرابعة إذاً، هل مسار الرابعة مليء بالكامل؟
Yes.,multiple students,1,0,,,,-أجل، أجل
How do we know?  Student D?,teacher,6,0,,,1.0,كيف نعرف، الطالب (دي) ؟
"‘Cause you can one-fourth, two-fourth and ¾.",student,7,0,,,,لأنك تستطيعين ربع، ربع و ربع و ربع
