text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Okay.  Great.  So, everybody has in front of them a small piece of do-now work.  I’m gonna borrow this, please.  Thank you. If you don’t have enough room here, you can do your work on another side of the page. We’re going to pretend that I’m planning my birthday party.",teacher,50,0,,,0.0,حسناً. عظيم. لذا، الجميع أمامهم قطعة صغيرة من العمل الآن. سأستعير هذا، من فضلك. شكراً. إذا لم يكن لديك مساحة كافية هنا، يمكنك القيام بعملك على الجانب الآخر من الصفحة. سنظاهر أنني أخطط لحفلة عيد ميلادي.
Why?,student,1,0,,,,-لماذا؟
Because we’re doing a combination problem.,teacher,6,0,,,0.0,لأننا نقوم بمشكلة مزيجية
But we can do it today.,student,6,0,,,,لكن يمكننا القيام بذلك اليوم.
"Well, no, I just want to talk about the do-now work here.  And the do-now work says, “How many combinations can you make? Show your work and explain your thinking.  Teacher R wants to make cupcakes for her birthday.  She has many choices to make.” “Each cupcake can be one flavor, one type of frosting and one color sprinkle.”  Who can tell me what flavor cupcakes can I choose from?  What does it say?  Student I?",teacher,76,3,0.0,,0.0,حسناً، لا، أريد فقط أن أتحدث عن العمل الحالي هنا. والعمل الحالي يقول: كم مزيج يمكن أن تجعله؟ أظهر عملك وتفسير تفكيرك. المعلمة R تريد أن تصنع الكعك لعيد ميلادها. لديها العديد من الخيارات التي يمكن أن تجعلها.  كل كعك يمكن أن يكون ذوق واحد، نوع واحد من الجليد ورشة واحدة من اللون. من يمكنه أن يخبرني من أي كعك ذوق يمكن أن أختار؟ ماذا يقول؟ الطالب I؟
It says chocolate.,student,3,0,,,,يقول الشوكولاتة
Yeah.,teacher,1,0,,,0.0,-أجل، أجل
[Inaudible.],student,1,0,,,,[غير مسموع.]
"No, just the cupcake flavors.  Yes.",teacher,6,1,,,0.0,لا، فقط طعم الكعك
"Chocolate, vanilla and that’s all.",student,5,0,,,,الشوكولاتة والفانيليا وهذا كل شيء.
"Okay.  So, my flavors of cupcakes are chocolate and – actually, let me move this down – and vanilla.  Great.  What are my other choices that I can make?  Student B?",teacher,31,1,1.0,,0.0,حسناً، طعم الكعك الخاص بي هو الشوكولاتة و في الواقع، دعني أحرك هذا إلى أسفل و فانيلا. عظيم. ما هي الخيارات الأخرى التي يمكنني اتخاذها؟ الطالب ب؟
Frostings.,student,1,0,,,,التجميد.
"Huh, so the kind of frosting.  You’re going to need more space. [Foreign language.]  Okay?  Work over there. Okay.  So, you have the frosting.  Student B, what is frosting?",teacher,29,0,,,0.0,حسناً، هذا النوع من التجميد، ستحتاج إلى مساحة أكبر، حسناً، أعمل هناك، حسناً، لديك التجميد، الطالب ب، ما هو التجميد؟
"It’s, like, the same that you can [inaudible].",student,8,0,,0.0,,هو، مثل، نفس الذي يمكنك [غير مستمع].
