text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"All right.  So we’re running.  Today in math, let’s look at the objective.  Students will be able to use doubling and halving strategies to solve multiplication problems.  So do we remember our doubling and halving strategies?  Put your hand up if you remember them.  Okay.  I want us to look at two problems.  Now, I don’t want us to solve these problems.  I just want you to look at them.  Just look at these problems.  Now, what do we know about these problems? What can someone tell me about these two multiplication problems that we’re going to know, Student K?",teacher,100,2,,,1.0,حسناً. إذاً نحن نجري. اليوم في الرياضيات، دعونا ننظر إلى الهدف. الطلاب سوف يكونون قادرين على استخدام استراتيجيات مضاعفة ونصف لحل مشاكل الضربة. إذاً هل نتذكر استراتيجيات مضاعفة ونصفنا؟ ارفع يدك إذا كنت تتذكرها. حسناً. أريد أن ننظر إلى مشاكل اثنتين. الآن، لا أريد أن ننظر إلى حل هذه المشاكل. أريد فقط أن ننظر إليها. فقط ننظر إلى هذه المشاكل. الآن، ماذا نعرف عن هذه المشاكل؟ ماذا يمكن لأحد أن يخبرني عن هذه المشاكل الضربة الثانية التي سنعرفها، الطالب ك؟
They’ve got 16 in them.,student,5,0,,,,لديهم 16 منهم
"One of the factors is 16.  So from both of the problems, one of the factors is 16.  Awesome, Student K.  Student S?",teacher,23,2,1.0,,0.0,واحد من العوامل هو 16 لذا من كلتا المشاكل، واحد من العوامل هو 16 رائع، الطالب K. الطالب S؟
[Inaudible.],student,1,0,,,,[غير مسموع.]
"The 16 is the same, so yep, the same factors.  So both multiplication problems have 16 as one of the factors. Good.  Student J?",teacher,24,3,,,0.0,16 هو نفس الشيء، لذا نعم، نفس العوامل. لذلك كل من مشاكل الضربة 16 كواحد من العوامل. جيد. الطالب J؟
"6, 3 is half of 3.",student,6,0,,,,6، 3 هو نصف 3
3 is half of 6. Good.  Student M?,teacher,8,0,1.0,,0.0,3 هو نصف 6 جيد الطالب M؟
3 doubled to get 6.,student,5,0,,,,3 مضاعفة للحصول على 6.
"If you double 3, you’ll get 6.  If you cut 6 in half, you’ll get 3.  So, real quick, what I want you to do – I’m going to give you about 30 seconds – turn to the person sitting next to you, or Student L, you can just walk over and sit with Student T real quick, and talk about how you can represent 16 times 3 or 16 times 6 in a story problem or as a picture.  If you were going to draw this, or if you were going to write it in a story problem, tell them the story problem you would write, or tell them how you would draw a picture for either one of these two problems.  I’m going to give you about 30 seconds. [0:02:30] Would you draw it or would you do a story problem?",teacher,143,0,1.0,,0.0,إذا مضاعفة 3، ستحصل على 6. إذا قطعت 6 إلى النصف، ستحصل على 3. لذا، بسرعة، ما أريده منك أن تفعله  سأعطيك حوالي 30 ثانية  اتجه إلى الشخص الجالس بجوارك، أو الطالب L، يمكنك فقط المشي إلى هناك والجلوس مع الطالب T بسرعة، والتحدث عن كيفية تمثيل 16 × 3 أو 16 × 6 في مشكلة القصة أو كمصورة. إذا كنت ستقوم بتوجيه هذا، أو إذا كنت ستكتبها في مشكلة القصة، أخبرهم عن مشكلة القصة التي ستكتبها، أو أخبرهم كيف ستقوم بتوجيه صورة لأي من هذه المشاكل. سأعطيك حوالي 30 ثانية. [0:02:30] هل ستقوم بتوجيه ذلك أو ستقوم بتوجيه مشكلة القصة؟
I would do both.,student,4,0,,,,سأفعل كليهما
