text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"Okay, so we have been working with mostly these larger numbers, and so today we are going to aim to solve this final problem, 13 x 8.  How we’re going to do that is we’re going to work in clusters.  So clusters are a few sets of number equations that are related, but they’re not really related to each other.  Because is 3 x 8 related to 13 x 4?",teacher,70,1,,,1.0,حسناً، لقد كنا نعمل مع معظم هذه الأرقام الكبيرة، لذا اليوم سنستهدف حل هذه المشكلة النهائية، 13 × 8. كيف سنفعل ذلك؟ سنعمل في مجموعات. لذا فإن مجموعات هي مجموعات قليلة من المعادلات الرقمية التي مرتبطة، لكنها ليست مرتبطة ببعضها البعض. لأن 3 × 8 مرتبطة ب 13 × 4؟
No.,student,1,0,,,,-كلا .
"Not really.  But both of these equations are related to our final problem.  You are going to be solving multiplication clusters after we do this activity.  So we’re going to do it together as a class with this example, then you’re going to go back to your seats or your groups, your partners, and you’re going to work together to solve your own sets, and then you’re going to make a poster.  So that’s the whole big picture.  And we’re going to figure out how to solve this equation. What’s 13 x 2, Student M?",teacher,95,4,,,0.0,ليس حقا. ولكن كل من هذه المعادلات ترتبط بمشكلةنا النهائية. سوف تقوم بحل مجموعات مضاعفة بعد أن نفعل هذا النشاط. لذلك سوف نفعل ذلك معا كصف مع هذا المثال، ثم سوف تعود إلى مقاعدك أو مجموعاتك، شركائك، وسوف تعمل معا لحل مجموعاتك الخاصة، ثم سوف تقوم بإنشاء ملصق. لذلك هذه هي الصورة الكبيرة. وسوف نفهم كيفية حل هذه المعادلة. ما هو 13 × 2، الطالب M؟
26.,student,1,0,,,,26.
13 x 4? Student K?,teacher,5,0,,,0.0,13 × 4؟ الطالب كيه؟
52.,student,1,0,,,,52
"3 x 8, Student K or A?",teacher,7,0,,,0.0,"3 × 8, الطالب K أو A؟"
24.,student,1,0,,,,24.
"What’s a way you could solve this in your head quickly? What’s one of the strategies we’ve been using, or you’ve used in third grade maybe? What could you do?",teacher,30,0,,,1.0,ما هي الطريقة التي يمكن أن تحل هذا في رأسك بسرعة؟ ما هي واحدة من الاستراتيجيات التي كنا نستخدمها، أو كنت قد استخدمتها في الصف الثالث ربما؟ ماذا يمكن أن تفعل؟
Skip count.,student,2,0,,,,تخطي العد.
"That’s a great suggestion.  You could skip count.  So Student K or A, skip count in your head.",teacher,18,0,,,0.0,هذا اقتراح رائع يمكنك تخطي العد لذا الطالب K أو A، تخطي العد في رأسك
24.,student,1,0,,,,24.
"24, good girl.  And then we have this one, 12 x 8.  Student F?",teacher,14,0,,,0.0,24، فتاة جيدة، ثم لدينا هذه، 12 × 8. الطالب F؟
98?,student,1,0,,,,98؟
"96.  So now what we have are these four equations solved. They’re our clusters.  So how can we use these clusters, each one of these, to help us solve 13 x 8? We could use them as what, Student L?",teacher,40,1,,,1.0,96. الآن ما لدينا هو هذه المعادلات الأربعة المحلّة. إنها مجموعاتنا. لذا كيف يمكننا استخدام هذه المجموعات، كلّ واحدة منها، لمساعدتنا على حل 13 × 8؟ يمكننا استخدامها كماذا، الطالب L؟
You could double 13 x 4.,student,6,0,,,,يمكنك مضاعفة 13 × 4.
"13 x 4, we could double it, why?",teacher,8,0,1.0,,1.0,13 × 4، يمكننا مضاعفة ذلك، لماذا؟
Because 4 + 4 = 8.,student,6,0,,,,لأن 4 + 4 = 8.
"4 + 4 = 8.  Good job.  So 13 x 4, we can start with that, add another 13 x 4, and we know that equals …",teacher,27,1,1.0,,0.0,4 + 4 = 8. عمل جيد. اذاً 13 × 4 يمكننا البدء بذلك، نضيف 13 × 4 آخر، ونحن نعلم أن هذا يساوي ...
52.,student,1,0,,,,52
52.  52 + 52 is?,teacher,5,0,,,0.0,52 + 52 هي؟
104.,multiple students,1,0,,,,104.
"104.   So that’s one way, we can use this to double, that’s an awesome job noticing that 4 is half of 8, or 8 is double of 4.  What’s another starter you could use, Student B?",teacher,36,0,,,0.0,104. إذاً هذه طريقة واحدة، يمكننا استخدامها لتضاعف، هذا عمل رائع ملاحظة أن 4 هو نصف 8، أو 8 هو ضعف 4، ما هي بداية أخرى يمكنك استخدامها، الطالب ب؟
"12 x 8, and then you have to add one more 8.",student,12,1,,0.0,,12 × 8، ثم عليك إضافة 8 إضافية
Why? Why do you have to add one more 8?,teacher,10,1,1.0,,1.0,لماذا؟ لماذا تضيف ثمانية أخرى؟
Because it’s 12 x 8 and if you add one more 8 it will turn into 13 x 8.,student,19,1,,1.0,,لأنه 12 × 8 وإذا أضفت 8 إضافية سوف يتحول إلى 13 × 8.
So 96 plus 8 equals…,teacher,5,0,0.0,,0.0,لذا 96 زائد 8 يساوي...
104.,student,1,0,,,,104.
"How could you use one of the other starters, Student J?",teacher,11,0,,,0.0,كيف يمكن أن تستخدم أحد المبتدئين الآخرين، الطالب جي؟
"Since the number’s 13 x 8, the 3 is already [Inaudible] so you just do 10 x 8.",student,18,0,,1.0,,وبما أن الرقم s 13 × 8، فإن 3 هو بالفعل [غير قابل للسمع] لذلك يمكنك فقط القيام 10 × 8.
"You just do 10 x 8, because 3 + 10 is?",teacher,11,0,1.0,,0.0,أنت فقط تفعل 10 × 8، لأن 3 + 10 هو؟
13.,student,1,0,,,,13
And what’s 10 x 8?,teacher,5,0,,,0.0,و ما هو 10 × 8؟
80.,multiple students,1,0,,,,80.
80 + 24 = 104.,student,5,0,,,,80 + 24 = 104
"How could I use this one? Now remember, before you say your next thing, it doesn’t always have to be two steps.  It can be more than two steps.",teacher,29,0,0.0,,0.0,كيف يمكنني استخدام هذه؟ الآن تذكر، قبل أن تقول الشيء التالي، لا يجب أن يكون دائما خطوتين. يمكن أن يكون أكثر من خطوتين.
