text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Okay.  Great.  So, everybody has in front of them a small piece of do-now work.  I’m gonna borrow this, please.  Thank you. If you don’t have enough room here, you can do your work on another side of the page. We’re going to pretend that I’m planning my birthday party.",teacher,50,0,,,0.0,حسناً. عظيم. لذا، الجميع أمامهم قطعة صغيرة من العمل الآن. سأستعير هذا، من فضلك. شكراً. إذا لم يكن لديك مساحة كافية هنا، يمكنك القيام بعملك على الجانب الآخر من الصفحة. سنظاهر أنني أخطط لحفلة عيد ميلادي.,حسنا. عظيم. لذا، الجميع امامهم قطعه صغيره من العمل الان. ساستعير هذا، من فضلك. شكرا. اذا لم يكن لديك مساحه كافيه هنا، يمكنك القيام بعملك علي الجانب الاخر من الصفحه. سنظاهر انني اخطط لحفله عيد ميلادي.,36,0.027777777777777776,True
Why?,student,1,0,,,,-لماذا؟,-لماذا؟,1,0.0,False
Because we’re doing a combination problem.,teacher,6,0,,,0.0,لأننا نقوم بمشكلة مزيجية,لاننا نقوم بمشكله مزيجيه,4,0.0,False
But we can do it today.,student,6,0,,,,لكن يمكننا القيام بذلك اليوم.,لكن يمكننا القيام بذلك اليوم.,5,0.0,False
"Well, no, I just want to talk about the do-now work here.  And the do-now work says, “How many combinations can you make? Show your work and explain your thinking.  Teacher R wants to make cupcakes for her birthday.  She has many choices to make.” “Each cupcake can be one flavor, one type of frosting and one color sprinkle.”  Who can tell me what flavor cupcakes can I choose from?  What does it say?  Student I?",teacher,76,3,0.0,,0.0,حسناً، لا، أريد فقط أن أتحدث عن العمل الحالي هنا. والعمل الحالي يقول: كم مزيج يمكن أن تجعله؟ أظهر عملك وتفسير تفكيرك. المعلمة R تريد أن تصنع الكعك لعيد ميلادها. لديها العديد من الخيارات التي يمكن أن تجعلها.  كل كعك يمكن أن يكون ذوق واحد، نوع واحد من الجليد ورشة واحدة من اللون. من يمكنه أن يخبرني من أي كعك ذوق يمكن أن أختار؟ ماذا يقول؟ الطالب I؟,حسنا، لا، اريد فقط ان اتحدث عن العمل الحالي هنا. والعمل الحالي يقول: كم مزيج يمكن ان تجعله؟ اظهر عملك وتفسير تفكيرك. المعلمه R تريد ان تصنع الكعك لعيد ميلادها. لديها العديد من الخيارات التي يمكن ان تجعلها. كل كعك يمكن ان يكون ذوق واحد، نوع واحد من الجليد ورشه واحده من اللون. من يمكنه ان يخبرني من اي كعك ذوق يمكن ان اختار؟ ماذا يقول؟ الطالب I؟,67,0.0,False
It says chocolate.,student,3,0,,,,يقول الشوكولاتة,يقول الشوكولاته,2,0.0,False
Yeah.,teacher,1,0,,,0.0,-أجل، أجل,-اجل، اجل,2,0.0,False
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False
"No, just the cupcake flavors.  Yes.",teacher,6,1,,,0.0,لا، فقط طعم الكعك,لا، فقط طعم الكعك,4,0.0,False
"Chocolate, vanilla and that’s all.",student,5,0,,,,الشوكولاتة والفانيليا وهذا كل شيء.,الشوكولاته والفانيليا وهذا كل شيء.,5,0.0,False
"Okay.  So, my flavors of cupcakes are chocolate and – actually, let me move this down – and vanilla.  Great.  What are my other choices that I can make?  Student B?",teacher,31,1,1.0,,0.0,حسناً، طعم الكعك الخاص بي هو الشوكولاتة و في الواقع، دعني أحرك هذا إلى أسفل و فانيلا. عظيم. ما هي الخيارات الأخرى التي يمكنني اتخاذها؟ الطالب ب؟,حسنا، طعم الكعك الخاص بي هو الشوكولاته و في الواقع، دعني احرك هذا الي اسفل و فانيلا. عظيم. ما هي الخيارات الاخري التي يمكنني اتخاذها؟ الطالب ب؟,27,0.0,False
Frostings.,student,1,0,,,,التجميد.,التجميد.,1,0.0,False
"Huh, so the kind of frosting.  You’re going to need more space. [Foreign language.]  Okay?  Work over there. Okay.  So, you have the frosting.  Student B, what is frosting?",teacher,29,0,,,0.0,حسناً، هذا النوع من التجميد، ستحتاج إلى مساحة أكبر، حسناً، أعمل هناك، حسناً، لديك التجميد، الطالب ب، ما هو التجميد؟,حسنا، هذا النوع من التجميد، ستحتاج الي مساحه اكبر، حسنا، اعمل هناك، حسنا، لديك التجميد، الطالب ب، ما هو التجميد؟,20,0.05,True
"It’s, like, the same that you can [inaudible].",student,8,0,,0.0,,هو، مثل، نفس الذي يمكنك [غير مستمع].,هو، مثل، نفس الذي يمكنك [غير مستمع].,7,0.0,False
