text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"All right, I think everything’s go for the cameras.  We’re going to start off today just by doing our daily word problems.  I’m going to pass these out real quick, and what I want you to do, if you would, is try to solve these problems.  Remember just to try to use everyday kind of logic. Don’t try to think about it too much, just try your best on these, Okay?  What I want you to do is probably just – why don’t we just stick with the second one where it says “Thursday Week Seven.”  You don’t have to do the first one right now; we’ll come back to that. Let me just read this real quick while you’re kind of working on it. It says, “Miss W’s class read for a total of 450 hours this month.  Mr. G’s class read two-thirds the number of hours read by Miss W’s class.  Miss R’s class read twice the number of hours read by Mr. G’s class.  If there were a total of 90 students in these three classrooms, what was the average number of hours read per student?” What was the average?  Remember we were doing a little bit of averaging yesterday?  So what you need to do is find the total of hours and divide that by the number of students. That will give you the average that each student read. So we have 450 hours this month that these 90 students read, right? So what is the average?  They’re asking you, what is the average amount?  Maybe they had one super student that read all 450 hours, right?  And then the 89 other students didn't read at all.  But they’re looking for the average. Go ahead.",teacher,289,10,,,0.0,حسناً، أعتقد أن كل شيء يسير للكاميرات. سنبدأ اليوم فقط من خلال القيام بمشكلة الكلمات اليومية. سأقوم بإعطاء هذه بسرعة كبيرة، وما أريد منك فعله، إذا كنت تريد، هو محاولة حل هذه المشاكل. تذكر فقط لمحاولة استخدام نوع من المنطق اليومي. لا تحاول أن تفكر في ذلك كثيراً، فقط حاول أن تفعل ما بوسعك في هذه، حسناً؟ ما أريده منك أن تفعله هو على الأرجح فقط  لماذا لا نلتزم بالثانية حيث تقول  الخميس الأسبوع السابع.  لا يجب عليك القيام بالواحدة الأولى الآن؛ سنعود إلى ذلك في المتوسط. دعوني فقط أقرأ هذه المشكلة بسرعة كبيرة بينما كنت تعمل عليها نوعاً ما. يقول،  الآنسة W يقرأ لمدة 450 ساعة، لذا ما الذي يسأل الطلاب في هذه الفئة؟ إذاً ما هو متوسط عدد ساعات قراءة في هذه الفئة؟ إذاً ما هو متوسط عدد ساعات قراءة في هذه الفئة؟ إذاً ما هو متوسط عدد ساعات قراءة في هذه الفئة؟,حسنا، اعتقد ان كل شيء يسير للكاميرات. سنبدا اليوم فقط من خلال القيام بمشكله الكلمات اليوميه. ساقوم باعطاء هذه بسرعه كبيره، وما اريد منك فعله، اذا كنت تريد، هو محاوله حل هذه المشاكل. تذكر فقط لمحاوله استخدام نوع من المنطق اليومي. لا تحاول ان تفكر في ذلك كثيرا، فقط حاول ان تفعل ما بوسعك في هذه، حسنا؟ ما اريده منك ان تفعله هو علي الارجح فقط لماذا لا نلتزم بالثانيه حيث تقول الخميس الاسبوع السابع. لا يجب عليك القيام بالواحده الاولي الان؛ سنعود الي ذلك في المتوسط. دعوني فقط اقرا هذه المشكله بسرعه كبيره بينما كنت تعمل عليها نوعا ما. يقول، الانسه W يقرا لمده 450 ساعه، لذا ما الذي يسال الطلاب في هذه الفئه؟ اذا ما هو متوسط عدد ساعات قراءه في هذه الفئه؟ اذا ما هو متوسط عدد ساعات قراءه في هذه الفئه؟ اذا ما هو متوسط عدد ساعات قراءه في هذه الفئه؟,143,0.027586206896551724,True
The answer?,student,2,0,,,,الإجابة؟,الاجابه؟,1,0.0,False
"Go ahead, what do you think?",teacher,6,0,,,1.0,هيا، ما رأيك؟,هيا، ما رايك؟,3,0.0,False
I think the answer is five hours per student.,student,9,0,,0.0,,أعتقد أن الجواب هو خمس ساعات لكل طالب.,اعتقد ان الجواب هو خمس ساعات لكل طالب.,8,0.125,True
Five hours per student.  And how did you figure that out?,teacher,11,0,1.0,,1.0,خمس ساعات لكل طالب وكيف عرفت ذلك؟,خمس ساعات لكل طالب وكيف عرفت ذلك؟,7,0.14285714285714285,True
"Because I just thought about it without the zeroes at the end, I thought about 9 times 5 equals 45, so that means 90 times 5 must be 450.",student,29,0,,1.0,,لأنني فقط فكرت في ذلك دون الصفر في النهاية، فكرت حول 9 × 5 يساوي 45، لذلك هذا يعني 90 × 5 يجب أن يكون 450.,لانني فقط فكرت في ذلك دون الصفر في النهايه، فكرت حول 9 × 5 يساوي 45، لذلك هذا يعني 90 × 5 يجب ان يكون 450.,19,0.038461538461538464,True
"Okay, so you see, you figured it out just kind of by thinking about it.  Right?  You said 9 times 5 is 45, so you knew – what was the next comment you said?  You knew…",teacher,36,0,1.0,,0.0,حسناً، كما ترون، لقد اكتشفت ذلك فقط من خلال التفكير في الأمر، صحيح؟ قلت 9 × 5 هو 45، لذا كنت تعرف ما هو التعليق التالي الذي قلته؟ كنت تعرف...,حسنا، كما ترون، لقد اكتشفت ذلك فقط من خلال التفكير في الامر، صحيح؟ قلت 9 × 5 هو 45، لذا كنت تعرف ما هو التعليق التالي الذي قلته؟ كنت تعرف...,27,0.0,False
That helped me figure out 90 times 5.,student,8,0,,0.0,,هذا ساعدني على معرفة 90 × 5.,هذا ساعدني علي معرفه 90 × 5.,4,0.0,False
"90 times 5 equals 450.  So getting back to the question, what’s the average?  What is the average?",teacher,18,2,1.0,,0.0,90 × 5 يساوي 450. لذلك للعودة إلى السؤال، ما هو المتوسط؟ ما هو المتوسط؟,90 × 5 يساوي 450. لذلك للعوده الي السؤال، ما هو المتوسط؟ ما هو المتوسط؟,11,0.06666666666666667,True
450?,student,1,0,,,,450؟,450؟,1,0.0,False
Is it 450?  Is it 90?  Or is it 5?,teacher,10,0,,,0.0,هل هو 450؟ هل هو 90؟ أو هو 5؟,هل هو 450؟ هل هو 90؟ او هو 5؟,9,0.0,False
5.,student,1,0,,,,5 .,5 .,0,0.0,False
5 hours.   So you’re saying each student read 5.,teacher,9,0,,,0.0,إذاً تقولين أن كل طالب يقرأ خمسة,اذا تقولين ان كل طالب يقرا خمسه,7,0.14285714285714285,True
Right.,student,1,0,,,,-حسناً,-حسنا,1,0.0,False
"Okay?  So if we did that in this classroom, we have 14 students in this classroom, and if each student read for 5 hours a night. 14 students in our class.  5 hours.  5 hours for the month.",teacher,38,0,,,0.0,إذا فعلنا ذلك في هذه الفصول الدراسية، سيكون لدينا 14 طالبًا في هذه الفصول الدراسية، وإذا كان كل طالب يقرأ لمدة 5 ساعات في الليل، 14 طالبًا في صفنا، 5 ساعات، 5 ساعات للشهر.,اذا فعلنا ذلك في هذه الفصول الدراسيه، سيكون لدينا 14 طالبا في هذه الفصول الدراسيه، واذا كان كل طالب يقرا لمده 5 ساعات في الليل، 14 طالبا في صفنا، 5 ساعات، 5 ساعات للشهر.,29,0.0,False
5 times 14.,student,3,0,,,,5 × 14,5 × 14,0,0.0,False
5 times 14 is how much?,teacher,6,0,,,0.0,5 × 14 كم هو؟,5 × 14 كم هو؟,2,0.0,False
"There’s 14 students so, if five times 10 is… 70. If 5 times 10 is 50 then you have five times 4, and 70.",student,24,0,,0.0,,اذا كان 5 × 10 = 50 فان لديك 5 × 4 و 70.,اذا كان 5 × 10 = 50 فان لديك 5 × 4 و 70.,5,0.0,False
"4 times 5. common, the 7 equals the 14, and then the 14 minuses the 7, and that makes it 7. All right, and so what’s 4 times 5?",teacher,29,0,1.0,,0.0,4 × 5. عام، 7 يساوي 14، ثم 14 يقل عن 7، وهذا يجعلها 7. حسنا، وماذا 4 × 5؟,4 × 5. عام، 7 يساوي 14، ثم 14 يقل عن 7، وهذا يجعلها 7. حسنا، وماذا 4 × 5؟,12,0.05,True
4 times 5 is 20.,student,5,0,,,,4 × 5 = 20,4 × 5 = 20,0,0.0,False
And then we can add the 50 and the 20 together and what do we get?,teacher,16,1,0.0,,0.0,وبعدها يمكننا إضافة 50 و 20 معا وماذا نحصل؟,وبعدها يمكننا اضافه 50 و 20 معا وماذا نحصل؟,7,0.1111111111111111,True
Then we get 70.,student,4,0,,,,ثم نحصل على 70.,ثم نحصل علي 70.,3,0.0,False
"Excellent job.  Did anybody else get that or kind of understood that?  Because we haven’t done a whole lot of averaging. That’s good.  We just kind of did it yesterday, we started with it, so I’m glad to see that you guys picked it up a little bit. So here’s our table of contents.  Take out your math notebooks please.   And today we’re going to be talking about symmetry, fractions on a number line.  So we’re going to continue our fractions.  We’re going to talk a little bit about symmetry.  Symmetry.  Symmetry, what is symmetry? Hold on, hold on.  Did I spell that wrong?  I did spell that wrong.  You guys.  S-Y-M-M-E-T-R-Y.  Symmetry.  My bad. And does anybody know what symmetry is?  It’s one of those math terms, it’s one of those words that is real, real specific to math.  Well, not really I guess.  What do you think, Student L?",teacher,151,11,,,1.0,عمل ممتاز. هل حصل أي شخص آخر على ذلك أو فهم ذلك نوعاً ما؟ لأننا لم نفعل الكثير من المتوسطات. هذا جيد. لقد فعلنا ذلك نوعاً ما بالأمس فقط، بدأنا بذلك، لذا أنا سعيد لرؤية أنكم انتقلتم قليلاً. لذا إليك جدول محتوياتنا. خذوا دفتر ملاحظاتكم الرياضية من فضلكم. واليوم سوف نتحدث عن التكافؤ، الكسور على خط الأرقام. لذا سوف نستمر في كسورنا. سوف نتحدث قليلاً عن التكافؤ. التكافؤ. التكافؤ، ما هي التكافؤ؟ انتظروا، انتظروا. هل أحكمت ذلك خطأ؟ لقد أحكمت ذلك خطأ. يا رفاق. S-Y-M-M-E-T-R-Y. و التكافؤ. و التكافؤ.,عمل ممتاز. هل حصل اي شخص اخر علي ذلك او فهم ذلك نوعا ما؟ لاننا لم نفعل الكثير من المتوسطات. هذا جيد. لقد فعلنا ذلك نوعا ما بالامس فقط، بدانا بذلك، لذا انا سعيد لرؤيه انكم انتقلتم قليلا. لذا اليك جدول محتوياتنا. خذوا دفتر ملاحظاتكم الرياضيه من فضلكم. واليوم سوف نتحدث عن التكافؤ، الكسور علي خط الارقام. لذا سوف نستمر في كسورنا. سوف نتحدث قليلا عن التكافؤ. التكافؤ. التكافؤ، ما هي التكافؤ؟ انتظروا، انتظروا. هل احكمت ذلك خطا؟ لقد احكمت ذلك خطا. يا رفاق. S-Y-M-M-E-T-R-Y. و التكافؤ. و التكافؤ.,88,0.02247191011235955,True
