text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"All right, boys and girls.  We’re going to continue our discussion about division, and we’re going to talk about remainders.  I want you to turn and talk with the person next to you, and I want you to come up with your own definition of “What is a remainder?” Go ahead.  Go ahead. You guys are working, [inaudible] working.  You’re still working.  Alright.  Come back.  What is a remainder? Student D?  What did your partner and you come up with?",teacher,80,4,,,0.0,"حسناً يا شباب والفتيات، سنواصل مناقشتنا حول التقسيم، وسنناقش عن البقايا. أريدكم أن تتحولوا وتحدثوا مع الشخص الذي بجانبكم، وأريدكم أن تجدوا تعريفكم الخاص ""ما هو البقايا؟""","حسنا يا شباب والفتيات، سنواصل مناقشتنا حول التقسيم، وسنناقش عن البقايا. اريدكم ان تتحولوا وتحدثوا مع الشخص الذي بجانبكم، واريدكم ان تجدوا تعريفكم الخاص ""ما هو البقايا؟""",27,0.0,False
A remainder is the numbers left out of a division problem.,student,11,2,,0.0,,الباقي هو الأرقام المتبقية خارج مشكلة التقسيم.,الباقي هو الارقام المتبقيه خارج مشكله التقسيم.,7,0.0,False
Okay.  Does anybody have anything to add to Student D’s idea of what a remainder is?  Student T?,teacher,18,2,1.0,,1.0,حسناً، هل لدى أحد ما يضيف إلى فكرة الطالب (دي) عن ما هو البقية؟,حسنا، هل لدي احد ما يضيف الي فكره الطالب (دي) عن ما هو البقيه؟,14,0.0,False
A remainder is the leftover.,student,5,1,,,,البقية هي البقية,البقيه هي البقيه,3,0.0,False
"The leftover.  So again, the numbers Student D has left out of a division problem, and Student T thinks that he thinks it’s the leftovers.  Student A?",teacher,27,1,1.0,,0.0,البقايا. إذاً مرة أخرى، الأرقام التي تركها الطالب D خارج مشكلة التقسيم، والطالب T يعتقد أنه يعتقد أنها البقايا. الطالب A؟,البقايا. اذا مره اخري، الارقام التي تركها الطالب D خارج مشكله التقسيم، والطالب T يعتقد انه يعتقد انها البقايا. الطالب A؟,19,0.0,False
"Leftovers – I mean, remainder is like the extras that are left [inaudible].",student,13,1,,0.0,,البقايا يعني، البقية هي مثل الإضافات التي تبقى.,البقايا يعني، البقيه هي مثل الاضافات التي تبقي.,8,0.0,False
"Okay.  We did do some work with that yesterday, and I’m going to move on to my next question.  We’re going to come up with, again, for math class today, we’re going to come up with what we think a remainder is.  You guys have started with a very good idea, so I guess yesterday’s lesson must have stuck.  So, up here, we’re going to try to get – after all of our work today, we can come up what do we think a remainder is.  So I have a word problem here.  Why is this a word problem?  Anybody know why this is a word problem? Does it have some element in it that makes it a word problem?  Why is this a word problem?  Student D?",teacher,128,2,1.0,,1.0,حسناً. لقد قمنا ببعض العمل مع هذا بالأمس، وسأنتقل إلى سؤالي التالي. سنقوم، مرة أخرى، في صف الرياضيات اليوم، سنقوم بتصميم ما نعتقد أن الباقي هو. لقد بدأنا مع فكرة جيدة جداً، لذا أعتقد أن درس الأمس يجب أن يكون عالقاً. لذا، هنا فوق، سنحاول الحصول على  بعد كل عملنا اليوم، يمكننا أن نصل إلى ما نعتقد أن الباقي هو. ولماذا لدي مشكلة كلمة هنا. هل هذه مشكلة كلمة؟ هل يعرف أي شخص لماذا هذه مشكلة كلمة؟ هل يوجد فيها عنصر يجعلها مشكلة كلمة؟ لماذا هذه مشكلة كلمة؟ الطالب D؟,حسنا. لقد قمنا ببعض العمل مع هذا بالامس، وسانتقل الي سؤالي التالي. سنقوم، مره اخري، في صف الرياضيات اليوم، سنقوم بتصميم ما نعتقد ان الباقي هو. لقد بدانا مع فكره جيده جدا، لذا اعتقد ان درس الامس يجب ان يكون عالقا. لذا، هنا فوق، سنحاول الحصول علي بعد كل عملنا اليوم، يمكننا ان نصل الي ما نعتقد ان الباقي هو. ولماذا لدي مشكله كلمه هنا. هل هذه مشكله كلمه؟ هل يعرف اي شخص لماذا هذه مشكله كلمه؟ هل يوجد فيها عنصر يجعلها مشكله كلمه؟ لماذا هذه مشكله كلمه؟ الطالب D؟,90,0.0,False
Because it has words in it.,student,6,0,,,,لأنه يحتوي على كلمات,لانه يحتوي علي كلمات,4,0.0,False
All right.  What else about it do you think makes it a math word problem?  Student W?,teacher,17,0,1.0,,1.0,حسناً، ما الذي يجعلها مشكلة في الكلمات الرياضية؟,حسنا، ما الذي يجعلها مشكله في الكلمات الرياضيه؟,8,0.0,False
It has a question involving math.,student,6,0,,,,لديه سؤال يتعلق بالرياضيات,لديه سؤال يتعلق بالرياضيات,4,0.0,False
