text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"All right.  Everyone has a cube, correct?",teacher,7,1,,,0.0,حسناً، كل شخص لديه مكعب، صحيح؟,حسنا، كل شخص لديه مكعب، صحيح؟,6,0.0,False
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
And a [stamp].,teacher,3,0,,,0.0,و (خاتمة),و (خاتمه),2,0.0,False
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
"Right.  You should be working with the person sitting next to you.  We want you to have a cube and a stamp.  Okay?  We all know what a cube is, correct?",teacher,31,2,,,0.0,حسناً، يجب أن تعمل مع الشخص الجالس بجانبك، نريدك أن تحصل على مكعب وخطّة، حسناً، جميعنا نعرف ما هو مكعب، صحيح؟,حسنا، يجب ان تعمل مع الشخص الجالس بجانبك، نريدك ان تحصل علي مكعب وخطه، حسنا، جميعنا نعرف ما هو مكعب، صحيح؟,21,0.047619047619047616,True
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
All right.  The stamp represents one square unit.  Okay?  The stamp represents one square unit.  So everyone look at the cube.  Let’s look at the cube.  How many surfaces are there on the cube?,teacher,34,7,,,0.0,حسناً، العلامة تمثل وحدة مربعة واحدة. حسناً؟ العلامة تمثل وحدة مربعة واحدة. لذا الجميع ينظر إلى المكعب. دعونا ننظر إلى المكعب. كم عدد السطحات الموجودة على المكعب؟,حسنا، العلامه تمثل وحده مربعه واحده. حسنا؟ العلامه تمثل وحده مربعه واحده. لذا الجميع ينظر الي المكعب. دعونا ننظر الي المكعب. كم عدد السطحات الموجوده علي المكعب؟,27,0.07407407407407407,True
Six.,student,1,0,,,,ستة.,سته.,1,0.0,False
"Raise your hand, please.  Remember, we do not speak out. So you are looking at the cube.  How many surfaces are there?  There are six surfaces.  There’s one, [inaudible] is one, one on the bottom, and one on top.  Now, this stamp represents one square unit.  Okay?  This stamp represents one square unit. If I cover all the surfaces with a stamp, how many square units will that be?",teacher,69,7,,,0.0,ارفع يديك، رجاءً. تذكر أننا لا نتحدث. لذا أنت تنظر إلى المكعب. كم سطح هناك؟ هناك ستة سطحات. هناك واحدة، [غير مسموعة] هي واحدة، واحدة في الأسفل، وواحدة في الأعلى. الآن، هذه العلامة تمثل وحدة مربعة واحدة. حسناً؟ هذه العلامة تمثل وحدة مربعة واحدة. إذا غطيت جميع السطحات بالعلامة، كم وحدة مربعة سيكون ذلك؟,ارفع يديك، رجاء. تذكر اننا لا نتحدث. لذا انت تنظر الي المكعب. كم سطح هناك؟ هناك سته سطحات. هناك واحده، [غير مسموعه] هي واحده، واحده في الاسفل، وواحده في الاعلي. الان، هذه العلامه تمثل وحده مربعه واحده. حسنا؟ هذه العلامه تمثل وحده مربعه واحده. اذا غطيت جميع السطحات بالعلامه، كم وحده مربعه سيكون ذلك؟,54,0.09259259259259259,True
Six.,student,1,0,,,,ستة.,سته.,1,0.0,False
"Do not speak out.  Raise your hand, please.  How many square units with one?",teacher,14,2,,,0.0,لا تتكلّم، ارفعوا يدكم، من فضلكم، كم عدد الوحدات المربعة مع واحدة؟,لا تتكلم، ارفعوا يدكم، من فضلكم، كم عدد الوحدات المربعه مع واحده؟,12,0.0,False
[Inaudible] equal to six square units.,student,6,2,,,,[غير مسموع] يساوي ست وحدات مربعة.,[غير مسموع] يساوي ست وحدات مربعه.,6,0.16666666666666666,True
Okay.  Six square units.  There’s one here – everyone is looking – another one.  Okay?,teacher,15,2,1.0,,0.0,حسناً، ست وحدات مربعة، هناك واحد هنا، الجميع يبحث عن واحد آخر، حسناً؟,حسنا، ست وحدات مربعه، هناك واحد هنا، الجميع يبحث عن واحد اخر، حسنا؟,13,0.0,False
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
"Both sides, top and bottom.  Six square units.  Correct?",teacher,9,2,,,0.0,على الجانبين، أعلى وأسفل، ستة وحدات مربعة، صحيح؟,علي الجانبين، اعلي واسفل، سته وحدات مربعه، صحيح؟,8,0.125,True
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
"Now, today’s objective, everyone, is surface area.  How many of you have seen this term before?  We found the area of a shape, the perimeter of a shape, the volume of a shape.  So now we’re going to work to find the surface area of the dimensional shape.  So let’s look at the term “surface area.”  When you see the term surface area, what does that mean?  What are they asking for?  What are they looking for?  Yes, Student C?",teacher,80,12,,,0.0,الآن، الهدف اليوم، الجميع، هو مساحة السطح. كم منكم قد رأى هذا المصطلح من قبل؟ وجدنا مساحة الشكل، محيط الشكل، حجم الشكل. لذلك الآن نحن ذاهبون إلى العمل للعثور على مساحة السطح من الشكل الأبعاد. لذلك دعونا ننظر إلى مصطلح مساحة السطح.,الان، الهدف اليوم، الجميع، هو مساحه السطح. كم منكم قد راي هذا المصطلح من قبل؟ وجدنا مساحه الشكل، محيط الشكل، حجم الشكل. لذلك الان نحن ذاهبون الي العمل للعثور علي مساحه السطح من الشكل الابعاد. لذلك دعونا ننظر الي مصطلح مساحه السطح.,42,0.11904761904761904,True
[Inaudible] the surfaces of a cube.  We have to find the area of it.,student,14,2,,0.0,,يجب أن نجد مساحة مكعب,يجب ان نجد مساحه مكعب,5,0.4,True
Okay.  Student C said we have to look at the surfaces of a cube.  Does it always have to be a cube everyone?,teacher,23,2,1.0,,0.0,حسناً، الطالب (سي) قال أن علينا أن ننظر إلى أسطح الكوب هل يجب أن يكون الكوب دائماً؟,حسنا، الطالب (سي) قال ان علينا ان ننظر الي اسطح الكوب هل يجب ان يكون الكوب دائما؟,17,0.0,False
No.,multiple students,1,0,,,,-كلا .,-كلا .,1,0.0,False
"What else could it be, Student C?",teacher,7,0,,,1.0,ماذا يمكن أن يكون غير ذلك، الطالب سي؟,ماذا يمكن ان يكون غير ذلك، الطالب سي؟,8,0.0,False
A rectangle.,student,2,1,,,,مستطيل,مستطيل,1,1.0,True
[Inaudible] rectangle.,teacher,2,1,,,0.0,مستطيل,مستطيل,1,1.0,True
A rectangular prism.,student,3,2,,,,نظرية مستطيلة,نظريه مستطيله,2,0.0,False
"Oh, you saw not just a rectangle but a rectangular –",teacher,11,2,,,0.0,أوه، لم ترى مجرد مستطيل ولكن مستطيل ,اوه، لم تري مجرد مستطيل ولكن مستطيل,7,0.2857142857142857,True
Prism.,multiple students,1,1,,,,بريزما.,بريزما.,1,0.0,False
"Prism, right?",teacher,2,1,,,0.0,بريزم، أليس كذلك؟,بريزم، اليس كذلك؟,3,0.0,False
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
"Okay, Student C, repeat what you said again?",teacher,8,0,,,0.0,حسناً، الطالب (سي) ، تكرر ما قلته مرة أخرى؟,حسنا، الطالب (سي) ، تكرر ما قلته مره اخري؟,9,0.0,False
"We have to look for the surface of a rectangular prism, and the area.",student,14,3,,0.0,,علينا أن نبحث عن سطح نظرية مستطيلة، والمنطقة.,علينا ان نبحث عن سطح نظريه مستطيله، والمنطقه.,8,0.125,True
