text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Okay.  Math should be out.  Everything else, please put away. I need Student E, Student H over here.  Student B, on the floor.  You can have your math packets.  And I need Student J over here and Student O over here.  [Inaudible.] All right.    [Inaudible] no glasses.  Student D, I need you to completely turn around a little since you’re not used to sitting there like that, in that seat.  Okay. Let’s turn to page 53.  Today we’re going to work on seeing what happens, determine the effect.  See what happens to the product when a factor is doubled or it’s halved.  We’re going to talk some more about that like we did last week. And we’re going to develop more strategies for multiplying that involves breaking numbers [inaudible].  When we do that, of course we’re always going to be looking at demonstrating, explaining your strategies for when you’re multiplying or dividing.  Okay.  So math, page 53.  We have this problem on that page.  16 times 3 and 16 times 6. Let’s take a look at that one again.  That was which one on page 53 is that?",teacher,188,3,,,0.0,حسناً. الرياضيات يجب أن تكون خارجة. كل شيء آخر، من فضلك ضعها بعيداً. أريد الطالب E، الطالب H هنا. الطالب B، على الأرض. يمكنك الحصول على حزم الرياضيات الخاصة بك. وأريد الطالب J هنا و الطالب O هنا. [غير مسموعة.] حسناً. [غير مسموعة] بدون نظارات. الطالب D، أريد منك أن تتحول تماماً قليلاً بما أنك لم تكن معتادًا على الجلوس هكذا في هذا المقعد. حسناً. دعونا ننتقل إلى الصفحة 53. اليوم سنعمل على رؤية ما يحدث، تحديد التأثير. انظر ما يحدث للمنتج عندما يضاعف العامل أو يتم تقليمه إلى النصف. سوف نتحدث أكثر عن ذلك مثلما فعلنا الأسبوع الماضي. وسنبحث عن المزيد من الاستراتيجيات للضرب التي تنطوي على كسر الأرقام [غير مسموعة]. لذلك عندما نقوم بتطوير هذا بالطبع، سنبحث مرة أخرى عن مضاعفة، ونحن نمثل هذه الاستراتيجيات في الصفحة 53.,حسنا. الرياضيات يجب ان تكون خارجه. كل شيء اخر، من فضلك ضعها بعيدا. اريد الطالب E، الطالب H هنا. الطالب B، علي الارض. يمكنك الحصول علي حزم الرياضيات الخاصه بك. واريد الطالب J هنا و الطالب O هنا. [غير مسموعه.] حسنا. [غير مسموعه] بدون نظارات. الطالب D، اريد منك ان تتحول تماما قليلا بما انك لم تكن معتادا علي الجلوس هكذا في هذا المقعد. حسنا. دعونا ننتقل الي الصفحه 53. اليوم سنعمل علي رؤيه ما يحدث، تحديد التاثير. انظر ما يحدث للمنتج عندما يضاعف العامل او يتم تقليمه الي النصف. سوف نتحدث اكثر عن ذلك مثلما فعلنا الاسبوع الماضي. وسنبحث عن المزيد من الاستراتيجيات للضرب التي تنطوي علي كسر الارقام [غير مسموعه]. لذلك عندما نقوم بتطوير هذا بالطبع، سنبحث مره اخري عن مضاعفه، ونحن نمثل هذه الاستراتيجيات في الصفحه 53.,125,0.007692307692307693,True
C.,student,1,0,,,,(ج),(ج),1,0.0,False
C?  Okay.  How are they related to each other?  How are the problems related and how are the two answers related? Student M?,teacher,23,0,,,1.0,ك؟ حسنا. كيف ترتبط ببعضها البعض؟ كيف ترتبط المشاكل وكيف ترتبط الإجابات؟ الطالب M؟,ك؟ حسنا. كيف ترتبط ببعضها البعض؟ كيف ترتبط المشاكل وكيف ترتبط الاجابات؟ الطالب M؟,14,0.0,False
"Because 16 times 3 and 16 times 6, they both involve 16.",student,12,0,,1.0,,لأن 16 × 3 و 16 × 6 كل منهما يتضمن 16,لان 16 × 3 و 16 × 6 كل منهما يتضمن 16,5,0.0,False
"They both have one factor of 16.  Okay.  What else?  How else are they related, Student C?",teacher,17,0,1.0,,1.0,كلاهما لديه عامل واحد من 16، حسناً، ماذا أيضاً؟,كلاهما لديه عامل واحد من 16، حسنا، ماذا ايضا؟,9,0.1111111111111111,True
"Because 16 stays the same but your actually getting the answer to – if you look at the second one and if you know it, you can just like cut it in half and then you have the answer for the first one.",student,43,0,,1.0,,لأن 16 يبقى نفسه ولكنك تحصل في الواقع على الإجابة على  إذا نظرت إلى الثانية وإذا كنت تعرف ذلك، يمكنك فقط مثل قطعها إلى النصف ثم لديك الإجابة على الأول.,لان 16 يبقي نفسه ولكنك تحصل في الواقع علي الاجابه علي اذا نظرت الي الثانيه واذا كنت تعرف ذلك، يمكنك فقط مثل قطعها الي النصف ثم لديك الاجابه علي الاول.,29,0.0,False
"Okay.  So looking at the second problem, the equation, if you know that, you cut it in half – why can you do that?  So you’re looking at the answer here, is half of the answer to the second one?",teacher,40,1,1.0,,1.0,حسناً، إذاً بالنظر إلى المشكلة الثانية، المعادلة، إذا كنت تعرف ذلك، يمكنك قطعها إلى النصف  لماذا يمكنك القيام بذلك؟,حسنا، اذا بالنظر الي المشكله الثانيه، المعادله، اذا كنت تعرف ذلك، يمكنك قطعها الي النصف لماذا يمكنك القيام بذلك؟,19,0.0,False
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
How come?,teacher,2,0,,,0.0,كيف حدث ذلك؟,كيف حدث ذلك؟,3,0.0,False
"Because 3 is half of 6, and then 16 is just like 16.",student,13,0,,1.0,,لأن 3 هو نصف 6، ثم 16 هو مثل 16.,لان 3 هو نصف 6، ثم 16 هو مثل 16.,7,0.1,True
