text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"It’s time for math.  So today we’re going to be adding fractions, and I want you to take a look at these two fractions on the overhead:  one-half plus one-sixth.  And take a minute and talk about with your teams.  What would be the sum of these two fractions?  The total.  When you’re adding these two fractions, what is the sum of these two fractions?  Take a minute. All right.  I hear you using percents.  That’s excellent.  Okay.  So taking a look at one-half plus one-sixth, what is the sum of these two fractions, Student A?",teacher,96,11,,,0.0,حان وقت الرياضيات. لذلك اليوم سنقوم بإضافة الكسور، وأريدكم أن تنظروا إلى هذين الكسورين على التكلفة العامة: نصف زائد واحد السادس. واخذوا دقيقة وتحدثوا مع فرقكم عن. ما هو مجموع هذين الكسورين؟,حان وقت الرياضيات. لذلك اليوم سنقوم باضافه الكسور، واريدكم ان تنظروا الي هذين الكسورين علي التكلفه العامه: نصف زائد واحد السادس. واخذوا دقيقه وتحدثوا مع فرقكم عن. ما هو مجموع هذين الكسورين؟,32,0.09375,True
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False
What is it?,teacher,3,0,,,0.0,-ما الأمر؟,-ما الامر؟,2,0.0,False
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False
56?  The sum of the fraction.  Four-sixths?  Any other answers? Student J?,teacher,12,2,,,1.0,56؟ مجموع الجزء. أربعة سادس؟ أي إجابات أخرى؟ الطالب J؟,56؟ مجموع الجزء. اربعه سادس؟ اي اجابات اخري؟ الطالب J؟,10,0.2,True
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False
One-half plus one-sixth equals –,teacher,5,0,,,0.0,نصف زائد واحد السادس يساوي ,نصف زائد واحد السادس يساوي,5,0.6,True
Two-sixths.,student,1,0,,,,اثنين من السادسة.,اثنين من السادسه.,3,0.0,False
Two-sixths?  Anything else?  Student J?,teacher,5,0,,,1.0,إثنان من السادس، أي شيء آخر؟,اثنان من السادس، اي شيء اخر؟,6,0.16666666666666666,True
[Inaudible.],student,1,0,,,,[غير مسموع.],[غير مسموع.],2,0.0,False
"One-half plus one-sixth equals two-thirds.  Now, what I want you to do, using the same to determine which one is correct, I want you to take a look at the four by six rectangular grids, and using these rectangular grids – I want you to almost think of this as like a pan of brownies or a cake, a birthday cake.  And thinking about what one half is and then adding one-sixth. Because before, you didn’t have this representation.  Now, taking a look – and you’re really just looking at one of these.  How would I go about showing one-half plus one-sixth on here?  Take a minute and talk about it with your teams. So this is how you’re going to actually prove it, Student K.  So you’re saying one-half, go down the middle?  About five seconds left, please.  Five seconds left. I’m getting videotaped right now.  That’s okay.  Thank you.  Okay. So, taking a look at one-half plus one-sixth, who’d like to come up and show us, using our four by six.  Student M, come on up.  And I want you to talk yourself through it. Talk us through it. Talk about what one-half is and when you’re adding one-sixth.",teacher,201,2,,,1.0,نصف زائد واحد سادس يساوي ثلثين. الآن، ما أريده منك أن تفعل، باستخدام نفسها لتحديد أي واحد هو الصحيح، أريد منك أن تأخذ نظرة على أربعة على ستة شبكات مستطيلة، واستخدام هذه الشبكات مستطيلة  أريد منك أن تفكر في هذا تقريبا مثل وعاء من الكعك أو كعكة عيد ميلاد. وفكر في ما هو نصف واحد ثم إضافة واحد سادس. لأن قبل ذلك، لم يكن لديك هذا التمثيل. الآن، لو نظرت  ونحن فقط ننظر إلى واحدة من هذه. كيف يمكنني أن أظهر نصف زائد واحد سادس هنا؟ خذ دقيقة وتحدث عن ذلك مع فرقك.,نصف زائد واحد سادس يساوي ثلثين. الان، ما اريده منك ان تفعل، باستخدام نفسها لتحديد اي واحد هو الصحيح، اريد منك ان تاخذ نظره علي اربعه علي سته شبكات مستطيله، واستخدام هذه الشبكات مستطيله اريد منك ان تفكر في هذا تقريبا مثل وعاء من الكعك او كعكه عيد ميلاد. وفكر في ما هو نصف واحد ثم اضافه واحد سادس. لان قبل ذلك، لم يكن لديك هذا التمثيل. الان، لو نظرت ونحن فقط ننظر الي واحده من هذه. كيف يمكنني ان اظهر نصف زائد واحد سادس هنا؟ خذ دقيقه وتحدث عن ذلك مع فرقك.,93,0.0967741935483871,True
[Inaudible] so a half of 6 equals [inaudible].,student,8,0,,0.0,,[غير مسموع] لذلك نصف من 6 يساوي [غير مسموع].,[غير مسموع] لذلك نصف من 6 يساوي [غير مسموع].,8,0.2222222222222222,True
Three columns?,teacher,2,0,0.0,,0.0,ثلاثة أعمدة؟,ثلاثه اعمده؟,2,0.5,True
Yeah.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
Okay.  So what is that representing?,teacher,6,0,,,1.0,حسناً، ما الذي يمثل هذا؟,حسنا، ما الذي يمثل هذا؟,5,0.0,False
A half.,student,2,0,,,,نصف.,نصف.,1,0.0,False
"So that’s one half.  Can you just write one-half, either under it or above it, so we can see what you’re talking about? Okay.",teacher,24,0,,,0.0,إذاً هذا نصف، هل يمكنك كتابة نصف، إما تحتها أو فوقها، حتى نرى ما الذي تتحدث عنه؟,اذا هذا نصف، هل يمكنك كتابه نصف، اما تحتها او فوقها، حتي نري ما الذي تتحدث عنه؟,17,0.0,False
"And then, there is one-sixth, so you do another column and there are two left, two-sixths left.",student,17,0,,1.0,,ومن ثم، هناك واحد السادس، لذلك تفعل عمود آخر وهناك اثنين اليسار، اثنين السادس المتبقية.,ومن ثم، هناك واحد السادس، لذلك تفعل عمود اخر وهناك اثنين اليسار، اثنين السادس المتبقيه.,15,0.0,False
Okay.  So what is one-half plus one-sixth?,teacher,7,0,1.0,,0.0,حسناً، ما هو النصف زائد السادس؟,حسنا، ما هو النصف زائد السادس؟,6,0.16666666666666666,True
Four-sixths.,student,1,0,,,,أربعة ستة.,اربعه سته.,2,0.5,True
"Four-sixths.  Excellent.  So is there anyone who did it differently?  Excellent.  You can go back.  So what’s going to happen in the next couple of weeks, we’re going to be adding fractions.  And we’re going to be adding fractions, not with the same denominator but different denominators. I want you to take a look at this large clock face. Imagine that the minute hand is not going to move.  Here is the minute hand.  It will not move.  If you look at our large clock face over there – unfortunately, it doesn’t work, so I want you to think about our clock that we’re going to use today.  So the minute hand is not moving; it’s broken.  The hour hand actually moves around.  How many parts are there to this clock, to make it a whole?  How many parts are there to this clock to actually make it a whole?",teacher,150,6,,,1.0,أربعة ستة. ممتازة. إذاً هل هناك أي شخص فعل ذلك بشكل مختلف؟ ممتازة. يمكنك العودة. إذاً ما سيحدث في الأسابيع القليلة المقبلة، سنقوم بإضافة الكسور. ونحن سنقوم بإضافة الكسور، ليس بنفس المسمي ولكن بمسمي مختلفين. أريدكم أن تنظروا إلى وجه الساعة الكبير. تخيلوا أن يد الدقيقة لن تتحرك. هنا يد الدقيقة. لن تتحرك. إذا نظرتم إلى وجه الساعة الكبير هناك  لسوء الحظ، فإنه لا يعمل، لذلك أريدكم أن تفكروا في ساعةنا التي سنستخدمها اليوم.,اربعه سته. ممتازه. اذا هل هناك اي شخص فعل ذلك بشكل مختلف؟ ممتازه. يمكنك العوده. اذا ما سيحدث في الاسابيع القليله المقبله، سنقوم باضافه الكسور. ونحن سنقوم باضافه الكسور، ليس بنفس المسمي ولكن بمسمي مختلفين. اريدكم ان تنظروا الي وجه الساعه الكبير. تخيلوا ان يد الدقيقه لن تتحرك. هنا يد الدقيقه. لن تتحرك. اذا نظرتم الي وجه الساعه الكبير هناك لسوء الحظ، فانه لا يعمل، لذلك اريدكم ان تفكروا في ساعهنا التي سنستخدمها اليوم.,74,0.04054054054054054,True
Twelve?,student,1,0,,,,اثني عشر؟,اثني عشر؟,2,0.0,False
