text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Okay, so here’s the fraction track that we started with yesterday.  And some of you got started.  Can somebody explain how they knew either how to fill in blank dots or where to add dots.  Student F?",teacher,37,2,,,1.0,حسناً، وهنا مسار الجزء الذي بدأنا به بالأمس. وبعضكم بدأ. هل يمكن لأحد أن يشرح كيف عرف إما كيف يملأ النقاط الفارغة أو أين يضيف النقاط. الطالب F؟,حسنا، وهنا مسار الجزء الذي بدانا به بالامس. وبعضكم بدا. هل يمكن لاحد ان يشرح كيف عرف اما كيف يملا النقاط الفارغه او اين يضيف النقاط. الطالب F؟,28,0.0,False
Because if those – if it was in the fourth thing you only knew – you already knew that there [inaudible] 50 and 75 [inaudible] and 100 [Indiscernible] single one of them so we didn’t have to guess that.,student,39,0,,1.0,,لأنه إذا كانت تلك  إذا كانت في الشيء الرابع كنت تعرف فقط  كنت تعرف بالفعل أن هناك [غير سمع] 50 و 75 [غير سمع] و 100 [غير قابل للتمييز] واحد منهم لذلك لم يكن علينا تخمين ذلك.,لانه اذا كانت تلك اذا كانت في الشيء الرابع كنت تعرف فقط كنت تعرف بالفعل ان هناك [غير سمع] 50 و 75 [غير سمع] و 100 [غير قابل للتمييز] واحد منهم لذلك لم يكن علينا تخمين ذلك.,34,0.0,False
"You’re right.  So these are all marked as one whole, which we’re also going to change into fractions as we go.  So, it sounds like you looked at the one out of fourths first.  Is that what you had said?  This one? So you knew what about fourths?",teacher,48,2,0.0,,0.0,أنت على حق. لذلك كل هذه علامة ككل واحد، والتي سوف نقوم أيضا تغييرها إلى كسور بينما نحن نذهب. لذلك، يبدو وكأنك نظرت إلى واحد من أرباع أولا. هل هذا ما قلت؟ هذا واحد؟,انت علي حق. لذلك كل هذه علامه ككل واحد، والتي سوف نقوم ايضا تغييرها الي كسور بينما نحن نذهب. لذلك، يبدو وكانك نظرت الي واحد من ارباع اولا. هل هذا ما قلت؟ هذا واحد؟,34,0.029411764705882353,True
"That there was only four and there were only 25, 75 – I mean 25, 50, and 75 and 100 [inaudible] so you have to guess that one.",student,28,0,,0.0,,أنه كان هناك أربعة فقط و كان هناك فقط 25، 75  أعني 25، 50، و 75 و 100 [غير مسموع] لذلك يجب أن تخمن ذلك واحد.,انه كان هناك اربعه فقط و كان هناك فقط 25، 75 اعني 25، 50، و 75 و 100 [غير مسموع] لذلك يجب ان تخمن ذلك واحد.,23,0.038461538461538464,True
"Okay, so it sounds like you took the fractions and you changed them to what?",teacher,15,1,0.0,,0.0,حسناً، يبدو أنك أخذت الكسور وتغيرتها إلى ماذا؟,حسنا، يبدو انك اخذت الكسور وتغيرتها الي ماذا؟,8,0.0,False
"Twenty five, fifty –",student,4,0,,,,خمسة وعشرون، خمسين ,خمسه وعشرون، خمسين,3,0.3333333333333333,True
I don’t know what that means.  Can you explain that a little bit further?  Where did you get 25 from?,teacher,20,0,,,1.0,لا أعرف ما يعنيه هذا هل يمكنك تفسير ذلك بقليل؟ من أين حصلت على 25؟,لا اعرف ما يعنيه هذا هل يمكنك تفسير ذلك بقليل؟ من اين حصلت علي 25؟,15,0.0,False
Is it recording or no?,student,5,0,,,,هل هو تسجيل أم لا؟,هل هو تسجيل ام لا؟,5,0.0,False
Uh-huh.,teacher,1,0,0.0,,0.0,اه-ها.,اه-ها.,2,0.0,False
Oh.,student,1,0,,,,-أوه .,-اوه .,1,0.0,False
"It’s fine.  Don’t worry about the camera.  It’s just like a normal math day.  So, I liked what you said.  You know that it has 25, 50, and 75.  I’m just wondering where those numbers came from.",teacher,37,0,,,0.0,لا بأس، لا تقلق بشأن الكاميرا. إنها مثل يوم رياضي عادي. لذلك، أحببت ما قلته. أنت تعرف أنه يحتوي على 25، 50، و 75. أنا فقط أتساءل من أين تأتي تلك الأرقام.,لا باس، لا تقلق بشان الكاميرا. انها مثل يوم رياضي عادي. لذلك، احببت ما قلته. انت تعرف انه يحتوي علي 25، 50، و 75. انا فقط اتساءل من اين تاتي تلك الارقام.,31,0.0,False
Twenty five [inaudible] I know where the [middle] –,student,9,0,,0.0,,خمسة وعشرون [غير مسموع] أنا أعرف أين [الوسط] ,خمسه وعشرون [غير مسموع] انا اعرف اين [الوسط],8,0.125,True
But I wrote ¼.  I didn’t write 25.  So where are you getting 25 from?,teacher,15,0,1.0,,1.0,لكنّي كتبتُ 1⁄4. لم أكتب 25، إذاً من أين حصلتُ على 25؟,لكني كتبت 1⁄4. لم اكتب 25، اذا من اين حصلت علي 25؟,11,0.0,False
I know that one-fourth is 25.  I know that two-fourth is 50. And I know that three-fourth is 75.,student,19,0,,0.0,,أنا أعرف أن ربع واحد هو 25 أنا أعرف أن ربع اثنين هو 50 وأنا أعرف أن ربع ثلاثة هو 75.,انا اعرف ان ربع واحد هو 25 انا اعرف ان ربع اثنين هو 50 وانا اعرف ان ربع ثلاثه هو 75.,18,0.19047619047619047,True
Okay.,teacher,1,0,0.0,,0.0,-حسناً,-حسنا,1,0.0,False
