text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Good morning, everyone.",teacher,3,0,,,0.0,صباح الخير، الجميع.,صباح الخير، الجميع.,3,0.0,False
"Good morning, Mr. G.",student,4,0,,,,صباح الخير، سيد جي.,صباح الخير، سيد جي.,4,0.0,False
"Remember, I want a few people, excuse me, a few people, a few assistants, and I know I have Student R.  Yes, good job. Yes.  Now, yesterday morning we were – let me wait for Student R – Student R, yes. Student R.  Nice.  And we don’t have Student N’s attention.  That’s good, very good, Student N.  And Student R.  And Student R. And Student K, you don’t need that Student K.  Student K, you don’t need that.  Student K, I need your attention. Yes, Student M?",teacher,87,0,,,0.0,تذكر، أريد بعض الأشخاص، عذراً لي، بعض الأشخاص، بعض المساعدين، وأعرف أن لدي طالب ر. نعم، عمل جيد. نعم. نعم. الآن، صباح أمس، دعوني أنتظر طالب ر  طالب ر، نعم. طالب ر. لطيف. ونحن لا نملك اهتمام الطالب. هذا جيد، جيد جداً، الطالب ن. و الطالب ر. و الطالب ر. و الطالب ك، أنت لا تحتاج إلى ذلك الطالب ك. الطالب ك، أنت لا تحتاج إلى ذلك. الطالب ك، أنا بحاجة إلى اهتمامك. نعم، الطالب م؟,تذكر، اريد بعض الاشخاص، عذرا لي، بعض الاشخاص، بعض المساعدين، واعرف ان لدي طالب ر. نعم، عمل جيد. نعم. نعم. الان، صباح امس، دعوني انتظر طالب ر طالب ر، نعم. طالب ر. لطيف. ونحن لا نملك اهتمام الطالب. هذا جيد، جيد جدا، الطالب ن. و الطالب ر. و الطالب ر. و الطالب ك، انت لا تحتاج الي ذلك الطالب ك. الطالب ك، انت لا تحتاج الي ذلك. الطالب ك، انا بحاجه الي اهتمامك. نعم، الطالب م؟,76,0.0,False
I need to get something from [inaudible].,student,7,0,,,,أنا بحاجة للحصول على شيء من [غير مسموع].,انا بحاجه للحصول علي شيء من [غير مسموع].,8,0.0,False
"Now listen, remember we were building our tower, and we did quite, quite a bit with that multiple tower, building it up.  And we have a few people that did it here, we have a few people that did it.  The other people did it over there, and we have it out there. And now we’re going to do a little bit extra, extra math.  And you should be able to do – after you build your tower, Student K, after you build your tower, you should be able to write and predict.  So after you predict, you write the multiplication.  You write the multiple.  You write the multiple of 10.",teacher,111,4,0.0,,0.0,الآن اسمع، تذكر أننا كنا نبني برجنا، ونحن فعلنا القليل جدا مع هذا البرج المتعدد، بناؤه. ونحن لدينا عدد قليل من الناس الذين فعلوا ذلك هنا، لدينا عدد قليل من الناس الذين فعلوا ذلك. الناس الآخرين فعلوا ذلك هناك، ونحن لدينا ذلك هناك. والآن سوف نقوم بفعل قليلا إضافية، الرياضيات الإضافية. ويجب أن تكون قادرة على القيام ب بعد أن تبني برجك، الطالب K، بعد أن تبني برجك، يجب أن تكون قادرة على كتابة وتنبؤ.,الان اسمع، تذكر اننا كنا نبني برجنا، ونحن فعلنا القليل جدا مع هذا البرج المتعدد، بناؤه. ونحن لدينا عدد قليل من الناس الذين فعلوا ذلك هنا، لدينا عدد قليل من الناس الذين فعلوا ذلك. الناس الاخرين فعلوا ذلك هناك، ونحن لدينا ذلك هناك. والان سوف نقوم بفعل قليلا اضافيه، الرياضيات الاضافيه. ويجب ان تكون قادره علي القيام ب بعد ان تبني برجك، الطالب K، بعد ان تبني برجك، يجب ان تكون قادره علي كتابه وتنبؤ.,75,0.0,False
Then you write the equation.,student,5,1,,,,ثم تكتب المعادلة.,ثم تكتب المعادله.,3,0.0,False
"Okay, then you write the equation.  With the prior knowledge that we built the tower in, remember the 10 multiple, the 5th multiple, and different stage of the multiple.  So two building, building, build two-digit multiple tower.  Now we’re moving on from the single multiple tower, like we did 3…",teacher,50,7,1.0,,0.0,حسنا، ثم تكتب المعادلة. مع المعرفة السابقة التي بنيت البرج في، تذكر العشرة المتعددة، والعشرة المتعددة، والمرحلة المختلفة من المتعددة. لذلك بناء اثنين، بناء، بناء برج متعدد الأرقام. الآن نحن نتحرك من البرج المتعدد واحد، كما فعلنا 3...,حسنا، ثم تكتب المعادله. مع المعرفه السابقه التي بنيت البرج في، تذكر العشره المتعدده، والعشره المتعدده، والمرحله المختلفه من المتعدده. لذلك بناء اثنين، بناء، بناء برج متعدد الارقام. الان نحن نتحرك من البرج المتعدد واحد، كما فعلنا 3...,37,0.0,False
4.,student,1,0,,,,4 .,4 .,0,0.0,False
We count by…,teacher,3,0,,,0.0,نحن نحسب من خلال...,نحن نحسب من خلال...,4,0.0,False
We did 60.,student,3,0,,,,لقد فعلنا 60,لقد فعلنا 60,2,0.0,False
