text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Okay.  So you have the paper out that we started yesterday. This is math.  It looks like this.  Can you turn to page 3; it starts with 7A.  Can someone read 7A for me, please? Student K, can you read 7A?",teacher,41,0,,,0.0,حسناً، لديكم الورقة التي بدأنا بها بالأمس. هذه هي الرياضيات. تبدو هكذا. هل يمكنك الانتقال إلى الصفحة الثالثة؟ تبدأ بـ 7A. هل يمكن لأحد أن يقرأ 7A لي، من فضلك؟,حسنا، لديكم الورقه التي بدانا بها بالامس. هذه هي الرياضيات. تبدو هكذا. هل يمكنك الانتقال الي الصفحه الثالثه؟ تبدا ب 7A. هل يمكن لاحد ان يقرا 7A لي، من فضلك؟,28,0.0,False
Fourth grade planted a school garden.  Fourth graders planted 37 rows of sunflowers.  They planted 8 sunflowers in each row.  How many sunflowers did they plant?,student,26,0,,0.0,,في الصف الرابع زرعوا حديقة مدرسة. طلاب الصف الرابع زرعوا 37 صف من زهور الشمس. زرعوا 8 زهور الشمس في كل صف. كم عدد زهور الشمس زرعوا؟,في الصف الرابع زرعوا حديقه مدرسه. طلاب الصف الرابع زرعوا 37 صف من زهور الشمس. زرعوا 8 زهور الشمس في كل صف. كم عدد زهور الشمس زرعوا؟,25,0.0,False
"All right.  What operation are we looking for here?  We’ve talked about addition, subtraction, multiplication, and division.  Student M, can you open up to where it says 7A, please?  Student T, what operation are we talking about here?  What do we need to use to solve 7A?  Okay.  We need to use division.  So the fourth graders planted 37 rows of sunflowers, so what’s the division problem going to be, Student T?",teacher,72,6,1.0,,0.0,حسناً. ما العملية التي نبحث عنها هنا؟ لقد تحدثنا عن الجمع والسحب والضرب والانقسام. الطالب M، هل يمكن أن تفتح إلى حيث يقول 7A، من فضلك؟ الطالب T، ما العملية التي نتحدث عنها هنا؟ ما الذي نحتاج إلى استخدامه لحل 7A؟ حسناً. نحتاج إلى استخدام الانقسام.,حسنا. ما العمليه التي نبحث عنها هنا؟ لقد تحدثنا عن الجمع والسحب والضرب والانقسام. الطالب M، هل يمكن ان تفتح الي حيث يقول 7A، من فضلك؟ الطالب T، ما العمليه التي نتحدث عنها هنا؟ ما الذي نحتاج الي استخدامه لحل 7A؟ حسنا. نحتاج الي استخدام الانقسام.,46,0.0,False
37 divided by 8.,student,4,1,,,,37 مقسمة على 8.,37 مقسمه علي 8.,2,0.0,False
"Okay.  So this is, row number 1 are sunflowers, right?  So Student T, you were saying 37 divided by 8.  This is row number 1.  How many sunflowers are in that row?  Student T, go ahead.",teacher,36,1,,,0.0,حسناً، هذه صف رقم 1 هي زهور الشمس، صحيح؟ إذاً الطالب T، كنت تقول 37 مقسماً بـ 8، هذه صف رقم 1. كم عدد زهور الشمس في تلك الصف؟ الطالب T، هيّا.,حسنا، هذه صف رقم 1 هي زهور الشمس، صحيح؟ اذا الطالب T، كنت تقول 37 مقسما ب 8، هذه صف رقم 1. كم عدد زهور الشمس في تلك الصف؟ الطالب T، هيا.,29,0.0,False
8.,student,1,0,,,,8,8,0,0.0,False
"Eight sunflowers in that row.  This is row number 2.  How many sunflowers in that row, Student K?",teacher,18,0,,,0.0,ثمانية أزهار شمسية في ذلك الصف هذا الصف رقم 2 كم عدد أزهار شمسية في ذلك الصف، الطالب ك؟,ثمانيه ازهار شمسيه في ذلك الصف هذا الصف رقم 2 كم عدد ازهار شمسيه في ذلك الصف، الطالب ك؟,18,0.05263157894736842,True
8.,student,1,0,,,,8,8,0,0.0,False
"8.  This is row number 3, Student S?",teacher,8,0,,,0.0,هذا الصف رقم 3، الطالب S؟,هذا الصف رقم 3، الطالب S؟,6,0.0,False
8.,student,1,0,,,,8,8,0,0.0,False
