text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
"Hi.  Good morning, class.  Today we're gonna work with multiples of tens and multiplying multiples of tens.  And I need someone to read the objectives that are in purple and red up on the board.  Can I have a volunteer, please?  It can be someone in front of the camera.  It can also be someone behind the camera.  If you're not on the camera, that's okay.  Still willing to listen to your voice. Student G, would you like to read what's up in purple?",teacher,84,3,,,1.0,مرحباً، صباح الخير، الصف. اليوم سنعمل مع مضاعفات العشرات و مضاعفات العشرات. وأحتاج إلى شخص ما يقرأ الأهداف التي هي في اللون الأرجواني والأحمر على اللوحة. هل يمكن أن يكون متطوعاً، من فضلك؟ يمكن أن يكون شخص ما أمام الكاميرا. يمكن أن يكون شخص ما وراء الكاميرا. إذا لم تكن على الكاميرا، لا بأس. لا يزال على استعداد للاستماع إلى صوتك. طالب G، هل ترغب في قراءة ما هو في اللون الأرجواني؟,مرحبا، صباح الخير، الصف. اليوم سنعمل مع مضاعفات العشرات و مضاعفات العشرات. واحتاج الي شخص ما يقرا الاهداف التي هي في اللون الارجواني والاحمر علي اللوحه. هل يمكن ان يكون متطوعا، من فضلك؟ يمكن ان يكون شخص ما امام الكاميرا. يمكن ان يكون شخص ما وراء الكاميرا. اذا لم تكن علي الكاميرا، لا باس. لا يزال علي استعداد للاستماع الي صوتك. طالب G، هل ترغب في قراءه ما هو في اللون الارجواني؟,72,0.0,False
I will notice all [Inaudible] –,student,6,0,,,,سألاحظ كل شيء,سالاحظ كل شيء,3,0.0,False
And?,teacher,1,0,0.0,,1.0,-وماذا؟,-وماذا؟,1,0.0,False
And understand what happens when I multiply –,student,8,1,,0.0,,وفهم ما يحدث عندما اضرب ,وفهم ما يحدث عندما اضرب,5,0.0,False
Multiply.,teacher,1,1,1.0,,0.0,مضاعفة,مضاعفه,1,0.0,False
Multiply a number by multiples –,student,6,2,,,,مضاعفة عدد بمضاعفة ,مضاعفه عدد بمضاعفه,3,0.0,False
Multiples of?,teacher,2,1,1.0,,0.0,مضاعفات من؟,مضاعفات من؟,2,0.0,False
Of ten.,student,2,0,,,,من عشرة.,من عشره.,2,0.0,False
"So I will notice and understand what happens when I multiply a number times 20.  That same number times 30.  Student R, could you read the language objective, please?",teacher,29,1,,,0.0,لذا سألاحظ وأفهم ما يحدث عندما مضاعفة عدد × 20 نفس الرقم × 30 الطالب R، هل يمكنك قراءة الهدف اللغوي، من فضلك؟,لذا سالاحظ وافهم ما يحدث عندما مضاعفه عدد × 20 نفس الرقم × 30 الطالب R، هل يمكنك قراءه الهدف اللغوي، من فضلك؟,19,0.0,False
"I will write down the multiples of a two-digit number and will tell, write, or experience how I got my answers.",student,21,2,,0.0,,سأكتب مضاعفات الرقم ذو رقمين وأخبرك، أكتبك، أو تجرب كيف حصلت على إجاباتي.,ساكتب مضاعفات الرقم ذو رقمين واخبرك، اكتبك، او تجرب كيف حصلت علي اجاباتي.,13,0.0,False
"So you're gonna work with some two-digit numbers that are multiples of 10.  All right?  Now we need to go through our math to-do lists.  And this is what we're gonna do in order.  Student J, what's our first step?",teacher,40,2,1.0,,0.0,لذا سوف تعمل مع بعض الأرقام ذات الأرقام الثنائية الأرقام التي هي مضاعفات من 10، حسناً؟ الآن نحتاج إلى الذهاب من خلال قوائم الرياضيات التي يجب القيام بها، وهذا ما سنفعله بالترتيب. الطالب J، ما هي خطوتنا الأولى؟,لذا سوف تعمل مع بعض الارقام ذات الارقام الثنائيه الارقام التي هي مضاعفات من 10، حسنا؟ الان نحتاج الي الذهاب من خلال قوائم الرياضيات التي يجب القيام بها، وهذا ما سنفعله بالترتيب. الطالب J، ما هي خطوتنا الاولي؟,38,0.0,False
Solve the questions on page 41.  Draw a representation of your solution on paper then you write the word problem [under it].,student,22,1,,0.0,,حل الأسئلة على الصفحة 41 رسم تمثيل الحل الخاص بك على الورق ثم تكتب كلمة مشكلة [تحتها].,حل الاسئله علي الصفحه 41 رسم تمثيل الحل الخاص بك علي الورق ثم تكتب كلمه مشكله [تحتها].,16,0.058823529411764705,True
You're gonna work with a partner to solve the word problems on showing your solution and then write the word problem underneath it.  Step three.,teacher,25,1,1.0,,0.0,ستعملين مع شريك لحل مشاكل الكلمة على عرض حلك ثم اكتبين مشكلة الكلمة تحتها,ستعملين مع شريك لحل مشاكل الكلمه علي عرض حلك ثم اكتبين مشكله الكلمه تحتها,14,0.07142857142857142,True
"Work on the problems on pages 42 and 43 using grid paper, [Inaudible], and the multiplication [chart].",student,17,1,,0.0,,أعمل على المشاكل الموجودة على الصفحات 42 و 43 باستخدام ورقة الشبكة، [Inaudible]، والعدد [ الرسم البياني].,اعمل علي المشاكل الموجوده علي الصفحات 42 و 43 باستخدام ورقه الشبكه، [Inaudible]، والعدد [ الرسم البياني].,14,0.0,False
So what you're gonna do is when you're done with page 42 and 43 you're gonna be – show how you can prove your answer and then the last five – hopefully the last five minutes of class or so we will fill in that chart using what we've learned in class today.  It's recording right now.  Student G?,teacher,59,0,1.0,,0.0,لذا ما ستفعله هو عندما تنتهي من الصفحات 42 و 43 ستظهر كيف يمكنك إثبات إجابتك ثم الخمسة الأخيرة على أمل أن تكون الخمس دقائق الأخيرة من الفصل أو حتى سنملأ هذا الرسم البياني باستخدام ما تعلمناه في الفصل اليوم,لذا ما ستفعله هو عندما تنتهي من الصفحات 42 و 43 ستظهر كيف يمكنك اثبات اجابتك ثم الخمسه الاخيره علي امل ان تكون الخمس دقائق الاخيره من الفصل او حتي سنملا هذا الرسم البياني باستخدام ما تعلمناه في الفصل اليوم,38,0.025,True
What unit are we supposed to be doing?,student,8,1,,0.0,,أي وحدة من المفترض أن نقوم بها؟,اي وحده من المفترض ان نقوم بها؟,7,0.14285714285714285,True
We're – this is – this is always unit three.  We're gonna be working unit three for probably the next week and a half. Student R?,teacher,26,2,1.0,,0.0,نحن دائماً في الوحدة الثالثة سنعمل في الوحدة الثالثة لمدة أسبوع ونصف,نحن دائما في الوحده الثالثه سنعمل في الوحده الثالثه لمده اسبوع ونصف,12,0.08333333333333333,True
"So it's unit three, right?",student,5,1,,,,إذاً، إنها الوحدة الثالثة، صحيح؟,اذا، انها الوحده الثالثه، صحيح؟,5,0.0,False
"Unit three, page 41.  You may work in partners.  Why don't you work with someone who's already sitting at your table to make it easy?",teacher,25,1,1.0,,1.0,الوحدة الثالثة، الصفحة 41، ربما تعملين كشركاء، لمَ لا تعملين مع شخصٍ يجلس بالفعل عند طاولتك لتسهيل الأمر؟,الوحده الثالثه، الصفحه 41، ربما تعملين كشركاء، لم لا تعملين مع شخص يجلس بالفعل عند طاولتك لتسهيل الامر؟,18,0.0,False
"Mr. A., can I use the bathroom?",student,7,0,,,,سيّد (إي) ، هل يمكنني استخدام الحمام؟,سيد (اي) ، هل يمكنني استخدام الحمام؟,7,0.0,False
"[Inaudible] So Student S, this is the question that you're gonna work on.  Miss S sells bags of oranges in a grocery store. There's four oranges in each bag.  David bought six bags of oranges to his class, so how many did David buy? Nope.  Put those back.  You're gonna draw these.",teacher,52,0,0.0,,0.0,إذاً الطالب (س) ، هذا هو السؤال الذي ستعمل عليه الآنسة (س) تبيع حقائب من البرتقال في متجر البقالة، هناك أربعة البرتقال في كل حقيبة.,اذا الطالب (س) ، هذا هو السؤال الذي ستعمل عليه الانسه (س) تبيع حقائب من البرتقال في متجر البقاله، هناك اربعه البرتقال في كل حقيبه.,25,0.04,True
It would be four of six.,student,6,0,,,,سيكون أربعة من ستة.,سيكون اربعه من سته.,4,0.25,True
"Shh.  The instructions said that you're gonna draw how you solve it.  We're not using – we're not using those yet. Student S, go ahead and place them in the bins so they don't break up.  Thank you.  [Inaudible]  Go ahead and throw out the [gum] all right?  Sit down.  Student S, sit down.",teacher,54,0,0.0,,0.0,التوجيهات تقول أنك سوف ترسم كيفية حلها. نحن لا نستخدم  نحن لا نستخدم هذه حتى الآن. الطالب S، اذهب ووضعها في القمامة حتى لا تتحطم. شكرا لك. [لا يمكن سماع] اذهب ورمي [العلكة] حسنا؟ اجلس. الطالب S، اجلس.,التوجيهات تقول انك سوف ترسم كيفيه حلها. نحن لا نستخدم نحن لا نستخدم هذه حتي الان. الطالب S، اذهب ووضعها في القمامه حتي لا تتحطم. شكرا لك. [لا يمكن سماع] اذهب ورمي [العلكه] حسنا؟ اجلس. الطالب S، اجلس.,38,0.0,False
Only he doesn't want me to sit down.,student,8,0,,0.0,,فقط أنه لا يريدني أن أجلس,فقط انه لا يريدني ان اجلس,6,0.0,False
No.  You just sit there.,teacher,5,0,1.0,,0.0,لا، فقط اجلس هناك,لا، فقط اجلس هناك,4,0.0,False
Why does she get [out there]?,student,6,0,,,,لماذا تخرج؟,لماذا تخرج؟,2,0.0,False
There are five there.,teacher,4,0,0.0,,0.0,هناك خمسة هناك.,هناك خمسه هناك.,3,0.3333333333333333,True
Miss S sells bags of oranges in a grocery store.  There are 12 oranges in each bag.  David brought six bags of oranges to bring to his class.  How many oranges did David buy?,student,34,0,,0.0,,الآنسة س تبيع حقائب من البرتقال في متجر البقالة هناك 12 برتقال في كل حقيبة ديفيد جلب ست حقائب من البرتقال لجلبها إلى صفيه كم عدد البرتقال اشترى ديفيد,الانسه س تبيع حقائب من البرتقال في متجر البقاله هناك 12 برتقال في كل حقيبه ديفيد جلب ست حقائب من البرتقال لجلبها الي صفيه كم عدد البرتقال اشتري ديفيد,28,0.0,False
So how could you draw a picture showing how you figured it out? Or could you draw a picture that represents it that would help you solve it?,teacher,28,0,0.0,,1.0,إذاً كيف يمكنك رسم صورة تشير إلى كيفية اكتشافها؟ أو يمكنك رسم صورة تمثلها التي تساعدك على حلها؟,اذا كيف يمكنك رسم صوره تشير الي كيفيه اكتشافها؟ او يمكنك رسم صوره تمثلها التي تساعدك علي حلها؟,18,0.0,False
Like an array.,student,3,1,,,,مثل المجموعة,مثل المجموعه,2,0.0,False
Sure.,teacher,1,0,,,0.0,-بالطبع,-بالطبع,1,0.0,False
[Inaudible] that represents the oranges.,student,5,0,,,,الذي يمثل البرتقال.,الذي يمثل البرتقال.,3,0.0,False
"You could do that as well.  Whatever you're most comfortable with.  This is for Step 2.  You're gonna solve the questions on 41, page 41.  And then you're gonna choose one of the two to draw a picture and show how you solved it. And you could just be copying down what you had here.",teacher,55,0,0.0,,0.0,يمكنك أن تفعل ذلك أيضاً، أيّاً كان ما تشعرين بالراحة به، هذا للخطوة الثانية، سوف تحلّ الأسئلة الموجودة في 41، الصفحة 41، ومن ثمّ ستختارين إحداهما لترسم صورة وتظهر كيف حلّته، ويمكنك فقط نسخ ما لديك هنا.,يمكنك ان تفعل ذلك ايضا، ايا كان ما تشعرين بالراحه به، هذا للخطوه الثانيه، سوف تحل الاسئله الموجوده في 41، الصفحه 41، ومن ثم ستختارين احداهما لترسم صوره وتظهر كيف حلته، ويمكنك فقط نسخ ما لديك هنا.,37,0.0,False
I want to use the [Inaudible].,student,6,0,,,,أُريدُ أَنْ أَسْتَعْملَ [لا يُسمَعُ].,اريد ان استعمل [لا يسمع].,5,0.0,False
"Student S, when you're done with that question move on to board.  Step two.  Hmm?  What does step two say?",teacher,20,0,0.0,,1.0,الطالب (س) ، عندما تنتهي من هذا السؤال تحرك إلى الطائرة الخطوة الثانية ماذا تقول الخطوة الثانية؟,الطالب (س) ، عندما تنتهي من هذا السؤال تحرك الي الطائره الخطوه الثانيه ماذا تقول الخطوه الثانيه؟,17,0.0,False
If we're talking can the recorder –,student,7,0,,,,إذا كنا نتحدث يمكن للمسجل ,اذا كنا نتحدث يمكن للمسجل,5,0.0,False
