text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
Are we supposed to do it?,student,6,0,,,,هل من المفترض أن نفعل ذلك؟,هل من المفترض ان نفعل ذلك؟,6,0.0,False
"Nope.  We’re going to talk about it really quick.  We have not subtracted fractions yet, right? All right, well, here’s to hoping! Okay, so we’ve been talking about adding fractions, right?  Been working on adding fractions.  What do we need to do when we add fractions?  We’re just going to do a quick review for adding.  Student B, what’s our first step that we need to do?",teacher,67,6,1.0,,0.0,لا. سوف نتحدث عن ذلك بسرعة كبيرة. نحن لم نخصم الكسور بعد، أليس كذلك؟ حسناً، حسناً، هذا هو التأمل! حسناً، إذاً كنا نتحدث عن إضافة الكسور، أليس كذلك؟ كنا نعمل على إضافة الكسور. ماذا يجب أن نفعل عند إضافة الكسور؟ سنقوم فقط بمراجعة سريعة لإضافة. الطالب ب، ما هي الخطوة الأولى التي نحتاج إلى القيام بها؟,لا. سوف نتحدث عن ذلك بسرعه كبيره. نحن لم نخصم الكسور بعد، اليس كذلك؟ حسنا، حسنا، هذا هو التامل! حسنا، اذا كنا نتحدث عن اضافه الكسور، اليس كذلك؟ كنا نعمل علي اضافه الكسور. ماذا يجب ان نفعل عند اضافه الكسور؟ سنقوم فقط بمراجعه سريعه لاضافه. الطالب ب، ما هي الخطوه الاولي التي نحتاج الي القيام بها؟,56,0.05357142857142857,True
"You write down the fractions, I mean the factors of 8 and then 4.",student,14,2,,0.0,,أنت تكتب الكسور، أعني العوامل من 8 ثم 4.,انت تكتب الكسور، اعني العوامل من 8 ثم 4.,7,0.0,False
The factors or the…,teacher,4,1,1.0,,0.0,العوامل أو...,العوامل او...,2,0.0,False
The multiplication.,student,2,1,,,,المضاعفة.,المضاعفه.,1,0.0,False
The multiples.  So what are the multiples of 8?,teacher,9,2,,,0.0,المضاعفات ما هي المضاعفات من 8؟,المضاعفات ما هي المضاعفات من 8؟,6,0.0,False
"8, 16 …",student,3,0,,,,8 ، 16 ...,8 ، 16 ...,1,0.0,False
"8, 16 …",teacher,3,0,,,0.0,8 ، 16 ...,8 ، 16 ...,1,0.0,False
24.,student,1,0,,,,24.,24.,0,0.0,False
"Okay, shall we stop there?",teacher,5,0,,,0.0,حسناً، هل نتوقف هنا؟,حسنا، هل نتوقف هنا؟,4,0.0,False
Yes.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
Did you do 4 yet?,teacher,5,0,,,0.0,هل فعلت 4 حتى الآن؟,هل فعلت 4 حتي الان؟,4,0.0,False
"4, 8.",student,2,0,,,,أربعة، ثمانية,اربعه، ثمانيه,2,0.5,True
And what do they have in common?,teacher,7,0,,,1.0,وما المشترك بينهما؟,وما المشترك بينهما؟,3,0.0,False
"8. They have 16 in common too, and 24.",student,9,0,,0.0,,8، لديهم 16 مشتركة أيضا، و 24.,8، لديهم 16 مشتركه ايضا، و 24.,5,0.0,False
"They do have 16 and 24 in common if we continued on. But you have to do the first number in 32 if we kept going, but we normally pick the first number, right? Student E, what’s our next step that we do now that we have them both circled?",teacher,50,1,1.0,,0.0,لديهم 16 و 24 مشتركة إذا استمرنا. ولكن عليك أن تفعل الرقم الأول في 32 إذا استمرنا، ولكن عادة ما نختار الرقم الأول، أليس كذلك؟ الطالب إيه، ما هي الخطوة التالية التي نقوم بها الآن بعد أن لدينا كل منهما دائرة؟,لديهم 16 و 24 مشتركه اذا استمرنا. ولكن عليك ان تفعل الرقم الاول في 32 اذا استمرنا، ولكن عاده ما نختار الرقم الاول، اليس كذلك؟ الطالب ايه، ما هي الخطوه التاليه التي نقوم بها الان بعد ان لدينا كل منهما دائره؟,38,0.0,False
"You do how many times you did it.  So like since 8 was only once, you do times 1.",student,19,0,,0.0,,اذاً بما ان 8 كان مرة واحدة فقط فانك تقوم بمضاعفة 1,اذا بما ان 8 كان مره واحده فقط فانك تقوم بمضاعفه 1,10,0.0,False
"Okay, so we have to change them so they have the same denominator, right?",teacher,14,1,0.0,,0.0,حسناً، علينا أن نغيرها حتى تكون لها نفس المعادلة، صحيح؟,حسنا، علينا ان نغيرها حتي تكون لها نفس المعادله، صحيح؟,10,0.0,False
"You need to do two. You do times 2 for 4, times 2 for 1.",student,15,0,,0.0,,"عليك أن تفعل اثنين. يمكنك أن تفعل مضاعفة 2 مقابل 4, مضاعفة 2 مقابل 1.","عليك ان تفعل اثنين. يمكنك ان تفعل مضاعفه 2 مقابل 4, مضاعفه 2 مقابل 1.",11,0.0,False
Okay.,teacher,1,0,0.0,,0.0,-حسناً,-حسنا,1,0.0,False
I can talk for myself.,student,5,0,,,,يمكنني التحدث بنفسي,يمكنني التحدث بنفسي,3,0.0,False
"Student D, what are our new fractions?",teacher,7,1,0.0,,0.0,الطالب (د) ، ما هي كسورنا الجديدة؟,الطالب (د) ، ما هي كسورنا الجديده؟,7,0.0,False
3 and 8.,student,3,0,,,,ثلاثة و ثمانية,ثلاثه و ثمانيه,3,0.6666666666666666,True
"We can write it up here, 3 out of 8 plus … Okay, when we add them up, what do we get?",teacher,22,1,,,0.0,يمكننا أن نكتبها هنا، 3 من 8 زائد ... حسنا، عندما نجمعهم، ما الذي نحصل عليه؟,يمكننا ان نكتبها هنا، 3 من 8 زائد ... حسنا، عندما نجمعهم، ما الذي نحصل عليه؟,13,0.0625,True
5 out of 8.,student,4,0,,,,خمسة من ثمانية,خمسه من ثمانيه,3,0.6666666666666666,True
